league,season,date,stage,knockout,decided_by,state,winner,event_id,home,away,home_id,away_id,home_score,away_score,provider,home_ml,draw_ml,away_ml,over_under,over_odds,under_odds
uefa.euro,2024,2024-06-14T19:00Z,group-stage,False,regulation,post,home,690573,GER,SCO,481,580,5,1,ESPN BET,-360,475.0,750,2.5,-175.0,130.0
uefa.euro,2024,2024-06-15T13:00Z,group-stage,False,regulation,post,away,690574,HUN,SUI,480,475,1,3,ESPN BET,290,200.0,115,1.5,-200.0,145.0
uefa.euro,2024,2024-06-15T16:00Z,group-stage,False,regulation,post,home,690575,ESP,CRO,164,477,3,0,ESPN BET,-110,235.0,333,2.5,105.0,-135.0
uefa.euro,2024,2024-06-15T19:00Z,group-stage,False,regulation,post,home,690576,ITA,ALB,162,585,2,1,ESPN BET,-280,380.0,750,2.5,100.0,-130.0
uefa.euro,2024,2024-06-16T13:00Z,group-stage,False,regulation,post,away,690579,POL,NED,471,449,1,2,ESPN BET,500,340.0,-200,2.5,-120.0,-110.0
uefa.euro,2024,2024-06-16T16:00Z,group-stage,False,regulation,post,,690577,SVN,DEN,472,479,1,1,ESPN BET,450,260.0,-150,2.5,125.0,-165.0
uefa.euro,2024,2024-06-16T19:00Z,group-stage,False,regulation,post,away,690578,SRB,ENG,6757,448,0,1,ESPN BET,475,333.0,-190,2.5,-125.0,-105.0
uefa.euro,2024,2024-06-17T13:00Z,group-stage,False,regulation,post,home,690582,ROU,UKR,473,457,3,0,ESPN BET,360,225.0,-115,2.5,105.0,-135.0
uefa.euro,2024,2024-06-17T16:00Z,group-stage,False,regulation,post,away,690581,BEL,SVK,459,468,0,1,ESPN BET,-200,333.0,500,2.5,-135.0,105.0
uefa.euro,2024,2024-06-17T19:00Z,group-stage,False,regulation,post,away,690580,AUT,FRA,474,478,0,1,ESPN BET,450,310.0,-180,2.5,-130.0,100.0
uefa.euro,2024,2024-06-18T16:00Z,group-stage,False,regulation,post,home,690583,TUR,GEO,465,584,3,1,ESPN BET,-165,290.0,450,2.5,-115.0,-115.0
uefa.euro,2024,2024-06-18T19:00Z,group-stage,False,regulation,post,home,690584,POR,CZE,482,450,2,1,ESPN BET,-200,333.0,550,2.5,-140.0,110.0
uefa.euro,2024,2024-06-19T13:00Z,group-stage,False,regulation,post,,690586,CRO,ALB,477,585,2,2,ESPN BET,-220,340.0,600,2.5,100.0,-130.0
uefa.euro,2024,2024-06-19T16:00Z,group-stage,False,regulation,post,home,690587,GER,HUN,481,480,2,0,ESPN BET,-400,500.0,800,3.5,115.0,-150.0
uefa.euro,2024,2024-06-19T19:00Z,group-stage,False,regulation,post,,690585,SCO,SUI,580,475,1,1,ESPN BET,340,210.0,-105,2.5,125.0,-165.0
uefa.euro,2024,2024-06-20T13:00Z,group-stage,False,regulation,post,,690589,SVN,SRB,472,6757,1,1,ESPN BET,425,260.0,-145,2.5,-105.0,-125.0
