event_id,date,stage,knockout,state,home,away,home_score,away_score,p_home,p_draw,p_away,over_under,implied_mean,ml_home,ml_away,pick_home,pick_away,pen_winner,exp_points,actual_points,fav1_home,fav1_away,fav1_actual_points
690573,2024-06-14T19:00Z,group-stage,False,post,GER,SCO,5,1,0.7286,0.1619,0.1095,2.5,3.078,2,0,2,0,,1.0644,1,2,1,1
690574,2024-06-15T13:00Z,group-stage,False,post,HUN,SUI,1,3,0.2431,0.316,0.4409,1.5,2.099,0,1,0,1,,0.8503,1,0,1,1
690575,2024-06-15T16:00Z,group-stage,False,post,ESP,CRO,3,0,0.4973,0.2834,0.2193,2.5,2.512,1,0,1,0,,0.879,1,1,0,1
690576,2024-06-15T19:00Z,group-stage,False,post,ITA,ALB,2,1,0.6933,0.196,0.1107,2.5,2.552,1,0,1,0,,1.1015,2,1,0,2
690579,2024-06-16T13:00Z,group-stage,False,post,POL,NED,1,2,0.1571,0.2143,0.6286,2.5,2.715,0,1,0,1,,1.0028,2,1,2,3
690577,2024-06-16T16:00Z,group-stage,False,post,SVN,DEN,1,1,0.1716,0.2622,0.5663,2.5,2.347,0,1,0,1,,0.9843,0,0,1,0
690578,2024-06-16T19:00Z,group-stage,False,post,SRB,ENG,0,1,0.1641,0.2179,0.6181,2.5,2.757,0,1,0,1,,0.9859,3,1,2,2
690582,2024-06-17T13:00Z,group-stage,False,post,ROU,UKR,3,0,0.2051,0.2903,0.5046,2.5,2.512,0,1,0,1,,0.8944,0,0,1,0
690581,2024-06-17T16:00Z,group-stage,False,post,BEL,SVK,0,1,0.6264,0.217,0.1566,2.5,2.843,1,0,1,0,,0.9876,0,2,1,0
690580,2024-06-17T19:00Z,group-stage,False,post,AUT,FRA,0,1,0.1701,0.2282,0.6016,2.5,2.8,0,1,0,1,,0.965,3,1,2,2
690583,2024-06-18T16:00Z,group-stage,False,post,TUR,GEO,3,1,0.5869,0.2417,0.1714,2.5,2.674,1,0,1,0,,0.9656,1,2,1,1
690584,2024-06-18T19:00Z,group-stage,False,post,POR,CZE,2,1,0.634,0.2196,0.1463,2.5,2.885,2,0,1,0,,0.9948,2,2,1,3
690586,2024-06-19T13:00Z,group-stage,False,post,CRO,ALB,2,2,0.65,0.2149,0.1351,2.5,2.552,1,0,1,0,,1.0523,0,1,0,0
690587,2024-06-19T16:00Z,group-stage,False,post,GER,HUN,2,0,0.7423,0.1546,0.1031,3.5,3.377,2,0,2,0,,1.0637,3,2,1,1
690585,2024-06-19T19:00Z,group-stage,False,post,SCO,SUI,1,1,0.214,0.3037,0.4823,2.5,2.347,0,1,0,1,,0.8852,0,0,1,0
690589,2024-06-20T13:00Z,group-stage,False,post,SVN,SRB,1,1,0.1797,0.262,0.5583,2.5,2.593,0,1,0,1,,0.9461,0,0,1,0
690590,2024-06-20T16:00Z,group-stage,False,post,DEN,ENG,1,1,0.1899,0.2922,0.5179,2.5,2.347,0,1,0,1,,0.9313,0,0,1,0
690588,2024-06-20T19:00Z,group-stage,False,post,ESP,ITA,1,0,0.4287,0.3093,0.262,2.5,2.425,1,1,1,0,,0.8015,3,1,0,3
690593,2024-06-21T13:00Z,group-stage,False,post,SVK,UKR,1,2,0.2917,0.2962,0.4121,2.5,2.425,1,1,0,1,,0.7668,2,0,1,2
690591,2024-06-21T16:00Z,group-stage,False,post,POL,AUT,1,3,0.2605,0.293,0.4465,2.5,2.552,1,1,0,1,,0.8072,1,0,1,1
690592,2024-06-21T19:00Z,group-stage,False,post,NED,FRA,0,0,0.3097,0.3047,0.3856,2.5,2.512,1,1,0,1,,0.7275,0,0,1,0
690596,2024-06-22T13:00Z,group-stage,False,post,GEO,CZE,1,1,0.2153,0.2493,0.5354,2.5,2.843,1,1,0,1,,0.8825,0,1,2,0
690595,2024-06-22T16:00Z,group-stage,False,post,TUR,POR,0,3,0.1712,0.2296,0.5992,2.5,3.03,1,1,1,2,,0.9429,1,1,2,1
690594,2024-06-22T19:00Z,group-stage,False,post,BEL,ROU,2,0,0.6864,0.1792,0.1344,2.5,3.03,2,0,1,0,,1.0256,1,2,1,1
690597,2024-06-23T19:00Z,group-stage,False,post,SCO,HUN,0,1,0.4096,0.2479,0.3425,2.5,2.993,1,1,2,1,,0.7048,0,2,1,0
690598,2024-06-23T19:00Z,group-stage,False,post,SUI,GER,1,1,0.163,0.2467,0.5903,2.5,2.674,0,1,0,1,,0.9733,0,1,2,0
690599,2024-06-24T19:00Z,group-stage,False,post,CRO,ITA,1,1,0.3193,0.3039,0.3768,2.5,2.347,1,1,0,1,,0.7229,0,0,1,0
690600,2024-06-24T19:00Z,group-stage,False,post,ALB,ESP,0,1,0.1273,0.1989,0.6738,2.5,2.8,0,2,0,1,,1.0453,3,1,2,2
690603,2024-06-25T16:00Z,group-stage,False,post,NED,AUT,2,3,0.5206,0.2756,0.2037,2.5,2.674,1,1,1,0,,0.8932,0,2,1,0
690604,2024-06-25T16:00Z,group-stage,False,post,FRA,POL,1,1,0.7335,0.1562,0.1103,2.5,3.03,2,0,1,0,,1.0724,0,2,1,0
690601,2024-06-25T19:00Z,group-stage,False,post,DEN,SRB,0,0,0.4121,0.2962,0.2917,2.5,2.474,1,1,1,0,,0.7636,0,1,0,0
690602,2024-06-25T19:00Z,group-stage,False,post,ENG,SVN,0,0,0.7251,0.1706,0.1043,2.5,2.8,2,0,1,0,,1.0969,0,2,1,0
690605,2024-06-26T16:00Z,group-stage,False,post,SVK,ROU,1,1,0.3278,0.4527,0.2195,1.5,1.89,1,0,1,0,,0.7858,0,1,0,0
