pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.17051,0.10125,0.3936,0.33465,1.10761,1.15721
2,0,0.15152,0.05728,0.45655,0.33465,1.02567,1.37002
2,1,0.08571,0.18605,0.3936,0.33465,1.02281,1.15721
3,2,0.01429,0.25747,0.3936,0.33465,0.9514,1.15721
4,3,0.00119,0.27056,0.3936,0.33465,0.9383,1.15721
5,4,6e-05,0.27169,0.3936,0.33465,0.93717,1.15721
6,5,0.0,0.27175,0.3936,0.33465,0.93711,1.15721
3,1,0.05052,0.15828,0.45655,0.33465,0.92467,1.37002
4,2,0.00632,0.20248,0.45655,0.33465,0.88047,1.37002
5,3,0.00042,0.20838,0.45655,0.33465,0.87457,1.37002
6,4,2e-05,0.20878,0.45655,0.33465,0.87417,1.37002
3,0,0.08932,0.0247,0.55134,0.33465,0.86869,2.00042
4,1,0.02234,0.09168,0.55134,0.33465,0.80171,2.00042
5,2,0.00223,0.11178,0.55134,0.33465,0.7816,2.00042
6,3,0.00012,0.11389,0.55134,0.33465,0.77949,2.00042
4,0,0.03949,0.00859,0.61727,0.33465,0.75292,2.85885
5,1,0.0079,0.04018,0.61727,0.33465,0.72133,2.85885
6,2,0.00066,0.04742,0.61727,0.33465,0.71409,2.85885
5,0,0.01397,0.0025,0.64888,0.33465,0.69579,3.81345
6,1,0.00233,0.01414,0.64888,0.33465,0.68415,3.81345
6,0,0.00412,0.00063,0.66061,0.33465,0.67421,4.80098
1,1,0.09779,0.0,0.12487,0.77735,0.41822,1.48792
0,0,0.09776,0.0,0.12489,0.77735,0.41817,1.48792
2,2,0.02424,0.0,0.19841,0.77735,0.27113,1.48792
0,1,0.05395,0.03238,0.02566,0.88801,0.25229,2.26393
3,3,0.00269,0.0,0.21996,0.77735,0.22804,1.48792
1,2,0.02741,0.05893,0.02566,0.88801,0.22575,2.26393
4,4,0.00017,0.0,0.22248,0.77735,0.22299,1.48792
5,5,1e-05,0.0,0.22265,0.77735,0.22267,1.48792
6,6,0.0,0.0,0.22265,0.77735,0.22265,1.48792
2,3,0.00457,0.08177,0.02566,0.88801,0.2029,2.26393
3,4,0.00038,0.08596,0.02566,0.88801,0.19871,2.26393
4,5,2e-05,0.08632,0.02566,0.88801,0.19835,2.26393
5,6,0.0,0.08634,0.02566,0.88801,0.19833,2.26393
0,2,0.0155,0.00586,0.09063,0.88801,0.14886,3.21262
1,3,0.00517,0.01619,0.09063,0.88801,0.13853,3.21262
2,4,0.00065,0.02072,0.09063,0.88801,0.134,3.21262
3,5,4e-05,0.02132,0.09063,0.88801,0.1334,3.21262
4,6,0.0,0.02136,0.09063,0.88801,0.13336,3.21262
0,3,0.00292,0.00081,0.10826,0.88801,0.11865,4.20403
1,4,0.00073,0.003,0.10826,0.88801,0.11646,4.20403
2,5,7e-05,0.00366,0.10826,0.88801,0.1158,4.20403
3,6,0.0,0.00373,0.10826,0.88801,0.11573,4.20403
0,4,0.00041,9e-05,0.11149,0.88801,0.11291,5.2029
1,5,8e-05,0.00042,0.11149,0.88801,0.11258,5.2029
2,6,1e-05,0.0005,0.11149,0.88801,0.11251,5.2029
0,5,5e-05,1e-05,0.11194,0.88801,0.1121,6.20278
1,6,1e-05,5e-05,0.11194,0.88801,0.11206,6.20278
0,6,0.0,0.0,0.11199,0.88801,0.112,7.20277
