pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.14567,0.11136,0.27226,0.47072,0.93198,1.19099
2,1,0.09065,0.16638,0.27226,0.47072,0.87696,1.19099
3,2,0.01867,0.23836,0.27226,0.47072,0.80498,1.19099
2,0,0.10975,0.05278,0.36675,0.47072,0.80157,1.64647
4,3,0.00192,0.25511,0.27226,0.47072,0.78823,1.19099
5,4,0.00012,0.25691,0.27226,0.47072,0.78643,1.19099
6,5,0.0,0.25702,0.27226,0.47072,0.78632,1.19099
3,1,0.0452,0.11734,0.36675,0.47072,0.73702,1.64647
4,2,0.00698,0.15556,0.36675,0.47072,0.6988,1.64647
5,3,0.00057,0.16196,0.36675,0.47072,0.69239,1.64647
6,4,3e-05,0.16251,0.36675,0.47072,0.69185,1.64647
3,0,0.05472,0.01914,0.45542,0.47072,0.65787,2.42703
4,1,0.0169,0.05696,0.45542,0.47072,0.62005,2.42703
5,2,0.00209,0.07178,0.45542,0.47072,0.60524,2.42703
6,3,0.00014,0.07372,0.45542,0.47072,0.60329,2.42703
4,0,0.02046,0.00561,0.50321,0.47072,0.57582,3.35532
5,1,0.00506,0.02102,0.50321,0.47072,0.56041,3.35532
6,2,0.00052,0.02555,0.50321,0.47072,0.55588,3.35532
5,0,0.00612,0.00138,0.52178,0.47072,0.54291,4.33576
6,1,0.00126,0.00624,0.52178,0.47072,0.53804,4.33576
6,0,0.00153,0.00029,0.52747,0.47072,0.53263,5.3312
1,1,0.12227,0.0,0.14216,0.73557,0.50896,1.24955
0,0,0.09917,0.0,0.16526,0.73557,0.46276,1.24955
0,1,0.07995,0.06149,0.06485,0.79371,0.42768,1.83697
1,2,0.05005,0.09139,0.06485,0.79371,0.39778,1.83697
2,3,0.01031,0.13113,0.06485,0.79371,0.35803,1.83697
3,4,0.00106,0.14038,0.06485,0.79371,0.34879,1.83697
4,5,7e-05,0.14137,0.06485,0.79371,0.34779,1.83697
5,6,0.0,0.14143,0.06485,0.79371,0.34773,1.83697
2,2,0.03743,0.0,0.22699,0.73557,0.3393,1.24955
0,2,0.03346,0.01609,0.15674,0.79371,0.2893,2.70727
3,3,0.00514,0.0,0.25929,0.73557,0.2747,1.24955
1,3,0.01378,0.03577,0.15674,0.79371,0.26962,2.70727
4,4,0.0004,0.0,0.26403,0.73557,0.26522,1.24955
5,5,2e-05,0.0,0.26441,0.73557,0.26447,1.24955
6,6,0.0,0.0,0.26443,0.73557,0.26443,1.24955
2,4,0.00213,0.04742,0.15674,0.79371,0.25797,2.70727
3,5,0.00018,0.04938,0.15674,0.79371,0.25602,2.70727
4,6,1e-05,0.04954,0.15674,0.79371,0.25585,2.70727
0,3,0.00921,0.00322,0.19386,0.79371,0.22794,3.67667
1,4,0.00285,0.00959,0.19386,0.79371,0.22157,3.67667
2,5,0.00035,0.01208,0.19386,0.79371,0.21907,3.67667
3,6,2e-05,0.01241,0.19386,0.79371,0.21875,3.67667
0,4,0.0019,0.00052,0.20387,0.79371,0.21062,4.67094
1,5,0.00047,0.00195,0.20387,0.79371,0.20918,4.67094
2,6,5e-05,0.00238,0.20387,0.79371,0.20876,4.67094
0,5,0.00031,7e-05,0.2059,0.79371,0.20699,5.67005
1,6,6e-05,0.00032,0.2059,0.79371,0.20674,5.67005
0,6,4e-05,1e-05,0.20624,0.79371,0.20638,6.66993
