pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.10796,0.10646,0.17282,0.61276,0.70963,1.40774
2,1,0.08271,0.13171,0.17282,0.61276,0.68438,1.40774
0,1,0.09933,0.09805,0.14123,0.6614,0.63531,1.50502
3,2,0.0209,0.19352,0.17282,0.61276,0.62257,1.40774
1,2,0.07617,0.12121,0.14123,0.6614,0.61215,1.50502
4,3,0.00264,0.21178,0.17282,0.61276,0.60431,1.40774
5,4,0.0002,0.21422,0.17282,0.61276,0.60187,1.40774
6,5,1e-05,0.21441,0.17282,0.61276,0.60168,1.40774
2,0,0.06999,0.0428,0.27445,0.61276,0.57004,2.0621
2,3,0.01925,0.17813,0.14123,0.6614,0.55523,1.50502
3,4,0.00243,0.19494,0.14123,0.6614,0.53841,1.50502
4,5,0.00018,0.19719,0.14123,0.6614,0.53617,1.50502
5,6,1e-05,0.19737,0.14123,0.6614,0.53599,1.50502
3,1,0.03538,0.07742,0.27445,0.61276,0.53542,2.0621
1,1,0.13006,0.0,0.14409,0.72585,0.53427,1.18223
4,2,0.00671,0.10609,0.27445,0.61276,0.50675,2.0621
5,3,0.00068,0.11212,0.27445,0.61276,0.50072,2.0621
6,4,4e-05,0.11276,0.27445,0.61276,0.50009,2.0621
0,2,0.05936,0.0363,0.24294,0.6614,0.49363,2.22257
1,3,0.03,0.06566,0.24294,0.6614,0.46427,2.22257
3,0,0.02994,0.01322,0.34408,0.61276,0.46034,2.94205
0,0,0.08616,0.0,0.18799,0.72585,0.44648,1.18223
4,1,0.01135,0.03181,0.34408,0.61276,0.44175,2.94205
2,4,0.00569,0.08998,0.24294,0.6614,0.43995,2.22257
3,5,0.00057,0.09509,0.24294,0.6614,0.43484,2.22257
4,6,4e-05,0.09563,0.24294,0.6614,0.4343,2.22257
5,2,0.00172,0.04144,0.34408,0.61276,0.43212,2.94205
6,3,0.00014,0.04302,0.34408,0.61276,0.43055,2.94205
4,0,0.0096,0.00331,0.37433,0.61276,0.40976,3.90833
5,1,0.00291,0.01,0.37433,0.61276,0.40307,3.90833
6,2,0.00037,0.01254,0.37433,0.61276,0.40052,3.90833
0,3,0.02338,0.01033,0.30489,0.6614,0.39569,3.13144
5,0,0.00246,0.00069,0.38408,0.61276,0.39287,4.90043
6,1,0.00062,0.00254,0.38408,0.61276,0.39103,4.90043
6,0,0.00053,0.00013,0.38659,0.61276,0.38842,5.89885
1,4,0.00886,0.02485,0.30489,0.6614,0.38118,3.13144
2,5,0.00134,0.03237,0.30489,0.6614,0.37366,3.13144
3,6,0.00011,0.0336,0.30489,0.6614,0.37243,3.13144
2,2,0.04887,0.0,0.22528,0.72585,0.37189,1.18223
0,4,0.00691,0.00238,0.32932,0.6614,0.3548,4.10773
1,5,0.00209,0.00719,0.32932,0.6614,0.34999,4.10773
2,6,0.00026,0.00902,0.32932,0.6614,0.34816,4.10773
0,5,0.00163,0.00046,0.33651,0.6614,0.34233,5.1026
1,6,0.00041,0.00168,0.33651,0.6614,0.34111,5.1026
0,6,0.00032,8e-05,0.33821,0.6614,0.33932,6.10165
3,3,0.00823,0.0,0.26592,0.72585,0.29062,1.18223
4,4,0.00078,0.0,0.27337,0.72585,0.27571,1.18223
5,5,5e-05,0.0,0.2741,0.72585,0.27425,1.18223
6,6,0.0,0.0,0.27415,0.72585,0.27416,1.18223
