pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.13676,0.11999,0.33242,0.41083,0.98268,1.21001
2,1,0.0953,0.16145,0.33242,0.41083,0.94122,1.21001
2,0,0.11816,0.06485,0.40617,0.41083,0.89034,1.54516
3,2,0.02198,0.23477,0.33242,0.41083,0.8679,1.21001
4,3,0.00253,0.25422,0.33242,0.41083,0.84846,1.21001
5,4,0.00018,0.25657,0.33242,0.41083,0.8461,1.21001
6,5,1e-05,0.25674,0.33242,0.41083,0.84593,1.21001
3,1,0.0545,0.12851,0.40617,0.41083,0.82668,1.54516
4,2,0.00943,0.17358,0.40617,0.41083,0.78161,1.54516
5,3,0.00087,0.18214,0.40617,0.41083,0.77305,1.54516
6,4,5e-05,0.18296,0.40617,0.41083,0.77223,1.54516
3,0,0.06757,0.02687,0.49473,0.41083,0.75119,2.24633
4,1,0.02338,0.07107,0.49473,0.41083,0.70699,2.24633
5,2,0.00323,0.09121,0.49473,0.41083,0.68685,2.24633
6,3,0.00025,0.0942,0.49473,0.41083,0.68387,2.24633
4,0,0.02898,0.00901,0.55118,0.41083,0.65615,3.13639
5,1,0.00802,0.02997,0.55118,0.41083,0.63519,3.13639
6,2,0.00092,0.03707,0.55118,0.41083,0.62809,3.13639
5,0,0.00995,0.00253,0.57669,0.41083,0.6116,4.10244
6,1,0.00229,0.01019,0.57669,0.41083,0.60395,4.10244
6,0,0.00284,0.00061,0.58571,0.41083,0.59547,5.09345
1,1,0.11207,0.0,0.12614,0.76179,0.46236,1.38835
0,0,0.08126,0.0,0.15695,0.76179,0.40074,1.38835
0,1,0.06377,0.05641,0.05244,0.82739,0.35656,2.04312
1,2,0.0448,0.07538,0.05244,0.82739,0.33759,2.04312
2,2,0.03843,0.0,0.19978,0.76179,0.31507,1.38835
2,3,0.01033,0.10984,0.05244,0.82739,0.30312,2.04312
3,4,0.00119,0.11899,0.05244,0.82739,0.29398,2.04312
4,5,8e-05,0.12009,0.05244,0.82739,0.29287,2.04312
5,6,0.0,0.12017,0.05244,0.82739,0.2928,2.04312
3,3,0.00591,0.0,0.2323,0.76179,0.25003,1.38835
4,4,0.00051,0.0,0.2377,0.76179,0.23924,1.38835
0,2,0.02611,0.01433,0.13217,0.82739,0.23917,2.93824
5,5,3e-05,0.0,0.23819,0.76179,0.23827,1.38835
6,6,0.0,0.0,0.23821,0.76179,0.23822,1.38835
1,3,0.01204,0.0284,0.13217,0.82739,0.2251,2.93824
2,4,0.00208,0.03836,0.13217,0.82739,0.21514,2.93824
3,5,0.00019,0.04025,0.13217,0.82739,0.21325,2.93824
4,6,1e-05,0.04043,0.13217,0.82739,0.21307,2.93824
0,3,0.00702,0.00279,0.1628,0.82739,0.18945,3.91425
1,4,0.00243,0.00738,0.1628,0.82739,0.18485,3.91425
2,5,0.00034,0.00948,0.1628,0.82739,0.18276,3.91425
3,6,3e-05,0.00979,0.1628,0.82739,0.18245,3.91425
0,4,0.00142,0.00044,0.17076,0.82739,0.17589,4.90989
1,5,0.00039,0.00146,0.17076,0.82739,0.17486,4.90989
2,6,5e-05,0.00181,0.17076,0.82739,0.17452,4.90989
0,5,0.00023,6e-05,0.17233,0.82739,0.17313,5.90923
1,6,5e-05,0.00023,0.17233,0.82739,0.17295,5.90923
0,6,3e-05,1e-05,0.17258,0.82739,0.17268,6.90915
