pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,2,0.15233,0.07713,0.55353,0.21702,1.16476,1.32863
0,1,0.12752,0.1026,0.55286,0.21702,1.14062,1.43436
1,2,0.08274,0.14737,0.55286,0.21702,1.09584,1.43436
1,3,0.06558,0.16388,0.55353,0.21702,1.07801,1.32863
0,3,0.12073,0.04439,0.61786,0.21702,1.06883,1.6818
2,3,0.01781,0.21231,0.55286,0.21702,1.03091,1.43436
2,4,0.01059,0.21887,0.55353,0.21702,1.02302,1.32863
3,4,0.00192,0.2282,0.55286,0.21702,1.01502,1.43436
3,5,0.00091,0.22854,0.55353,0.21702,1.01335,1.32863
4,5,0.00012,0.22999,0.55286,0.21702,1.01322,1.43436
5,6,1e-05,0.23011,0.55286,0.21702,1.01311,1.43436
4,6,5e-05,0.2294,0.55353,0.21702,1.01249,1.32863
1,4,0.03898,0.12614,0.61786,0.21702,0.98708,1.6818
2,5,0.00503,0.16008,0.61786,0.21702,0.95314,1.6818
3,6,0.00036,0.16476,0.61786,0.21702,0.94846,1.6818
0,4,0.07176,0.02066,0.69056,0.21702,0.94716,2.36522
1,5,0.01854,0.07388,0.69056,0.21702,0.89394,2.36522
2,6,0.002,0.09043,0.69056,0.21702,0.8774,2.36522
0,5,0.03412,0.00806,0.7408,0.21702,0.85929,3.23348
1,6,0.00735,0.03484,0.7408,0.21702,0.83251,3.23348
0,6,0.01352,0.00271,0.76675,0.21702,0.81273,4.18611
1,1,0.07022,0.0,0.08048,0.84931,0.29113,2.00032
0,0,0.0545,0.0,0.09619,0.84931,0.2597,2.00032
2,2,0.02247,0.0,0.12822,0.84931,0.19564,2.00032
3,3,0.00323,0.0,0.14747,0.84931,0.15714,2.00032
4,4,0.00026,0.0,0.15043,0.84931,0.15121,2.00032
5,5,1e-05,0.0,0.15068,0.84931,0.15072,2.00032
6,6,0.0,0.0,0.15069,0.84931,0.15069,2.00032
1,0,0.02866,0.02344,0.01423,0.93368,0.14708,2.86767
2,1,0.0189,0.03319,0.01423,0.93368,0.13733,2.86767
3,2,0.00407,0.04803,0.01423,0.93368,0.12249,2.86767
4,3,0.00044,0.05166,0.01423,0.93368,0.11886,2.86767
5,4,3e-05,0.05207,0.01423,0.93368,0.11845,2.86767
6,5,0.0,0.0521,0.01423,0.93368,0.11842,2.86767
2,0,0.00795,0.00403,0.05435,0.93368,0.08625,3.83922
3,1,0.00342,0.00855,0.05435,0.93368,0.08172,3.83922
4,2,0.00055,0.01142,0.05435,0.93368,0.07885,3.83922
5,3,5e-05,0.01193,0.05435,0.93368,0.07835,3.83922
6,4,0.0,0.01197,0.05435,0.93368,0.0783,3.83922
3,0,0.00144,0.00053,0.06436,0.93368,0.06973,4.83472
4,1,0.00046,0.0015,0.06436,0.93368,0.06876,4.83472
5,2,6e-05,0.00191,0.06436,0.93368,0.06835,4.83472
6,3,0.0,0.00196,0.06436,0.93368,0.0683,4.83472
4,0,0.0002,6e-05,0.06607,0.93368,0.06677,5.83416
5,1,5e-05,0.0002,0.06607,0.93368,0.06663,5.83416
6,2,1e-05,0.00025,0.06607,0.93368,0.06658,5.83416
5,0,2e-05,1e-05,0.0663,0.93368,0.06637,6.8341
6,1,0.0,2e-05,0.0663,0.93368,0.06636,6.8341
6,0,0.0,0.0,0.06632,0.93368,0.06633,7.8341
