pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.14285,0.10315,0.21494,0.53905,0.84981,1.22905
2,1,0.08478,0.16123,0.21494,0.53905,0.79173,1.22905
3,2,0.01664,0.22937,0.21494,0.53905,0.72359,1.22905
4,3,0.00163,0.24437,0.21494,0.53905,0.70859,1.22905
5,4,0.0001,0.24591,0.21494,0.53905,0.70705,1.22905
6,5,0.0,0.246,0.21494,0.53905,0.70696,1.22905
2,0,0.09446,0.04298,0.32351,0.53905,0.69285,1.79916
3,1,0.03708,0.10037,0.32351,0.53905,0.63547,1.79916
4,2,0.00546,0.13198,0.32351,0.53905,0.60385,1.79916
5,3,0.00043,0.13701,0.32351,0.53905,0.59882,1.79916
6,4,2e-05,0.13742,0.32351,0.53905,0.59841,1.79916
3,0,0.04131,0.01369,0.40595,0.53905,0.55726,2.64416
1,1,0.13038,0.0,0.15431,0.71531,0.54545,1.15095
4,1,0.01216,0.04284,0.40595,0.53905,0.52811,2.64416
0,1,0.09737,0.07057,0.08643,0.74564,0.51966,1.64222
5,2,0.00143,0.05357,0.40595,0.53905,0.51738,2.64416
6,3,9e-05,0.05491,0.40595,0.53905,0.51604,2.64416
0,0,0.1109,0.0,0.17379,0.71531,0.50648,1.15095
4,0,0.01355,0.00352,0.44388,0.53905,0.49157,3.59915
5,1,0.00319,0.01388,0.44388,0.53905,0.48121,3.59915
1,2,0.058,0.10994,0.08643,0.74564,0.4803,1.64222
6,2,0.00031,0.01676,0.44388,0.53905,0.47833,3.59915
5,0,0.00356,0.00076,0.45663,0.53905,0.46882,4.58828
6,1,0.0007,0.00362,0.45663,0.53905,0.46596,4.58828
6,0,0.00078,0.00014,0.46003,0.53905,0.46264,5.58605
2,3,0.01138,0.15655,0.08643,0.74564,0.43368,1.64222
3,4,0.00112,0.16682,0.08643,0.74564,0.42341,1.64222
4,5,7e-05,0.16787,0.08643,0.74564,0.42236,1.64222
5,6,0.0,0.16793,0.08643,0.74564,0.4223,1.64222
0,2,0.04421,0.02012,0.19004,0.74564,0.36289,2.46937
2,2,0.03805,0.0,0.24664,0.71531,0.36078,1.15095
1,3,0.01735,0.04697,0.19004,0.74564,0.33604,2.46937
2,4,0.00255,0.06177,0.19004,0.74564,0.32124,2.46937
3,5,0.0002,0.06412,0.19004,0.74564,0.31889,2.46937
4,6,1e-05,0.06431,0.19004,0.74564,0.3187,2.46937
3,3,0.00498,0.0,0.27971,0.71531,0.29464,1.15095
4,4,0.00037,0.0,0.28432,0.71531,0.28542,1.15095
0,3,0.01323,0.00438,0.23675,0.74564,0.2852,3.42517
5,5,2e-05,0.0,0.28467,0.71531,0.28472,1.15095
6,6,0.0,0.0,0.28469,0.71531,0.28469,1.15095
1,4,0.00389,0.01372,0.23675,0.74564,0.27586,3.42517
2,5,0.00046,0.01715,0.23675,0.74564,0.27243,3.42517
3,6,3e-05,0.01758,0.23675,0.74564,0.272,3.42517
0,4,0.00297,0.00077,0.25062,0.74564,0.26107,4.41618
1,5,0.0007,0.00304,0.25062,0.74564,0.2588,4.41618
2,6,7e-05,0.00367,0.25062,0.74564,0.25817,4.41618
0,5,0.00053,0.00011,0.25372,0.74564,0.25554,5.41467
1,6,0.0001,0.00054,0.25372,0.74564,0.25511,5.41467
0,6,8e-05,1e-05,0.25427,0.74564,0.25454,6.41446
