pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.12839,0.12297,0.30946,0.43918,0.94059,1.23219
1,2,0.09604,0.15532,0.30946,0.43918,0.90823,1.23219
0,2,0.10868,0.0648,0.38735,0.43918,0.84298,1.61328
2,3,0.02376,0.22761,0.30946,0.43918,0.83595,1.23219
3,4,0.00294,0.24843,0.30946,0.43918,0.81513,1.23219
4,5,0.00022,0.25115,0.30946,0.43918,0.81241,1.23219
5,6,1e-05,0.25136,0.30946,0.43918,0.8122,1.23219
1,3,0.05377,0.1197,0.38735,0.43918,0.78807,1.61328
2,4,0.00998,0.1635,0.38735,0.43918,0.74428,1.61328
3,5,0.00099,0.17249,0.38735,0.43918,0.73529,1.61328
4,6,6e-05,0.17342,0.38735,0.43918,0.73436,1.61328
0,3,0.06084,0.02622,0.47376,0.43918,0.70874,2.34132
1,4,0.02258,0.06449,0.47376,0.43918,0.67047,2.34132
2,5,0.00335,0.08372,0.47376,0.43918,0.65124,2.34132
3,6,0.00028,0.08679,0.47376,0.43918,0.64817,2.34132
0,4,0.02555,0.00859,0.52668,0.43918,0.62051,3.24349
1,5,0.00758,0.02656,0.52668,0.43918,0.60255,3.24349
2,6,0.00094,0.0332,0.52668,0.43918,0.5959,3.24349
0,5,0.00858,0.00236,0.54988,0.43918,0.58035,4.21394
1,6,0.00212,0.00882,0.54988,0.43918,0.57389,4.21394
0,6,0.0024,0.00056,0.55786,0.43918,0.56619,5.20629
1,1,0.11537,0.0,0.12818,0.75644,0.4743,1.35384
0,0,0.07805,0.0,0.1655,0.75644,0.39966,1.35384
1,0,0.06708,0.0647,0.06384,0.80438,0.39448,1.9626
2,1,0.05053,0.08125,0.06384,0.80438,0.37794,1.9626
3,2,0.0125,0.11928,0.06384,0.80438,0.3399,1.9626
4,3,0.00155,0.13023,0.06384,0.80438,0.32895,1.9626
2,2,0.04244,0.0,0.20112,0.75644,0.32843,1.35384
5,4,0.00011,0.13167,0.06384,0.80438,0.32752,1.9626
6,5,1e-05,0.13178,0.06384,0.80438,0.32741,1.9626
2,0,0.03009,0.01794,0.14759,0.80438,0.27373,2.83492
3,1,0.01489,0.03314,0.14759,0.80438,0.25853,2.83492
3,3,0.007,0.0,0.23656,0.75644,0.25755,1.35384
4,2,0.00276,0.04526,0.14759,0.80438,0.24641,2.83492
4,4,0.00065,0.0,0.24291,0.75644,0.24485,1.35384
5,3,0.00027,0.04775,0.14759,0.80438,0.24392,2.83492
6,4,2e-05,0.04801,0.14759,0.80438,0.24366,2.83492
5,5,4e-05,0.0,0.24352,0.75644,0.24363,1.35384
6,6,0.0,0.0,0.24355,0.75644,0.24356,1.35384
3,0,0.00886,0.00382,0.18294,0.80438,0.21717,3.8033
4,1,0.00329,0.00939,0.18294,0.80438,0.21159,3.8033
5,2,0.00049,0.01219,0.18294,0.80438,0.20879,3.8033
6,3,4e-05,0.01264,0.18294,0.80438,0.20834,3.8033
4,0,0.00196,0.00066,0.193,0.80438,0.2002,4.79704
5,1,0.00058,0.00204,0.193,0.80438,0.19882,4.79704
6,2,7e-05,0.00254,0.193,0.80438,0.19831,4.79704
5,0,0.00035,0.0001,0.19518,0.80438,0.19641,5.79601
6,1,9e-05,0.00036,0.19518,0.80438,0.19615,5.79601
6,0,5e-05,1e-05,0.19556,0.80438,0.19573,6.79587
