pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.15097,0.08747,0.16937,0.59219,0.79722,1.24161
1,2,0.07433,0.16411,0.16937,0.59219,0.72058,1.24161
2,3,0.0121,0.22634,0.16937,0.59219,0.65835,1.24161
3,4,0.00099,0.23745,0.16937,0.59219,0.64724,1.24161
4,5,5e-05,0.23839,0.16937,0.59219,0.6463,1.24161
5,6,0.0,0.23844,0.16937,0.59219,0.64625,1.24161
0,2,0.08477,0.03121,0.29183,0.59219,0.60856,1.90286
1,0,0.11854,0.06882,0.09617,0.71647,0.58944,1.49017
0,0,0.13772,0.0,0.17093,0.69134,0.5841,1.05723
1,1,0.13459,0.0,0.17407,0.69134,0.57783,1.05723
1,3,0.02761,0.08837,0.29183,0.59219,0.5514,1.90286
2,1,0.05849,0.12888,0.09617,0.71647,0.52939,1.49017
2,4,0.00337,0.11261,0.29183,0.59219,0.52716,1.90286
3,5,0.00022,0.11576,0.29183,0.59219,0.52401,1.90286
4,6,1e-05,0.11597,0.29183,0.59219,0.5238,1.90286
3,2,0.00952,0.17784,0.09617,0.71647,0.48043,1.49017
0,3,0.03149,0.00848,0.36784,0.59219,0.47927,2.79608
4,3,0.00078,0.18659,0.09617,0.71647,0.47168,1.49017
5,4,4e-05,0.18733,0.09617,0.71647,0.47094,1.49017
6,5,0.0,0.18737,0.09617,0.71647,0.4709,1.49017
1,4,0.00769,0.03228,0.36784,0.59219,0.45547,2.79608
2,5,0.00075,0.03922,0.36784,0.59219,0.44854,2.79608
3,6,4e-05,0.03993,0.36784,0.59219,0.44782,2.79608
0,4,0.00877,0.00186,0.39718,0.59219,0.42722,3.76924
1,5,0.00171,0.00892,0.39718,0.59219,0.42016,3.76924
2,6,0.00014,0.01049,0.39718,0.59219,0.41858,3.76924
0,5,0.00195,0.00034,0.40552,0.59219,0.41206,4.76366
1,6,0.00032,0.00198,0.40552,0.59219,0.41043,4.76366
0,6,0.00036,5e-05,0.40739,0.59219,0.40859,5.76268
2,0,0.05249,0.01932,0.21172,0.71647,0.40783,2.29784
2,2,0.03259,0.0,0.27607,0.69134,0.37383,1.05723
3,1,0.01709,0.05472,0.21172,0.71647,0.37244,2.29784
4,2,0.00209,0.06972,0.21172,0.71647,0.35743,2.29784
5,3,0.00014,0.07167,0.21172,0.71647,0.35548,2.29784
6,4,1e-05,0.0718,0.21172,0.71647,0.35535,2.29784
3,0,0.01534,0.00413,0.26406,0.71647,0.31835,3.24913
3,3,0.00354,0.0,0.30512,0.69134,0.31573,1.05723
4,4,0.00022,0.0,0.30844,0.69134,0.30909,1.05723
5,5,1e-05,0.0,0.30865,0.69134,0.30867,1.05723
6,6,0.0,0.0,0.30865,0.69134,0.30866,1.05723
4,1,0.00375,0.01573,0.26406,0.71647,0.30675,3.24913
5,2,0.00037,0.01911,0.26406,0.71647,0.30337,3.24913
6,3,2e-05,0.01945,0.26406,0.71647,0.30303,3.24913
4,0,0.00336,0.00071,0.27946,0.71647,0.29097,4.23936
5,1,0.00066,0.00342,0.27946,0.71647,0.28827,4.23936
6,2,5e-05,0.00402,0.27946,0.71647,0.28766,4.23936
5,0,0.00059,0.0001,0.28284,0.71647,0.28482,5.23775
6,1,0.0001,0.0006,0.28284,0.71647,0.28432,5.23775
6,0,9e-05,1e-05,0.28343,0.71647,0.28372,6.23753
