pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
3,0,0.10852,0.08388,0.71449,0.0931,1.20782,1.62257
2,0,0.08626,0.0944,0.72624,0.0931,1.17381,1.81874
4,0,0.1024,0.06081,0.74369,0.0931,1.1725,1.81121
4,1,0.06566,0.12674,0.71449,0.0931,1.16496,1.62257
3,1,0.06959,0.11107,0.72624,0.0931,1.15714,1.81874
5,1,0.04957,0.11364,0.74369,0.0931,1.11967,1.81121
5,2,0.01589,0.17651,0.71449,0.0931,1.1152,1.62257
4,2,0.02105,0.15961,0.72624,0.0931,1.10861,1.81874
6,3,0.00214,0.19027,0.71449,0.0931,1.10144,1.62257
5,0,0.0773,0.03715,0.79245,0.0931,1.09865,2.32626
5,3,0.0034,0.17726,0.72624,0.0931,1.09095,1.81874
2,1,0.05531,0.07285,0.77874,0.0931,1.09036,2.37622
6,4,0.00034,0.18031,0.72624,0.0931,1.0879,1.81874
1,0,0.04545,0.08271,0.77874,0.0931,1.0805,2.37622
6,2,0.01,0.15321,0.74369,0.0931,1.0801,1.81121
3,2,0.02231,0.10585,0.77874,0.0931,1.05737,2.37622
6,1,0.03118,0.08327,0.79245,0.0931,1.05253,2.32626
4,3,0.0045,0.12366,0.77874,0.0931,1.03956,2.37622
5,4,0.00054,0.12761,0.77874,0.0931,1.0356,2.37622
6,5,4e-05,0.12811,0.77874,0.0931,1.0351,2.37622
6,0,0.04863,0.0196,0.83868,0.0931,1.02375,3.07021
1,1,0.02957,0.0,0.03567,0.93477,0.12437,3.19002
2,2,0.01773,0.0,0.0475,0.93477,0.1007,3.19002
0,0,0.01237,0.0,0.05286,0.93477,0.08997,3.19002
3,3,0.00477,0.0,0.06046,0.93477,0.07477,3.19002
4,4,0.00072,0.0,0.06451,0.93477,0.06667,3.19002
5,5,7e-05,0.0,0.06516,0.93477,0.06537,3.19002
6,6,0.0,0.0,0.06523,0.93477,0.06524,3.19002
1,2,0.0094,0.01216,0.00631,0.97213,0.05882,4.13428
0,1,0.00751,0.01405,0.00631,0.97213,0.05693,4.13428
2,3,0.00379,0.01777,0.00631,0.97213,0.05322,4.13428
3,4,0.00076,0.02079,0.00631,0.97213,0.05019,4.13428
4,5,9e-05,0.02146,0.00631,0.97213,0.04952,4.13428
5,6,1e-05,0.02155,0.00631,0.97213,0.04943,4.13428
0,2,0.00249,0.00272,0.02265,0.97213,0.03557,5.12166
1,3,0.00201,0.00321,0.02265,0.97213,0.03509,5.12166
2,4,0.00061,0.00461,0.02265,0.97213,0.03369,5.12166
3,5,0.0001,0.00512,0.02265,0.97213,0.03318,5.12166
4,6,1e-05,0.0052,0.02265,0.97213,0.03309,5.12166
0,3,0.00053,0.00041,0.02693,0.97213,0.02934,6.11946
1,4,0.00032,0.00062,0.02693,0.97213,0.02913,6.11946
2,5,8e-05,0.00087,0.02693,0.97213,0.02889,6.11946
3,6,1e-05,0.00093,0.02693,0.97213,0.02882,6.11946
0,4,9e-05,5e-05,0.02773,0.97213,0.02809,7.11916
1,5,4e-05,9e-05,0.02773,0.97213,0.02805,7.11916
2,6,1e-05,0.00013,0.02773,0.97213,0.02801,7.11916
0,5,1e-05,1e-05,0.02785,0.97213,0.0279,8.11912
1,6,0.0,1e-05,0.02785,0.97213,0.02789,8.11912
0,6,0.0,0.0,0.02787,0.97213,0.02787,9.11912
