pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.12675,0.12534,0.36087,0.38704,0.9918,1.24208
1,2,0.09726,0.15483,0.36087,0.38704,0.96231,1.24208
0,2,0.1176,0.07232,0.42304,0.38704,0.92048,1.52035
2,3,0.02469,0.2274,0.36087,0.38704,0.88974,1.24208
3,4,0.00313,0.24896,0.36087,0.38704,0.86819,1.24208
4,5,0.00024,0.25185,0.36087,0.38704,0.86529,1.24208
5,6,1e-05,0.25208,0.36087,0.38704,0.86506,1.24208
1,3,0.05972,0.1302,0.42304,0.38704,0.8626,1.52035
2,4,0.01137,0.17855,0.42304,0.38704,0.81425,1.52035
3,5,0.00115,0.18877,0.42304,0.38704,0.80403,1.52035
4,6,7e-05,0.18985,0.42304,0.38704,0.80295,1.52035
0,3,0.07221,0.03206,0.50869,0.38704,0.78944,2.17846
1,4,0.0275,0.07677,0.50869,0.38704,0.74473,2.17846
2,5,0.00419,0.10008,0.50869,0.38704,0.72142,2.17846
3,6,0.00035,0.10392,0.50869,0.38704,0.71758,2.17846
0,4,0.03325,0.01152,0.56819,0.38704,0.69098,3.0451
1,5,0.01013,0.03464,0.56819,0.38704,0.66786,3.0451
2,6,0.00129,0.04348,0.56819,0.38704,0.65901,3.0451
0,5,0.01225,0.00347,0.59724,0.38704,0.64093,4.00129
1,6,0.00311,0.01261,0.59724,0.38704,0.63179,4.00129
0,6,0.00376,0.0009,0.6083,0.38704,0.62138,4.98891
1,1,0.10653,0.0,0.11797,0.7755,0.43757,1.468
0,0,0.07025,0.0,0.15425,0.7755,0.365,1.468
1,0,0.0564,0.05627,0.04987,0.83746,0.33161,2.14292
2,1,0.04367,0.069,0.04987,0.83746,0.31888,2.14292
2,2,0.04022,0.0,0.18428,0.7755,0.30494,1.468
3,2,0.01109,0.10158,0.04987,0.83746,0.2863,2.14292
4,3,0.00141,0.11126,0.04987,0.83746,0.27662,2.14292
5,4,0.00011,0.11256,0.04987,0.83746,0.27532,2.14292
6,5,1e-05,0.11266,0.04987,0.83746,0.27522,2.14292
3,3,0.00681,0.0,0.21769,0.7755,0.23811,1.468
4,4,0.00065,0.0,0.22385,0.7755,0.2258,1.468
5,5,4e-05,0.0,0.22446,0.7755,0.22458,1.468
2,0,0.02371,0.01458,0.12426,0.83746,0.22453,3.04318
6,6,0.0,0.0,0.2245,0.7755,0.2245,1.468
3,1,0.01204,0.02625,0.12426,0.83746,0.21286,3.04318
4,2,0.00229,0.03599,0.12426,0.83746,0.20312,3.04318
5,3,0.00023,0.03805,0.12426,0.83746,0.20106,3.04318
6,4,1e-05,0.03827,0.12426,0.83746,0.20084,3.04318
3,0,0.00654,0.0029,0.1531,0.83746,0.17851,4.02
4,1,0.00249,0.00695,0.1531,0.83746,0.17447,4.02
5,2,0.00038,0.00906,0.1531,0.83746,0.17236,4.02
6,3,3e-05,0.00941,0.1531,0.83746,0.17201,4.02
4,0,0.00135,0.00047,0.16072,0.83746,0.16571,5.01571
5,1,0.00041,0.00141,0.16072,0.83746,0.16477,5.01571
6,2,5e-05,0.00177,0.16072,0.83746,0.16441,5.01571
5,0,0.00022,6e-05,0.16225,0.83746,0.16305,6.01505
6,1,6e-05,0.00023,0.16225,0.83746,0.16288,6.01505
6,0,3e-05,1e-05,0.1625,0.83746,0.16261,7.01496
