pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.10976,0.12443,0.2492,0.51662,0.82733,1.31514
2,1,0.09386,0.14033,0.2492,0.51662,0.81143,1.31514
3,2,0.0265,0.20769,0.2492,0.51662,0.74407,1.31514
4,3,0.00374,0.23045,0.2492,0.51662,0.72131,1.31514
5,4,0.00032,0.23387,0.2492,0.51662,0.71789,1.31514
6,5,2e-05,0.23417,0.2492,0.51662,0.71759,1.31514
2,0,0.08665,0.06054,0.3362,0.51662,0.71722,1.81675
3,1,0.04892,0.09826,0.3362,0.51662,0.6795,1.81675
4,2,0.01036,0.13683,0.3362,0.51662,0.64093,1.81675
5,3,0.00117,0.14602,0.3362,0.51662,0.63174,1.81675
6,4,8e-05,0.1471,0.3362,0.51662,0.63065,1.81675
3,0,0.04517,0.02269,0.41553,0.51662,0.59641,2.61272
4,1,0.01913,0.04873,0.41553,0.51662,0.57037,2.61272
5,2,0.00324,0.06462,0.41553,0.51662,0.55448,2.61272
6,3,0.0003,0.06755,0.41553,0.51662,0.55155,2.61272
4,0,0.01766,0.0069,0.45883,0.51662,0.5256,3.54442
5,1,0.00598,0.01857,0.45883,0.51662,0.51392,3.54442
6,2,0.00084,0.02371,0.45883,0.51662,0.50878,3.54442
0,1,0.0757,0.08619,0.10022,0.73789,0.4997,1.75769
1,1,0.1211,0.0,0.13341,0.74549,0.4967,1.28191
5,0,0.00552,0.00176,0.4761,0.51662,0.49619,4.52522
6,1,0.00156,0.00573,0.4761,0.51662,0.49223,4.52522
1,2,0.06501,0.09688,0.10022,0.73789,0.48901,1.75769
6,0,0.00144,0.00039,0.48156,0.51662,0.48665,5.52059
2,3,0.01835,0.14353,0.10022,0.73789,0.44235,1.75769
3,4,0.00259,0.1593,0.10022,0.73789,0.42659,1.75769
4,5,0.00022,0.16167,0.10022,0.73789,0.42422,1.75769
5,6,1e-05,0.16188,0.10022,0.73789,0.42401,1.75769
0,0,0.07192,0.0,0.18258,0.74549,0.39836,1.28191
0,2,0.04157,0.02905,0.19149,0.73789,0.3743,2.55725
1,3,0.02347,0.04715,0.19149,0.73789,0.3562,2.55725
2,2,0.05083,0.0,0.20367,0.74549,0.35617,1.28191
2,4,0.00497,0.06565,0.19149,0.73789,0.3377,2.55725
3,5,0.00056,0.07006,0.19149,0.73789,0.33329,2.55725
4,6,4e-05,0.07058,0.19149,0.73789,0.33277,2.55725
0,3,0.01501,0.00754,0.23956,0.73789,0.29967,3.49804
1,4,0.00636,0.01619,0.23956,0.73789,0.29102,3.49804
2,5,0.00108,0.02147,0.23956,0.73789,0.28574,3.49804
3,6,0.0001,0.02245,0.23956,0.73789,0.28476,3.49804
3,3,0.00957,0.0,0.24494,0.74549,0.27364,1.28191
0,4,0.00406,0.00159,0.25646,0.73789,0.27183,4.48394
1,5,0.00138,0.00428,0.25646,0.73789,0.26914,4.48394
2,6,0.00019,0.00546,0.25646,0.73789,0.26796,4.48394
0,5,0.00088,0.00028,0.26095,0.73789,0.26415,5.48114
1,6,0.00025,0.00091,0.26095,0.73789,0.26352,5.48114
0,6,0.00016,4e-05,0.26191,0.73789,0.26247,6.48067
4,4,0.00101,0.0,0.25349,0.74549,0.25653,1.28191
5,5,7e-05,0.0,0.25444,0.74549,0.25464,1.28191
6,6,0.0,0.0,0.2545,0.74549,0.25451,1.28191
