pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.13053,0.12337,0.34537,0.40073,0.9837,1.22834
2,1,0.0966,0.1573,0.34537,0.40073,0.94977,1.22834
2,0,0.11701,0.06893,0.41332,0.40073,0.90224,1.5376
3,2,0.02366,0.23024,0.34537,0.40073,0.87683,1.22834
4,3,0.0029,0.251,0.34537,0.40073,0.85607,1.22834
5,4,0.00021,0.25369,0.34537,0.40073,0.85339,1.22834
6,5,1e-05,0.25389,0.34537,0.40073,0.85318,1.22834
3,1,0.05731,0.12864,0.41332,0.40073,0.84253,1.5376
4,2,0.01053,0.17542,0.41332,0.40073,0.79575,1.5376
5,3,0.00103,0.18492,0.41332,0.40073,0.78625,1.5376
6,4,6e-05,0.18589,0.41332,0.40073,0.78529,1.5376
3,0,0.06942,0.02957,0.50028,0.40073,0.76769,2.21875
4,1,0.0255,0.07349,0.50028,0.40073,0.72377,2.21875
5,2,0.00375,0.09525,0.50028,0.40073,0.70202,2.21875
6,3,0.00031,0.09869,0.50028,0.40073,0.69857,2.21875
4,0,0.03089,0.01027,0.55811,0.40073,0.67133,3.0979
5,1,0.00908,0.03208,0.55811,0.40073,0.64951,3.0979
6,2,0.00111,0.04005,0.55811,0.40073,0.64155,3.0979
5,0,0.011,0.00299,0.58528,0.40073,0.62426,4.05937
6,1,0.00269,0.0113,0.58528,0.40073,0.61596,4.05937
6,0,0.00326,0.00075,0.59526,0.40073,0.60655,5.04883
1,1,0.1095,0.0,0.12185,0.76865,0.45036,1.42689
0,0,0.07483,0.0,0.15652,0.76865,0.38101,1.42689
0,1,0.06002,0.05722,0.05213,0.83062,0.34665,2.08814
1,2,0.0448,0.07244,0.05213,0.83062,0.33143,2.08814
2,2,0.03987,0.0,0.19148,0.76865,0.3111,1.42689
2,3,0.01097,0.10628,0.05213,0.83062,0.29759,2.08814
3,4,0.00134,0.1159,0.05213,0.83062,0.28797,2.08814
4,5,0.0001,0.11715,0.05213,0.83062,0.28672,2.08814
5,6,0.0,0.11724,0.05213,0.83062,0.28663,2.08814
3,3,0.00651,0.0,0.22484,0.76865,0.24437,1.42689
0,2,0.02517,0.01483,0.12937,0.83062,0.23455,2.98388
4,4,0.0006,0.0,0.23075,0.76865,0.23255,1.42689
5,5,4e-05,0.0,0.23132,0.76865,0.23142,1.42689
6,6,0.0,0.0,0.23135,0.76865,0.23135,1.42689
1,3,0.01233,0.02767,0.12937,0.83062,0.22171,2.98388
2,4,0.00226,0.03774,0.12937,0.83062,0.21164,2.98388
3,5,0.00022,0.03978,0.12937,0.83062,0.2096,2.98388
4,6,1e-05,0.03999,0.12937,0.83062,0.20939,2.98388
0,3,0.00693,0.00295,0.1595,0.83062,0.18618,3.95963
1,4,0.00254,0.00733,0.1595,0.83062,0.1818,3.95963
2,5,0.00037,0.0095,0.1595,0.83062,0.17963,3.95963
3,6,3e-05,0.00985,0.1595,0.83062,0.17928,3.95963
0,4,0.00143,0.00048,0.16747,0.83062,0.17271,4.95513
1,5,0.00042,0.00148,0.16747,0.83062,0.1717,4.95513
2,6,5e-05,0.00185,0.16747,0.83062,0.17133,4.95513
0,5,0.00024,6e-05,0.16908,0.83062,0.16991,5.95444
1,6,6e-05,0.00024,0.16908,0.83062,0.16973,5.95444
0,6,3e-05,1e-05,0.16934,0.83062,0.16945,6.95435
