pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
2,0,0.12979,0.08204,0.66944,0.11873,1.22288,1.53056
3,0,0.13609,0.06206,0.68312,0.11873,1.2155,1.52273
3,1,0.06744,0.14439,0.66944,0.11873,1.16053,1.53056
4,0,0.10702,0.03804,0.73621,0.11873,1.13334,1.9112
4,1,0.05303,0.14511,0.68312,0.11873,1.13244,1.52273
1,0,0.08216,0.08337,0.71574,0.11873,1.12896,1.96203
2,1,0.06432,0.10122,0.71574,0.11873,1.11111,1.96203
4,2,0.01314,0.19868,0.66944,0.11873,1.10623,1.53056
5,3,0.00137,0.21046,0.66944,0.11873,1.09446,1.53056
6,4,9e-05,0.21173,0.66944,0.11873,1.09318,1.53056
5,2,0.00827,0.18988,0.68312,0.11873,1.08768,1.52273
6,3,0.00072,0.19743,0.68312,0.11873,1.08013,1.52273
3,2,0.01671,0.14882,0.71574,0.11873,1.06351,1.96203
5,1,0.03336,0.11169,0.73621,0.11873,1.05969,1.9112
4,3,0.00217,0.16336,0.71574,0.11873,1.04897,1.96203
5,4,0.00017,0.16536,0.71574,0.11873,1.04697,1.96203
6,5,1e-05,0.16552,0.71574,0.11873,1.04681,1.96203
5,0,0.06733,0.01957,0.79437,0.11873,1.0355,2.58977
6,2,0.00433,0.14072,0.73621,0.11873,1.03066,1.9112
6,1,0.01749,0.06941,0.79437,0.11873,0.98566,2.58977
6,0,0.0353,0.00867,0.8373,0.11873,0.96054,3.44215
1,1,0.04125,0.0,0.04558,0.91317,0.16934,2.72456
0,0,0.02659,0.0,0.06024,0.91317,0.14002,2.72456
2,2,0.01594,0.0,0.07089,0.91317,0.1187,2.72456
3,3,0.00276,0.0,0.08407,0.91317,0.09235,2.72456
4,4,0.00027,0.0,0.08656,0.91317,0.08737,2.72456
5,5,2e-05,0.0,0.08681,0.91317,0.08686,2.72456
6,6,0.0,0.0,0.08683,0.91317,0.08683,2.72456
0,1,0.01264,0.01313,0.00613,0.9681,0.07031,3.66075
1,2,0.01013,0.01564,0.00613,0.9681,0.06781,3.66075
2,3,0.00263,0.02314,0.00613,0.9681,0.06031,3.66075
3,4,0.00034,0.02543,0.00613,0.9681,0.05802,3.66075
4,5,3e-05,0.02575,0.00613,0.9681,0.0577,3.66075
5,6,0.0,0.02577,0.00613,0.9681,0.05768,3.66075
0,2,0.00322,0.00204,0.02665,0.9681,0.04038,4.64849
1,3,0.00167,0.00358,0.02665,0.9681,0.03883,4.64849
2,4,0.00033,0.00493,0.02665,0.9681,0.03749,4.64849
3,5,3e-05,0.00522,0.02665,0.9681,0.03719,4.64849
4,6,0.0,0.00525,0.02665,0.9681,0.03716,4.64849
0,3,0.00053,0.00024,0.03113,0.9681,0.03321,5.64675
1,4,0.00021,0.00057,0.03113,0.9681,0.03289,5.64675
2,5,3e-05,0.00074,0.03113,0.9681,0.03271,5.64675
3,6,0.0,0.00077,0.03113,0.9681,0.03268,5.64675
0,4,7e-05,2e-05,0.03181,0.9681,0.03206,6.64655
1,5,2e-05,7e-05,0.03181,0.9681,0.03201,6.64655
2,6,0.0,9e-05,0.03181,0.9681,0.032,6.64655
0,5,1e-05,0.0,0.03189,0.9681,0.03192,7.64653
1,6,0.0,1e-05,0.03189,0.9681,0.03191,7.64653
0,6,0.0,0.0,0.0319,0.9681,0.0319,8.64653
