pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.14535,0.11394,0.40764,0.33307,1.07157,1.22053
1,2,0.09233,0.16696,0.40764,0.33307,1.01855,1.22053
0,2,0.13882,0.06849,0.45963,0.33307,1.01305,1.40524
2,3,0.01944,0.23986,0.40764,0.33307,0.94566,1.22053
1,3,0.05844,0.14886,0.45963,0.33307,0.93268,1.40524
3,4,0.00205,0.25724,0.40764,0.33307,0.92827,1.22053
4,5,0.00013,0.25916,0.40764,0.33307,0.92635,1.22053
5,6,1e-05,0.25928,0.40764,0.33307,0.92623,1.22053
2,4,0.00923,0.19808,0.45963,0.33307,0.88346,1.40524
3,5,0.00078,0.20653,0.45963,0.33307,0.87501,1.40524
4,6,4e-05,0.20726,0.45963,0.33307,0.87428,1.40524
0,3,0.08787,0.03151,0.54756,0.33307,0.87417,2.00457
1,4,0.02774,0.09163,0.54756,0.33307,0.81405,2.00457
2,5,0.0035,0.11587,0.54756,0.33307,0.78981,2.00457
3,6,0.00025,0.11913,0.54756,0.33307,0.78655,2.00457
0,4,0.04171,0.01172,0.61351,0.33307,0.76208,2.84263
1,5,0.01054,0.04289,0.61351,0.33307,0.7309,2.84263
2,6,0.00111,0.05232,0.61351,0.33307,0.72147,2.84263
0,5,0.01584,0.00365,0.64744,0.33307,0.70227,3.78755
1,6,0.00333,0.01616,0.64744,0.33307,0.68976,3.78755
0,6,0.00501,0.00098,0.66094,0.33307,0.67794,4.77147
1,1,0.0981,0.0,0.11322,0.78867,0.40753,1.5544
0,0,0.07785,0.0,0.13347,0.78867,0.36703,1.5544
2,2,0.0307,0.0,0.18062,0.78867,0.27273,1.5544
1,0,0.05035,0.03991,0.03148,0.87826,0.26235,2.31092
2,1,0.03234,0.05792,0.03148,0.87826,0.24434,2.31092
3,3,0.00431,0.0,0.20702,0.78867,0.21994,1.5544
3,2,0.00681,0.08345,0.03148,0.87826,0.21881,2.31092
4,3,0.00072,0.08954,0.03148,0.87826,0.21272,2.31092
5,4,5e-05,0.09021,0.03148,0.87826,0.21205,2.31092
4,4,0.00034,0.0,0.21099,0.78867,0.21201,1.5544
6,5,0.0,0.09026,0.03148,0.87826,0.212,2.31092
5,5,2e-05,0.0,0.21131,0.78867,0.21136,1.5544
6,6,0.0,0.0,0.21133,0.78867,0.21133,1.5544
2,0,0.01703,0.0084,0.09631,0.87826,0.1642,3.24796
3,1,0.00717,0.01826,0.09631,0.87826,0.15434,3.24796
4,2,0.00113,0.0243,0.09631,0.87826,0.1483,3.24796
5,3,0.0001,0.02534,0.09631,0.87826,0.14727,3.24796
6,4,1e-05,0.02543,0.09631,0.87826,0.14718,3.24796
3,0,0.00378,0.00135,0.11661,0.87826,0.13065,4.23586
4,1,0.00119,0.00394,0.11661,0.87826,0.12806,4.23586
5,2,0.00015,0.00498,0.11661,0.87826,0.12702,4.23586
6,3,1e-05,0.00512,0.11661,0.87826,0.12688,4.23586
4,0,0.00063,0.00018,0.12094,0.87826,0.12317,5.23402
5,1,0.00016,0.00065,0.12094,0.87826,0.1227,5.23402
6,2,2e-05,0.00079,0.12094,0.87826,0.12256,5.23402
5,0,8e-05,2e-05,0.12164,0.87826,0.12193,6.23379
6,1,2e-05,9e-05,0.12164,0.87826,0.12186,6.23379
6,0,1e-05,0.0,0.12173,0.87826,0.12176,7.23377
