pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.1314,0.11638,0.25944,0.49278,0.88639,1.23755
2,1,0.09228,0.1555,0.25944,0.49278,0.84727,1.23755
3,2,0.02143,0.22635,0.25944,0.49278,0.77642,1.23755
2,0,0.09983,0.05522,0.35217,0.49278,0.76209,1.71867
4,3,0.00249,0.24529,0.25944,0.49278,0.75748,1.23755
5,4,0.00017,0.2476,0.25944,0.49278,0.75517,1.23755
6,5,1e-05,0.24777,0.25944,0.49278,0.755,1.23755
3,1,0.04636,0.10869,0.35217,0.49278,0.70862,1.71867
4,2,0.00807,0.14698,0.35217,0.49278,0.67033,1.71867
5,3,0.00075,0.1543,0.35217,0.49278,0.66301,1.71867
6,4,4e-05,0.155,0.35217,0.49278,0.66231,1.71867
3,0,0.05014,0.02009,0.43698,0.49278,0.6276,2.50989
4,1,0.01746,0.05278,0.43698,0.49278,0.59492,2.50989
5,2,0.00243,0.06781,0.43698,0.49278,0.57989,2.50989
6,3,0.00019,0.07005,0.43698,0.49278,0.57764,2.50989
4,0,0.01889,0.00592,0.48241,0.49278,0.55092,3.44159
5,1,0.00526,0.01955,0.48241,0.49278,0.53729,3.44159
6,2,0.00061,0.0242,0.48241,0.49278,0.53263,3.44159
5,0,0.00569,0.00146,0.50006,0.49278,0.52006,4.4229
6,1,0.00132,0.00583,0.50006,0.49278,0.51569,4.4229
6,0,0.00143,0.00031,0.50547,0.49278,0.51039,5.41853
1,1,0.12355,0.0,0.13886,0.73759,0.50952,1.25198
0,1,0.08019,0.07139,0.0788,0.76963,0.46214,1.79123
0,0,0.089,0.0,0.17342,0.73759,0.4404,1.25198
1,2,0.05661,0.09497,0.0788,0.76963,0.43856,1.79123
2,3,0.01314,0.13843,0.0788,0.76963,0.39509,1.79123
3,4,0.00153,0.15005,0.0788,0.76963,0.38347,1.79123
4,5,0.00011,0.15147,0.0788,0.76963,0.38205,1.79123
5,6,0.0,0.15157,0.0788,0.76963,0.38195,1.79123
2,2,0.04265,0.0,0.21976,0.73759,0.34772,1.25198
0,2,0.03756,0.02078,0.17203,0.76963,0.32628,2.63364
1,3,0.01744,0.0409,0.17203,0.76963,0.30616,2.63364
2,4,0.00304,0.05531,0.17203,0.76963,0.29175,2.63364
3,5,0.00028,0.05806,0.17203,0.76963,0.289,2.63364
4,6,2e-05,0.05833,0.17203,0.76963,0.28873,2.63364
3,3,0.0066,0.0,0.25581,0.73759,0.27562,1.25198
4,4,0.00057,0.0,0.26184,0.73759,0.26356,1.25198
5,5,3e-05,0.0,0.26238,0.73759,0.26248,1.25198
6,6,0.0,0.0,0.26241,0.73759,0.26241,1.25198
0,3,0.01157,0.00464,0.21416,0.76963,0.25816,3.59273
1,4,0.00403,0.01218,0.21416,0.76963,0.25062,3.59273
2,5,0.00056,0.01565,0.21416,0.76963,0.24715,3.59273
3,6,4e-05,0.01617,0.21416,0.76963,0.24663,3.59273
0,4,0.00268,0.00084,0.22686,0.76963,0.23656,4.58425
1,5,0.00075,0.00277,0.22686,0.76963,0.23463,4.58425
2,6,9e-05,0.00343,0.22686,0.76963,0.23397,4.58425
0,5,0.00049,0.00013,0.22975,0.76963,0.23149,5.58279
1,6,0.00011,0.00051,0.22975,0.76963,0.23111,5.58279
0,6,8e-05,2e-05,0.23028,0.76963,0.23054,6.58258
