pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.136,0.11985,0.39138,0.35277,1.03907,1.23202
2,1,0.09509,0.16075,0.39138,0.35277,0.99816,1.23202
2,0,0.12942,0.07137,0.44643,0.35277,0.97745,1.44925
3,2,0.02202,0.23382,0.39138,0.35277,0.92509,1.23202
3,1,0.05994,0.14086,0.44643,0.35277,0.90796,1.44925
4,3,0.00255,0.25329,0.39138,0.35277,0.90562,1.23202
5,4,0.00018,0.25567,0.39138,0.35277,0.90325,1.23202
6,5,1e-05,0.25584,0.39138,0.35277,0.90308,1.23202
4,2,0.01041,0.19038,0.44643,0.35277,0.85843,1.44925
5,3,0.00096,0.19983,0.44643,0.35277,0.84899,1.44925
6,4,6e-05,0.20074,0.44643,0.35277,0.84808,1.44925
3,0,0.08158,0.03259,0.53306,0.35277,0.84298,2.06807
4,1,0.02834,0.08584,0.53306,0.35277,0.78973,2.06807
5,2,0.00394,0.11023,0.53306,0.35277,0.76533,2.06807
6,3,0.0003,0.11387,0.53306,0.35277,0.7617,2.06807
4,0,0.03857,0.01204,0.59662,0.35277,0.7364,2.91524
5,1,0.01072,0.03989,0.59662,0.35277,0.70855,2.91524
6,2,0.00124,0.04937,0.59662,0.35277,0.69908,2.91524
5,0,0.01459,0.00373,0.62891,0.35277,0.68013,3.86362
6,1,0.00338,0.01494,0.62891,0.35277,0.66892,3.86362
6,0,0.0046,0.001,0.64163,0.35277,0.65742,4.84863
1,1,0.10146,0.0,0.1141,0.78444,0.41849,1.52647
0,0,0.07328,0.0,0.14228,0.78444,0.36212,1.52647
0,1,0.0523,0.04657,0.03835,0.86279,0.28837,2.25205
2,2,0.03493,0.0,0.18063,0.78444,0.28543,1.52647
1,2,0.03695,0.06192,0.03835,0.86279,0.27302,2.25205
2,3,0.00856,0.09031,0.03835,0.86279,0.24463,2.25205
3,4,0.00099,0.09787,0.03835,0.86279,0.23707,2.25205
4,5,7e-05,0.09879,0.03835,0.86279,0.23614,2.25205
5,6,0.0,0.09886,0.03835,0.86279,0.23608,2.25205
3,3,0.00539,0.0,0.21017,0.78444,0.22635,1.52647
4,4,0.00047,0.0,0.21509,0.78444,0.2165,1.52647
5,5,3e-05,0.0,0.21554,0.78444,0.21561,1.52647
6,6,0.0,0.0,0.21556,0.78444,0.21556,1.52647
0,2,0.01954,0.01077,0.1069,0.86279,0.18706,3.17536
1,3,0.00905,0.02126,0.1069,0.86279,0.17657,3.17536
2,4,0.00157,0.02874,0.1069,0.86279,0.1691,3.17536
3,5,0.00015,0.03017,0.1069,0.86279,0.16767,3.17536
4,6,1e-05,0.03031,0.1069,0.86279,0.16753,3.17536
0,3,0.00479,0.00191,0.13051,0.86279,0.14869,4.15929
1,4,0.00166,0.00503,0.13051,0.86279,0.14557,4.15929
2,5,0.00023,0.00647,0.13051,0.86279,0.14414,4.15929
3,6,2e-05,0.00668,0.13051,0.86279,0.14393,4.15929
0,4,0.00088,0.00027,0.13606,0.86279,0.13924,5.15661
1,5,0.00024,0.00091,0.13606,0.86279,0.13861,5.15661
2,6,3e-05,0.00113,0.13606,0.86279,0.13839,5.15661
0,5,0.00013,3e-05,0.13705,0.86279,0.1375,6.15625
1,6,3e-05,0.00013,0.13705,0.86279,0.1374,6.15625
0,6,2e-05,0.0,0.13719,0.86279,0.13725,7.1562
