pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.15044,0.10831,0.26575,0.4755,0.93369,1.17968
2,1,0.08905,0.1697,0.26575,0.4755,0.87229,1.17968
3,2,0.01744,0.2413,0.26575,0.4755,0.80069,1.17968
2,0,0.11048,0.05017,0.36385,0.4755,0.79563,1.64818
4,3,0.00171,0.25704,0.26575,0.4755,0.78495,1.17968
5,4,0.0001,0.25865,0.26575,0.4755,0.78334,1.17968
6,5,0.0,0.25874,0.26575,0.4755,0.78325,1.17968
3,1,0.04329,0.11736,0.36385,0.4755,0.72843,1.64818
4,2,0.00636,0.15429,0.36385,0.4755,0.69151,1.64818
5,3,0.0005,0.16015,0.36385,0.4755,0.68565,1.64818
6,4,2e-05,0.16063,0.36385,0.4755,0.68517,1.64818
3,0,0.0537,0.01776,0.45303,0.4755,0.64967,2.43798
4,1,0.01578,0.05569,0.45303,0.4755,0.61174,2.43798
5,2,0.00185,0.06961,0.45303,0.4755,0.59782,2.43798
6,3,0.00012,0.07135,0.45303,0.4755,0.59608,2.43798
4,0,0.01958,0.00508,0.49984,0.4755,0.56873,3.37072
5,1,0.0046,0.02006,0.49984,0.4755,0.55376,3.37072
6,2,0.00045,0.02421,0.49984,0.4755,0.54961,3.37072
5,0,0.00571,0.00122,0.51757,0.4755,0.53713,4.35278
6,1,0.00112,0.00581,0.51757,0.4755,0.53254,4.35278
6,0,0.00139,0.00025,0.52286,0.4755,0.52752,5.34869
1,1,0.12321,0.0,0.14592,0.73088,0.51553,1.22867
0,0,0.10498,0.0,0.16414,0.73088,0.47909,1.22867
0,1,0.08267,0.05986,0.06385,0.79362,0.43158,1.81591
1,2,0.04922,0.09331,0.06385,0.79362,0.39813,1.81591
2,3,0.00964,0.13289,0.06385,0.79362,0.35855,1.81591
3,4,0.00094,0.14158,0.06385,0.79362,0.34985,1.81591
4,5,6e-05,0.14247,0.06385,0.79362,0.34896,1.81591
5,6,0.0,0.14253,0.06385,0.79362,0.34891,1.81591
2,2,0.03589,0.0,0.23324,0.73088,0.3409,1.22867
0,2,0.03375,0.01533,0.15731,0.79362,0.28921,2.6882
3,3,0.00469,0.0,0.26444,0.73088,0.2785,1.22867
4,4,0.00034,0.0,0.26878,0.73088,0.26981,1.22867
5,5,2e-05,0.0,0.26911,0.73088,0.26915,1.22867
6,6,0.0,0.0,0.26912,0.73088,0.26912,1.22867
1,3,0.01322,0.03585,0.15731,0.79362,0.26868,2.6882
2,4,0.00194,0.04713,0.15731,0.79362,0.2574,2.6882
3,5,0.00015,0.04892,0.15731,0.79362,0.25561,2.6882
4,6,1e-05,0.04907,0.15731,0.79362,0.25546,2.6882
0,3,0.00907,0.003,0.19431,0.79362,0.22752,3.65864
1,4,0.00266,0.0094,0.19431,0.79362,0.22111,3.65864
2,5,0.00031,0.01175,0.19431,0.79362,0.21876,3.65864
3,6,2e-05,0.01205,0.19431,0.79362,0.21847,3.65864
0,4,0.00183,0.00047,0.20408,0.79362,0.21051,4.65322
1,5,0.00043,0.00187,0.20408,0.79362,0.20911,4.65322
2,6,4e-05,0.00226,0.20408,0.79362,0.20872,4.65322
0,5,0.00029,6e-05,0.20602,0.79362,0.20703,5.6524
1,6,6e-05,0.0003,0.20602,0.79362,0.2068,5.6524
0,6,4e-05,1e-05,0.20633,0.79362,0.20647,6.6523
