pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,2,0.14076,0.08516,0.56678,0.2073,1.15938,1.36424
0,1,0.1109,0.10757,0.57423,0.2073,1.12206,1.51271
1,2,0.08376,0.13471,0.57423,0.2073,1.09492,1.51271
1,3,0.0705,0.15542,0.56678,0.2073,1.08912,1.36424
0,3,0.11849,0.05179,0.62243,0.2073,1.08146,1.66761
2,3,0.02098,0.19749,0.57423,0.2073,1.03214,1.51271
2,4,0.01324,0.21268,0.56678,0.2073,1.03186,1.36424
3,5,0.00133,0.22459,0.56678,0.2073,1.01995,1.36424
4,6,8e-05,0.22584,0.56678,0.2073,1.0187,1.36424
3,4,0.00263,0.21584,0.57423,0.2073,1.01379,1.51271
4,5,0.0002,0.21827,0.57423,0.2073,1.01136,1.51271
5,6,1e-05,0.21846,0.57423,0.2073,1.01117,1.51271
1,4,0.04451,0.12576,0.62243,0.2073,1.00748,1.66761
2,5,0.00669,0.16359,0.62243,0.2073,0.96966,1.66761
0,4,0.0748,0.02551,0.69239,0.2073,0.96781,2.31153
3,6,0.00056,0.16972,0.62243,0.2073,0.96353,1.66761
1,5,0.02248,0.07783,0.69239,0.2073,0.91549,2.31153
2,6,0.00281,0.09749,0.69239,0.2073,0.89582,2.31153
0,5,0.03778,0.01054,0.74438,0.2073,0.8788,3.15607
1,6,0.00946,0.03886,0.74438,0.2073,0.85048,3.15607
0,6,0.0159,0.00375,0.77305,0.2073,0.82825,4.09725
1,1,0.06692,0.0,0.07423,0.85885,0.275,2.09811
0,0,0.04473,0.0,0.09642,0.85885,0.23062,2.09811
2,2,0.02492,0.0,0.11623,0.85885,0.19099,2.09811
3,3,0.00416,0.0,0.13699,0.85885,0.14947,2.09811
1,0,0.02568,0.02535,0.01512,0.93385,0.14286,2.96581
4,4,0.00039,0.0,0.14076,0.85885,0.14193,2.09811
5,5,2e-05,0.0,0.14113,0.85885,0.1412,2.09811
6,6,0.0,0.0,0.14115,0.85885,0.14115,2.09811
2,1,0.01974,0.03129,0.01512,0.93385,0.13692,2.96581
3,2,0.00494,0.04609,0.01512,0.93385,0.12212,2.96581
4,3,0.00062,0.05041,0.01512,0.93385,0.1178,2.96581
5,4,5e-05,0.05098,0.01512,0.93385,0.11723,2.96581
6,5,0.0,0.05103,0.01512,0.93385,0.11718,2.96581
2,0,0.00782,0.00473,0.05361,0.93385,0.08651,3.93557
3,1,0.00391,0.00863,0.05361,0.93385,0.08261,3.93557
4,2,0.00074,0.01181,0.05361,0.93385,0.07943,3.93557
5,3,7e-05,0.01247,0.05361,0.93385,0.07877,3.93557
6,4,0.0,0.01254,0.05361,0.93385,0.0787,3.93557
3,0,0.00155,0.00068,0.06392,0.93385,0.06993,4.93042
4,1,0.00058,0.00165,0.06392,0.93385,0.06896,4.93042
5,2,9e-05,0.00214,0.06392,0.93385,0.06846,4.93042
6,3,1e-05,0.00222,0.06392,0.93385,0.06838,4.93042
4,0,0.00023,8e-05,0.06584,0.93385,0.06669,5.92972
5,1,7e-05,0.00024,0.06584,0.93385,0.06653,5.92972
6,2,1e-05,0.0003,0.06584,0.93385,0.06647,5.92972
5,0,3e-05,1e-05,0.06611,0.93385,0.06621,6.92965
6,1,1e-05,3e-05,0.06611,0.93385,0.06619,6.92965
6,0,0.0,0.0,0.06615,0.93385,0.06616,7.92964
