pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.14007,0.11473,0.43233,0.31287,1.08201,1.25154
2,0,0.14012,0.0721,0.47491,0.31287,1.03949,1.38687
2,1,0.09225,0.16255,0.43233,0.31287,1.03419,1.25154
3,2,0.02013,0.23467,0.43233,0.31287,0.96207,1.25154
3,1,0.06117,0.15106,0.47491,0.31287,0.96053,1.38687
4,3,0.0022,0.25261,0.43233,0.31287,0.94413,1.25154
5,4,0.00014,0.25466,0.43233,0.31287,0.94208,1.25154
6,5,1e-05,0.2548,0.43233,0.31287,0.94194,1.25154
4,2,0.01001,0.20221,0.47491,0.31287,0.90937,1.38687
3,0,0.09291,0.0347,0.55952,0.31287,0.90766,1.94667
5,3,0.00087,0.21135,0.47491,0.31287,0.90024,1.38687
6,4,5e-05,0.21218,0.47491,0.31287,0.89941,1.38687
4,1,0.03042,0.0972,0.55952,0.31287,0.84516,1.94667
5,2,0.00398,0.12363,0.55952,0.31287,0.81873,1.94667
6,3,0.00029,0.12732,0.55952,0.31287,0.81504,1.94667
4,0,0.0462,0.01351,0.62742,0.31287,0.79305,2.76169
5,1,0.0121,0.04761,0.62742,0.31287,0.75894,2.76169
6,2,0.00132,0.05839,0.62742,0.31287,0.74816,2.76169
5,0,0.01838,0.00441,0.66435,0.31287,0.7283,3.69612
6,1,0.00401,0.01878,0.66435,0.31287,0.71393,3.69612
6,0,0.00609,0.00124,0.6798,0.31287,0.70056,4.67614
1,1,0.09357,0.0,0.10682,0.79961,0.38754,1.6258
0,0,0.07165,0.0,0.12874,0.79961,0.34369,1.6258
2,2,0.03037,0.0,0.17002,0.79961,0.26112,1.6258
0,1,0.04581,0.03797,0.02869,0.88752,0.24207,2.40085
1,2,0.03053,0.05325,0.02869,0.88752,0.22679,2.40085
3,3,0.00442,0.0,0.19597,0.79961,0.20923,1.6258
2,3,0.00666,0.07712,0.02869,0.88752,0.20292,2.40085
4,4,0.00036,0.0,0.20003,0.79961,0.20111,1.6258
5,5,2e-05,0.0,0.20037,0.79961,0.20043,1.6258
6,6,0.0,0.0,0.20039,0.79961,0.20039,1.6258
3,4,0.00073,0.08306,0.02869,0.88752,0.19699,2.40085
4,5,5e-05,0.08374,0.02869,0.88752,0.19631,2.40085
5,6,0.0,0.08378,0.02869,0.88752,0.19626,2.40085
0,2,0.01535,0.0079,0.08923,0.88752,0.15107,3.34347
1,3,0.0067,0.01655,0.08923,0.88752,0.14242,3.34347
2,4,0.0011,0.02215,0.08923,0.88752,0.13682,3.34347
3,5,0.0001,0.02315,0.08923,0.88752,0.13582,3.34347
4,6,1e-05,0.02324,0.08923,0.88752,0.13573,3.34347
0,3,0.00337,0.00126,0.10785,0.88752,0.12047,4.33258
1,4,0.0011,0.00352,0.10785,0.88752,0.11821,4.33258
2,5,0.00014,0.00448,0.10785,0.88752,0.11725,4.33258
3,6,1e-05,0.00462,0.10785,0.88752,0.11711,4.33258
0,4,0.00055,0.00016,0.11176,0.88752,0.11375,5.33094
1,5,0.00015,0.00057,0.11176,0.88752,0.11334,5.33094
2,6,2e-05,0.0007,0.11176,0.88752,0.11321,5.33094
0,5,7e-05,2e-05,0.11239,0.88752,0.11264,6.33074
1,6,2e-05,7e-05,0.11239,0.88752,0.11258,6.33074
0,6,1e-05,0.0,0.11247,0.88752,0.11249,7.33072
