pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.11509,0.12283,0.47919,0.28289,1.07012,1.35755
2,0,0.12949,0.0857,0.50191,0.28289,1.0618,1.39917
2,1,0.0938,0.14412,0.47919,0.28289,1.04883,1.35755
3,1,0.06991,0.14529,0.50191,0.28289,1.00222,1.39917
3,2,0.02532,0.2126,0.47919,0.28289,0.98035,1.35755
4,3,0.00342,0.2345,0.47919,0.28289,0.95845,1.35755
3,0,0.09651,0.04601,0.57458,0.28289,0.95615,1.87119
5,4,0.00028,0.23764,0.47919,0.28289,0.95531,1.35755
6,5,1e-05,0.23791,0.47919,0.28289,0.95505,1.35755
4,2,0.01415,0.20104,0.50191,0.28289,0.94646,1.39917
5,3,0.00153,0.21367,0.50191,0.28289,0.93384,1.39917
6,4,0.0001,0.21509,0.50191,0.28289,0.93241,1.39917
4,1,0.03908,0.10345,0.57458,0.28289,0.89872,1.87119
5,2,0.00633,0.1362,0.57458,0.28289,0.86597,1.87119
6,3,0.00057,0.14196,0.57458,0.28289,0.86021,1.87119
4,0,0.05395,0.02003,0.64313,0.28289,0.84504,2.62827
5,1,0.01748,0.0565,0.64313,0.28289,0.80856,2.62827
6,2,0.00236,0.07162,0.64313,0.28289,0.79345,2.62827
5,0,0.02413,0.00732,0.68566,0.28289,0.77268,3.5333
6,1,0.00651,0.02493,0.68566,0.28289,0.75507,3.5333
6,0,0.00899,0.0023,0.70582,0.28289,0.7374,4.50122
1,1,0.08464,0.0,0.09329,0.82206,0.34723,1.79177
0,0,0.05254,0.0,0.12539,0.82206,0.28303,1.79177
2,2,0.03397,0.0,0.14396,0.82206,0.24589,1.79177
0,1,0.03678,0.03979,0.02837,0.89505,0.21831,2.58187
1,2,0.03039,0.04619,0.02837,0.89505,0.21192,2.58187
3,3,0.00611,0.0,0.17182,0.82206,0.19017,1.79177
2,3,0.0082,0.06837,0.02837,0.89505,0.18973,2.58187
3,4,0.00111,0.07547,0.02837,0.89505,0.18264,2.58187
4,5,9e-05,0.07649,0.02837,0.89505,0.18162,2.58187
5,6,0.0,0.07657,0.02837,0.89505,0.18153,2.58187
4,4,0.00062,0.0,0.17732,0.82206,0.17918,1.79177
5,5,4e-05,0.0,0.1779,0.82206,0.17802,1.79177
6,6,0.0,0.0,0.17794,0.82206,0.17794,1.79177
0,2,0.01359,0.00899,0.08237,0.89505,0.14113,3.52512
1,3,0.00734,0.01525,0.08237,0.89505,0.13487,3.52512
2,4,0.00149,0.0211,0.08237,0.89505,0.12902,3.52512
3,5,0.00016,0.02243,0.08237,0.89505,0.1277,3.52512
4,6,1e-05,0.02258,0.08237,0.89505,0.12755,3.52512
0,3,0.00328,0.00156,0.10011,0.89505,0.11308,4.51355
1,4,0.00133,0.00352,0.10011,0.89505,0.11113,4.51355
2,5,0.00022,0.00463,0.10011,0.89505,0.11001,4.51355
3,6,2e-05,0.00483,0.10011,0.89505,0.10982,4.51355
0,4,0.00059,0.00022,0.10414,0.89505,0.10636,5.51166
1,5,0.00019,0.00062,0.10414,0.89505,0.10596,5.51166
2,6,3e-05,0.00079,0.10414,0.89505,0.10579,5.51166
0,5,9e-05,3e-05,0.10484,0.89505,0.10515,6.51141
1,6,2e-05,9e-05,0.10484,0.89505,0.10509,6.51141
0,6,1e-05,0.0,0.10494,0.89505,0.10497,7.51138
