pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.13778,0.11759,0.29747,0.44715,0.946,1.20745
2,1,0.09388,0.1615,0.29747,0.44715,0.9021,1.20745
2,0,0.11138,0.05952,0.38194,0.44715,0.83514,1.6125
3,2,0.02116,0.23421,0.29747,0.44715,0.82938,1.20745
4,3,0.00239,0.25299,0.29747,0.44715,0.81061,1.20745
5,4,0.00016,0.25521,0.29747,0.44715,0.80838,1.20745
6,5,1e-05,0.25537,0.29747,0.44715,0.80823,1.20745
3,1,0.05022,0.12069,0.38194,0.44715,0.77397,1.6125
4,2,0.00849,0.16241,0.38194,0.44715,0.73224,1.6125
5,3,0.00077,0.17014,0.38194,0.44715,0.72452,1.6125
6,4,4e-05,0.17086,0.38194,0.44715,0.72379,1.6125
3,0,0.05958,0.02309,0.47018,0.44715,0.6951,2.35936
4,1,0.02015,0.06252,0.47018,0.44715,0.65567,2.35936
5,2,0.00273,0.07995,0.47018,0.44715,0.63824,2.35936
6,3,0.0002,0.08247,0.47018,0.44715,0.63572,2.35936
4,0,0.0239,0.00724,0.5217,0.44715,0.6079,3.27156
5,1,0.00647,0.02468,0.5217,0.44715,0.59046,3.27156
6,2,0.00073,0.03042,0.5217,0.44715,0.58473,3.27156
5,0,0.00767,0.00191,0.54327,0.44715,0.5701,4.24606
6,1,0.00173,0.00785,0.54327,0.44715,0.56416,4.24606
6,0,0.00205,0.00043,0.55036,0.44715,0.55738,5.23972
1,1,0.11803,0.0,0.13357,0.7484,0.48766,1.31314
0,0,0.08753,0.0,0.16407,0.7484,0.42667,1.31314
0,1,0.07187,0.06176,0.06193,0.80445,0.40105,1.92204
1,2,0.0493,0.08433,0.06193,0.80445,0.37848,1.92204
2,3,0.01111,0.12251,0.06193,0.80445,0.3403,1.92204
2,2,0.03956,0.0,0.21204,0.7484,0.33072,1.31314
3,4,0.00125,0.13238,0.06193,0.80445,0.33043,1.92204
4,5,8e-05,0.13354,0.06193,0.80445,0.32927,1.92204
5,6,0.0,0.13362,0.06193,0.80445,0.32919,1.92204
0,2,0.03072,0.01642,0.14841,0.80445,0.27341,2.79818
3,3,0.00595,0.0,0.24565,0.7484,0.26349,1.31314
1,3,0.01385,0.03329,0.14841,0.80445,0.25654,2.79818
4,4,0.0005,0.0,0.2511,0.7484,0.2526,1.31314
5,5,3e-05,0.0,0.25157,0.7484,0.25165,1.31314
6,6,0.0,0.0,0.2516,0.7484,0.2516,1.31314
2,4,0.00234,0.0448,0.14841,0.80445,0.24503,2.79818
3,5,0.00021,0.04693,0.14841,0.80445,0.2429,2.79818
4,6,1e-05,0.04713,0.14841,0.80445,0.2427,2.79818
0,3,0.00863,0.00334,0.18358,0.80445,0.21616,3.76861
1,4,0.00292,0.00906,0.18358,0.80445,0.21045,3.76861
2,5,0.00039,0.01158,0.18358,0.80445,0.20792,3.76861
3,6,3e-05,0.01195,0.18358,0.80445,0.20756,3.76861
0,4,0.00182,0.00055,0.19318,0.80445,0.19974,4.76299
1,5,0.00049,0.00188,0.19318,0.80445,0.19842,4.76299
2,6,6e-05,0.00231,0.19318,0.80445,0.19798,4.76299
0,5,0.00031,8e-05,0.19517,0.80445,0.19624,5.7621
1,6,7e-05,0.00031,0.19517,0.80445,0.19601,5.7621
0,6,4e-05,1e-05,0.1955,0.80445,0.19565,6.76199
