pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.12901,0.10805,0.20965,0.55329,0.81278,1.28019
2,1,0.08658,0.15048,0.20965,0.55329,0.77035,1.28019
3,2,0.0192,0.21786,0.20965,0.55329,0.70297,1.28019
4,3,0.00213,0.23493,0.20965,0.55329,0.6859,1.28019
5,4,0.00014,0.23692,0.20965,0.55329,0.68392,1.28019
6,5,1e-05,0.23706,0.20965,0.55329,0.68378,1.28019
2,0,0.08735,0.04579,0.31357,0.55329,0.6672,1.86089
3,1,0.03874,0.0944,0.31357,0.55329,0.61859,1.86089
4,2,0.00644,0.12669,0.31357,0.55329,0.58629,1.86089
5,3,0.00057,0.13257,0.31357,0.55329,0.58042,1.86089
6,4,3e-05,0.13311,0.31357,0.55329,0.57988,1.86089
0,1,0.09496,0.07979,0.10051,0.72475,0.54495,1.62311
3,0,0.03908,0.01486,0.39276,0.55329,0.53975,2.70786
1,1,0.13014,0.0,0.1479,0.72196,0.53831,1.17361
1,2,0.06393,0.11082,0.10051,0.72475,0.51392,1.62311
4,1,0.013,0.04095,0.39276,0.55329,0.51366,2.70786
5,2,0.00173,0.05222,0.39276,0.55329,0.50239,2.70786
6,3,0.00013,0.05382,0.39276,0.55329,0.50079,2.70786
4,0,0.01312,0.0039,0.42969,0.55329,0.47685,3.66274
0,0,0.0981,0.0,0.17994,0.72196,0.47423,1.17361
5,1,0.00349,0.01353,0.42969,0.55329,0.46722,3.66274
2,3,0.01418,0.16057,0.10051,0.72475,0.46417,1.62311
6,2,0.00039,0.01663,0.42969,0.55329,0.46412,3.66274
5,0,0.00352,0.00086,0.44233,0.55329,0.45461,4.65165
6,1,0.00078,0.0036,0.44233,0.55329,0.45187,4.65165
3,4,0.00157,0.17317,0.10051,0.72475,0.45157,1.62311
4,5,0.0001,0.17464,0.10051,0.72475,0.4501,1.62311
5,6,0.0,0.17474,0.10051,0.72475,0.45,1.62311
6,0,0.00079,0.00016,0.44576,0.55329,0.44845,5.64933
0,2,0.04762,0.02496,0.20266,0.72475,0.39546,2.4221
1,3,0.02112,0.05147,0.20266,0.72475,0.36896,2.4221
2,2,0.04291,0.0,0.23513,0.72196,0.36385,1.17361
2,4,0.00351,0.06908,0.20266,0.72475,0.35135,2.4221
3,5,0.00031,0.07228,0.20266,0.72475,0.34815,2.4221
4,6,2e-05,0.07257,0.20266,0.72475,0.34786,2.4221
0,3,0.01573,0.00598,0.25353,0.72475,0.3127,3.36627
1,4,0.00523,0.01648,0.25353,0.72475,0.3022,3.36627
2,5,0.0007,0.02102,0.25353,0.72475,0.29766,3.36627
3,6,5e-05,0.02167,0.25353,0.72475,0.29702,3.36627
3,3,0.00634,0.0,0.2717,0.72196,0.29072,1.17361
0,4,0.0039,0.00116,0.27019,0.72475,0.28421,4.35387
1,5,0.00104,0.00402,0.27019,0.72475,0.28135,4.35387
2,6,0.00012,0.00494,0.27019,0.72475,0.28042,4.35387
4,4,0.00053,0.0,0.27751,0.72196,0.27909,1.17361
5,5,3e-05,0.0,0.27801,0.72196,0.27809,1.17361
6,6,0.0,0.0,0.27804,0.72196,0.27804,1.17361
0,5,0.00077,0.00019,0.27429,0.72475,0.27698,5.35159
1,6,0.00017,0.00079,0.27429,0.72475,0.27638,5.35159
0,6,0.00013,3e-05,0.2751,0.72475,0.27553,6.35123
