pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
2,0,0.14143,0.08113,0.52302,0.25442,1.10958,1.35706
1,0,0.12374,0.11354,0.50831,0.25442,1.1066,1.37367
2,1,0.08938,0.1479,0.50831,0.25442,1.07224,1.37367
3,1,0.06773,0.15483,0.52302,0.25442,1.03588,1.35706
3,0,0.10717,0.04449,0.59393,0.25442,1.00441,1.78557
3,2,0.0214,0.21588,0.50831,0.25442,1.00426,1.37367
4,3,0.00256,0.23472,0.50831,0.25442,0.98542,1.37367
5,4,0.00018,0.23709,0.50831,0.25442,0.98305,1.37367
6,5,1e-05,0.23727,0.50831,0.25442,0.98287,1.37367
4,2,0.01216,0.2104,0.52302,0.25442,0.98031,1.35706
5,3,0.00116,0.2214,0.52302,0.25442,0.96931,1.35706
6,4,7e-05,0.22249,0.52302,0.25442,0.96822,1.35706
4,1,0.03849,0.11317,0.59393,0.25442,0.93573,1.78557
5,2,0.00553,0.14613,0.59393,0.25442,0.90277,1.78557
6,3,0.00044,0.15122,0.59393,0.25442,0.89768,1.78557
4,0,0.06091,0.01975,0.66493,0.25442,0.88714,2.5174
5,1,0.0175,0.06315,0.66493,0.25442,0.84374,2.5174
6,2,0.0021,0.07856,0.66493,0.25442,0.82833,2.5174
5,0,0.02769,0.00735,0.71054,0.25442,0.80832,3.41054
6,1,0.00663,0.02841,0.71054,0.25442,0.78726,3.41054
6,0,0.01049,0.00236,0.73273,0.25442,0.76892,4.37376
1,1,0.07933,0.0,0.08861,0.83205,0.32661,1.86483
0,0,0.05543,0.0,0.11251,0.83205,0.27881,1.86483
2,2,0.02824,0.0,0.1397,0.83205,0.22444,1.86483
0,1,0.0339,0.03156,0.02101,0.91353,0.18583,2.69189
3,3,0.00451,0.0,0.16344,0.83205,0.17696,1.86483
1,2,0.02485,0.04061,0.02101,0.91353,0.17678,2.69189
4,4,0.0004,0.0,0.16754,0.83205,0.16876,1.86483
5,5,2e-05,0.0,0.16792,0.83205,0.16799,1.86483
6,6,0.0,0.0,0.16795,0.83205,0.16795,1.86483
2,3,0.00595,0.05951,0.02101,0.91353,0.15788,2.69189
3,4,0.00071,0.06475,0.02101,0.91353,0.15264,2.69189
4,5,5e-05,0.06541,0.02101,0.91353,0.15198,2.69189
5,6,0.0,0.06546,0.02101,0.91353,0.15193,2.69189
0,2,0.01093,0.00627,0.06927,0.91353,0.1146,3.64988
1,3,0.00523,0.01197,0.06927,0.91353,0.10891,3.64988
2,4,0.00094,0.01626,0.06927,0.91353,0.10461,3.64988
3,5,9e-05,0.01711,0.06927,0.91353,0.10376,3.64988
4,6,1e-05,0.0172,0.06927,0.91353,0.10368,3.64988
0,3,0.0023,0.00096,0.08321,0.91353,0.09203,4.64227
1,4,0.00083,0.00243,0.08321,0.91353,0.09055,4.64227
2,5,0.00012,0.00314,0.08321,0.91353,0.08985,4.64227
3,6,1e-05,0.00325,0.08321,0.91353,0.08974,4.64227
0,4,0.00036,0.00012,0.08599,0.91353,0.08731,5.64118
1,5,0.0001,0.00038,0.08599,0.91353,0.08706,5.64118
2,6,1e-05,0.00047,0.08599,0.91353,0.08696,5.64118
0,5,5e-05,1e-05,0.08641,0.91353,0.08657,6.64105
1,6,1e-05,5e-05,0.08641,0.91353,0.08654,6.64105
0,6,0.0,0.0,0.08646,0.91353,0.08648,7.64104
