pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.14924,0.10416,0.47639,0.27021,1.13242,1.27676
2,0,0.1554,0.06864,0.50575,0.27021,1.10922,1.32397
2,1,0.08604,0.16736,0.47639,0.27021,1.06922,1.27676
3,1,0.05943,0.1646,0.50575,0.27021,1.01326,1.32397
3,2,0.01645,0.23694,0.47639,0.27021,0.99964,1.27676
4,3,0.00157,0.25182,0.47639,0.27021,0.98476,1.27676
5,4,9e-05,0.25331,0.47639,0.27021,0.98327,1.27676
6,5,0.0,0.25339,0.47639,0.27021,0.98319,1.27676
3,0,0.10734,0.03456,0.58789,0.27021,0.97903,1.81926
4,2,0.00852,0.21551,0.50575,0.27021,0.96235,1.32397
5,3,0.00065,0.22338,0.50575,0.27021,0.95448,1.32397
6,4,3e-05,0.224,0.50575,0.27021,0.95386,1.32397
4,1,0.03079,0.11111,0.58789,0.27021,0.90248,1.81926
5,2,0.00353,0.13837,0.58789,0.27021,0.87522,1.81926
6,3,0.00023,0.14168,0.58789,0.27021,0.87191,1.81926
4,0,0.05561,0.01405,0.66013,0.27021,0.85506,2.59834
5,1,0.01276,0.0569,0.66013,0.27021,0.81221,2.59834
6,2,0.00122,0.06844,0.66013,0.27021,0.80067,2.59834
5,0,0.02305,0.00479,0.70195,0.27021,0.78067,3.51675
6,1,0.00441,0.02343,0.70195,0.27021,0.76203,3.51675
6,0,0.00796,0.0014,0.72043,0.27021,0.74711,4.49083
1,1,0.08377,0.0,0.10019,0.81605,0.35149,1.73634
0,0,0.0731,0.0,0.11085,0.81605,0.33016,1.73634
2,2,0.02382,0.0,0.16014,0.81605,0.23159,1.73634
0,1,0.03933,0.02783,0.01909,0.91374,0.19275,2.56382
3,3,0.00304,0.0,0.18092,0.81605,0.19003,1.73634
4,4,0.00022,0.0,0.18374,0.81605,0.18439,1.73634
5,5,1e-05,0.0,0.18394,0.81605,0.18397,1.73634
6,6,0.0,0.0,0.18395,0.81605,0.18395,1.73634
1,2,0.02299,0.04418,0.01909,0.91374,0.17641,2.56382
2,3,0.0044,0.06277,0.01909,0.91374,0.15782,2.56382
3,4,0.00042,0.06674,0.01909,0.91374,0.15384,2.56382
4,5,2e-05,0.06714,0.01909,0.91374,0.15344,2.56382
5,6,0.0,0.06716,0.01909,0.91374,0.15342,2.56382
0,2,0.01109,0.0049,0.07027,0.91374,0.11334,3.52563
1,3,0.00424,0.01175,0.07027,0.91374,0.10649,3.52563
2,4,0.00061,0.01538,0.07027,0.91374,0.10286,3.52563
3,5,5e-05,0.01595,0.07027,0.91374,0.1023,3.52563
4,6,0.0,0.01599,0.07027,0.91374,0.10225,3.52563
0,3,0.00205,0.00066,0.08355,0.91374,0.09101,4.51943
1,4,0.00059,0.00212,0.08355,0.91374,0.08955,4.51943
2,5,7e-05,0.00264,0.08355,0.91374,0.08903,4.51943
3,6,0.0,0.0027,0.08355,0.91374,0.08897,4.51943
0,4,0.00028,7e-05,0.0859,0.91374,0.0869,5.51864
1,5,7e-05,0.00029,0.0859,0.91374,0.08668,5.51864
2,6,1e-05,0.00035,0.0859,0.91374,0.08662,5.51864
0,5,3e-05,1e-05,0.08622,0.91374,0.08633,6.51855
1,6,1e-05,3e-05,0.08622,0.91374,0.0863,6.51855
0,6,0.0,0.0,0.08625,0.91374,0.08626,7.51855
