pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.13369,0.12081,0.31603,0.42947,0.95872,1.21722
2,1,0.09542,0.15908,0.31603,0.42947,0.92046,1.21722
2,0,0.11303,0.06378,0.39373,0.42947,0.86037,1.58516
3,2,0.02253,0.23197,0.31603,0.42947,0.84757,1.21722
4,3,0.00266,0.25184,0.31603,0.42947,0.8277,1.21722
5,4,0.00019,0.25431,0.31603,0.42947,0.82523,1.21722
6,5,1e-05,0.25449,0.31603,0.42947,0.82505,1.21722
3,1,0.05338,0.12343,0.39373,0.42947,0.80073,1.58516
4,2,0.00945,0.16735,0.39373,0.42947,0.7568,1.58516
5,3,0.00089,0.17592,0.39373,0.42947,0.74824,1.58516
6,4,5e-05,0.17676,0.39373,0.42947,0.7474,1.58516
3,0,0.06323,0.02583,0.48147,0.42947,0.72283,2.30671
4,1,0.0224,0.06667,0.48147,0.42947,0.68199,2.30671
5,2,0.00317,0.08589,0.48147,0.42947,0.66277,2.30671
6,3,0.00025,0.08881,0.48147,0.42947,0.65985,2.30671
4,0,0.02653,0.00847,0.53554,0.42947,0.63206,3.20639
5,1,0.00752,0.02748,0.53554,0.42947,0.61305,3.20639
6,2,0.00089,0.03411,0.53554,0.42947,0.60642,3.20639
5,0,0.0089,0.00233,0.5593,0.42947,0.59067,4.17606
6,1,0.0021,0.00913,0.5593,0.42947,0.58387,4.17606
6,0,0.00249,0.00055,0.56749,0.42947,0.57607,5.1682
1,1,0.11472,0.0,0.12848,0.7568,0.47264,1.35829
0,0,0.08126,0.0,0.16194,0.7568,0.40572,1.35829
0,1,0.06675,0.06078,0.05874,0.81373,0.38055,1.98575
1,2,0.048,0.07953,0.05874,0.81373,0.3618,1.98575
2,3,0.01134,0.11619,0.05874,0.81373,0.32513,1.98575
2,2,0.04028,0.0,0.20292,0.7568,0.32376,1.35829
3,4,0.00134,0.12619,0.05874,0.81373,0.31513,1.98575
4,5,9e-05,0.12743,0.05874,0.81373,0.31389,1.98575
5,6,0.0,0.12752,0.05874,0.81373,0.3138,1.98575
0,2,0.0286,0.01614,0.14152,0.81373,0.25961,2.86827
3,3,0.00634,0.0,0.23686,0.7568,0.25588,1.35829
1,3,0.01351,0.03123,0.14152,0.81373,0.24452,2.86827
4,4,0.00056,0.0,0.24264,0.7568,0.24432,1.35829
5,5,3e-05,0.0,0.24317,0.7568,0.24326,1.35829
6,6,0.0,0.0,0.2432,0.7568,0.2432,1.35829
2,4,0.00239,0.04235,0.14152,0.81373,0.2334,2.86827
3,5,0.00023,0.04452,0.14152,0.81373,0.23124,2.86827
4,6,1e-05,0.04473,0.14152,0.81373,0.23102,2.86827
0,3,0.00805,0.00329,0.17493,0.81373,0.20566,3.84028
1,4,0.00285,0.00849,0.17493,0.81373,0.20046,3.84028
2,5,0.0004,0.01093,0.17493,0.81373,0.19801,3.84028
3,6,3e-05,0.01131,0.17493,0.81373,0.19764,3.84028
0,4,0.0017,0.00054,0.18403,0.81373,0.19021,4.83496
1,5,0.00048,0.00176,0.18403,0.81373,0.18899,4.83496
2,6,6e-05,0.00218,0.18403,0.81373,0.18857,4.83496
0,5,0.00029,8e-05,0.18591,0.81373,0.18692,5.83413
1,6,7e-05,0.00029,0.18591,0.81373,0.1867,5.83413
0,6,4e-05,1e-05,0.18622,0.81373,0.18636,6.83402
