pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.13667,0.12005,0.33279,0.41049,0.9829,1.21027
2,1,0.09532,0.1614,0.33279,0.41049,0.94155,1.21027
2,0,0.11818,0.06493,0.40639,0.41049,0.8908,1.5447
3,2,0.022,0.23472,0.33279,0.41049,0.86823,1.21027
4,3,0.00254,0.25418,0.33279,0.41049,0.84876,1.21027
5,4,0.00018,0.25654,0.33279,0.41049,0.8464,1.21027
6,5,1e-05,0.25671,0.33279,0.41049,0.84623,1.21027
3,1,0.05456,0.12855,0.40639,0.41049,0.82718,1.5447
4,2,0.00945,0.17367,0.40639,0.41049,0.78206,1.5447
5,3,0.00087,0.18224,0.40639,0.41049,0.77349,1.5447
6,4,5e-05,0.18306,0.40639,0.41049,0.77267,1.5447
3,0,0.06764,0.02693,0.49493,0.41049,0.75172,2.24534
4,1,0.02342,0.07115,0.49493,0.41049,0.7075,2.24534
5,2,0.00324,0.09133,0.49493,0.41049,0.68732,2.24534
6,3,0.00025,0.09432,0.49493,0.41049,0.68433,2.24534
4,0,0.02904,0.00904,0.55143,0.41049,0.65662,3.13513
5,1,0.00804,0.03003,0.55143,0.41049,0.63562,3.13513
6,2,0.00093,0.03715,0.55143,0.41049,0.62851,3.13513
5,0,0.00997,0.00254,0.57699,0.41049,0.61199,4.10107
6,1,0.0023,0.01021,0.57699,0.41049,0.60432,4.10107
6,0,0.00285,0.00062,0.58604,0.41049,0.59583,5.09205
1,1,0.112,0.0,0.12604,0.76195,0.46206,1.38928
0,0,0.08114,0.0,0.1569,0.76195,0.40034,1.38928
0,1,0.06368,0.05639,0.05238,0.82755,0.35619,2.04439
1,2,0.04477,0.07529,0.05238,0.82755,0.33728,2.04439
2,2,0.03844,0.0,0.19961,0.76195,0.31493,1.38928
2,3,0.01033,0.10973,0.05238,0.82755,0.30284,2.04439
3,4,0.00119,0.11887,0.05238,0.82755,0.2937,2.04439
4,5,8e-05,0.11998,0.05238,0.82755,0.29259,2.04439
5,6,0.0,0.12006,0.05238,0.82755,0.29251,2.04439
3,3,0.00592,0.0,0.23213,0.76195,0.24988,1.38928
4,4,0.00051,0.0,0.23754,0.76195,0.23907,1.38928
0,2,0.02607,0.01433,0.13205,0.82755,0.23892,2.93963
5,5,3e-05,0.0,0.23802,0.76195,0.2381,1.38928
6,6,0.0,0.0,0.23805,0.76195,0.23805,1.38928
1,3,0.01204,0.02836,0.13205,0.82755,0.22488,2.93963
2,4,0.00208,0.03832,0.13205,0.82755,0.21493,2.93963
3,5,0.00019,0.04021,0.13205,0.82755,0.21304,2.93963
4,6,1e-05,0.04039,0.13205,0.82755,0.21286,2.93963
0,3,0.00701,0.00279,0.16265,0.82755,0.18926,3.91566
1,4,0.00243,0.00737,0.16265,0.82755,0.18467,3.91566
2,5,0.00034,0.00946,0.16265,0.82755,0.18258,3.91566
3,6,3e-05,0.00977,0.16265,0.82755,0.18227,3.91566
0,4,0.00141,0.00044,0.17059,0.82755,0.17571,4.9113
1,5,0.00039,0.00146,0.17059,0.82755,0.17469,4.9113
2,6,5e-05,0.00181,0.17059,0.82755,0.17434,4.9113
0,5,0.00023,6e-05,0.17216,0.82755,0.17296,5.91064
1,6,5e-05,0.00023,0.17216,0.82755,0.17278,5.91064
0,6,3e-05,1e-05,0.17241,0.82755,0.17251,6.91056
