pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.14182,0.11417,0.42824,0.31577,1.08203,1.24416
0,2,0.14054,0.07113,0.47255,0.31577,1.03644,1.38769
1,2,0.09208,0.16391,0.42824,0.31577,1.03229,1.24416
2,3,0.01981,0.23617,0.42824,0.31577,0.96003,1.24416
1,3,0.06048,0.15119,0.47255,0.31577,0.95638,1.38769
3,4,0.00213,0.25386,0.42824,0.31577,0.94234,1.24416
4,5,0.00014,0.25585,0.42824,0.31577,0.94035,1.24416
5,6,1e-05,0.25598,0.42824,0.31577,0.94022,1.24416
2,4,0.00976,0.20191,0.47255,0.31577,0.90566,1.38769
0,3,0.09231,0.03393,0.55798,0.31577,0.90279,1.95456
3,5,0.00084,0.21083,0.47255,0.31577,0.89674,1.38769
4,6,5e-05,0.21163,0.47255,0.31577,0.89594,1.38769
1,4,0.0298,0.09645,0.55798,0.31577,0.84027,1.95456
2,5,0.00385,0.1224,0.55798,0.31577,0.81432,1.95456
3,6,0.00028,0.12597,0.55798,0.31577,0.81075,1.95456
0,4,0.04548,0.01309,0.62566,0.31577,0.78827,2.77392
1,5,0.01174,0.04682,0.62566,0.31577,0.75453,2.77392
2,6,0.00126,0.0573,0.62566,0.31577,0.74405,2.77392
0,5,0.01792,0.00423,0.66207,0.31577,0.7243,3.71042
1,6,0.00386,0.0183,0.66207,0.31577,0.71024,3.71042
0,6,0.00589,0.00118,0.67716,0.31577,0.69718,4.69123
1,1,0.09428,0.0,0.10807,0.79764,0.39092,1.61261
0,0,0.07321,0.0,0.12914,0.79764,0.34878,1.61261
2,2,0.03016,0.0,0.17219,0.79764,0.26269,1.61261
1,0,0.0466,0.03796,0.02886,0.88658,0.24458,2.38577
2,1,0.03062,0.05395,0.02886,0.88658,0.2286,2.38577
3,3,0.00433,0.0,0.19803,0.79764,0.21101,1.61261
3,2,0.00659,0.07797,0.02886,0.88658,0.20457,2.38577
4,4,0.00035,0.0,0.20201,0.79764,0.20306,1.61261
5,5,2e-05,0.0,0.20234,0.79764,0.20239,1.61261
6,6,0.0,0.0,0.20236,0.79764,0.20236,1.61261
4,3,0.00071,0.08385,0.02886,0.88658,0.19869,2.38577
5,4,5e-05,0.08452,0.02886,0.88658,0.19803,2.38577
6,5,0.0,0.08456,0.02886,0.88658,0.19798,2.38577
2,0,0.01554,0.00786,0.09002,0.88658,0.15236,3.32806
3,1,0.00669,0.01671,0.09002,0.88658,0.1435,3.32806
4,2,0.00108,0.02232,0.09002,0.88658,0.1379,3.32806
5,3,9e-05,0.02331,0.09002,0.88658,0.13691,3.32806
6,4,0.0,0.0234,0.09002,0.88658,0.13682,3.32806
3,0,0.00339,0.00125,0.10878,0.88658,0.12145,4.31715
4,1,0.0011,0.00355,0.10878,0.88658,0.11915,4.31715
5,2,0.00014,0.0045,0.10878,0.88658,0.1182,4.31715
6,3,1e-05,0.00463,0.10878,0.88658,0.11807,4.31715
4,0,0.00056,0.00016,0.1127,0.88658,0.11469,5.31552
5,1,0.00014,0.00057,0.1127,0.88658,0.11428,5.31552
6,2,2e-05,0.0007,0.1127,0.88658,0.11415,5.31552
5,0,7e-05,2e-05,0.11333,0.88658,0.11358,6.31532
6,1,2e-05,7e-05,0.11333,0.88658,0.11352,6.31532
6,0,1e-05,0.0,0.11341,0.88658,0.11344,7.31529
