pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.14175,0.10709,0.23184,0.51933,0.87126,1.22089
2,1,0.08735,0.16148,0.23184,0.51933,0.81686,1.22089
3,2,0.0178,0.23104,0.23184,0.51933,0.74731,1.22089
4,3,0.00181,0.24702,0.23184,0.51933,0.73133,1.22089
5,4,0.00011,0.24873,0.23184,0.51933,0.72962,1.22089
6,5,0.0,0.24883,0.23184,0.51933,0.72952,1.22089
2,0,0.09824,0.04669,0.33575,0.51933,0.72384,1.75722
3,1,0.04004,0.10488,0.33575,0.51933,0.66564,1.75722
4,2,0.00612,0.13881,0.33575,0.51933,0.63172,1.75722
5,3,0.0005,0.14443,0.33575,0.51933,0.6261,1.75722
6,4,3e-05,0.1449,0.33575,0.51933,0.62563,1.75722
3,0,0.04503,0.01557,0.42007,0.51933,0.58631,2.5834
4,1,0.01377,0.04683,0.42007,0.51933,0.55504,2.5834
5,2,0.00168,0.05892,0.42007,0.51933,0.54296,2.5834
6,3,0.00011,0.06049,0.42007,0.51933,0.54139,2.5834
1,1,0.12817,0.0,0.14956,0.72228,0.53405,1.18224
4,0,0.01548,0.0042,0.461,0.51933,0.51583,3.53078
5,1,0.00379,0.01589,0.461,0.51933,0.50414,3.53078
6,2,0.00039,0.01929,0.461,0.51933,0.50074,3.53078
0,1,0.09126,0.06924,0.0811,0.7584,0.49337,1.69903
5,0,0.00426,0.00095,0.47547,0.51933,0.49014,4.51752
0,0,0.10502,0.0,0.1727,0.72228,0.48776,1.18224
6,1,0.00087,0.00434,0.47547,0.51933,0.48675,4.51752
6,0,0.00098,0.00018,0.47951,0.51933,0.48281,5.51466
1,2,0.05648,0.10402,0.0811,0.7584,0.45859,1.69903
2,3,0.01151,0.14899,0.0811,0.7584,0.41362,1.69903
3,4,0.00117,0.15933,0.0811,0.7584,0.40328,1.69903
4,5,7e-05,0.16043,0.0811,0.7584,0.40218,1.69903
5,6,0.0,0.1605,0.0811,0.7584,0.40211,1.69903
2,2,0.03884,0.0,0.23888,0.72228,0.3554,1.18224
0,2,0.04107,0.01952,0.18101,0.7584,0.34327,2.53683
1,3,0.01674,0.04385,0.18101,0.7584,0.31894,2.53683
2,4,0.00256,0.05803,0.18101,0.7584,0.30476,2.53683
3,5,0.00021,0.06039,0.18101,0.7584,0.30241,2.53683
4,6,1e-05,0.06058,0.18101,0.7584,0.30221,2.53683
3,3,0.00528,0.0,0.27244,0.72228,0.28827,1.18224
4,4,0.0004,0.0,0.27732,0.72228,0.27853,1.18224
5,5,2e-05,0.0,0.2777,0.72228,0.27776,1.18224
6,6,0.0,0.0,0.27772,0.72228,0.27772,1.18224
0,3,0.01217,0.00421,0.22522,0.7584,0.27016,3.49581
1,4,0.00372,0.01266,0.22522,0.7584,0.26171,3.49581
2,5,0.00046,0.01593,0.22522,0.7584,0.25844,3.49581
3,6,3e-05,0.01635,0.22522,0.7584,0.25802,3.49581
0,4,0.00271,0.00073,0.23817,0.7584,0.24775,4.48756
1,5,0.00066,0.00278,0.23817,0.7584,0.24571,4.48756
2,6,7e-05,0.00337,0.23817,0.7584,0.24511,4.48756
0,5,0.00048,0.00011,0.24102,0.7584,0.24267,5.48619
1,6,0.0001,0.00049,0.24102,0.7584,0.24229,5.48619
0,6,7e-05,1e-05,0.24152,0.7584,0.24176,6.486
