pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.13544,0.11183,0.24227,0.51046,0.87226,1.23422
1,2,0.08983,0.15745,0.24227,0.51046,0.82664,1.23422
2,3,0.0197,0.22757,0.24227,0.51046,0.75651,1.23422
3,4,0.00216,0.24511,0.24227,0.51046,0.73897,1.23422
4,5,0.00014,0.24713,0.24227,0.51046,0.73696,1.23422
5,6,1e-05,0.24726,0.24227,0.51046,0.73682,1.23422
0,2,0.09789,0.05064,0.34101,0.51046,0.73597,1.74968
1,3,0.04293,0.10561,0.34101,0.51046,0.68101,1.74968
2,4,0.00706,0.14148,0.34101,0.51046,0.64514,1.74968
3,5,0.00062,0.14792,0.34101,0.51046,0.6387,1.74968
4,6,3e-05,0.1485,0.34101,0.51046,0.63811,1.74968
0,3,0.04678,0.01757,0.42519,0.51046,0.60068,2.56221
1,4,0.01539,0.04896,0.42519,0.51046,0.56928,2.56221
2,5,0.00202,0.06233,0.42519,0.51046,0.55592,2.56221
3,6,0.00015,0.0642,0.42519,0.51046,0.55404,2.56221
0,4,0.01677,0.00493,0.46785,0.51046,0.52801,3.50344
1,1,0.12641,0.0,0.1441,0.72949,0.52332,1.21331
1,5,0.00441,0.01729,0.46785,0.51046,0.51565,3.50344
2,6,0.00048,0.02121,0.46785,0.51046,0.51172,3.50344
0,5,0.00481,0.00116,0.48357,0.51046,0.50032,4.48807
1,6,0.00105,0.00491,0.48357,0.51046,0.49657,4.48807
0,6,0.00115,0.00023,0.48816,0.51046,0.49208,5.48463
1,0,0.08628,0.07157,0.0821,0.76005,0.48408,1.73341
0,0,0.09634,0.0,0.17416,0.72949,0.46319,1.21331
2,1,0.05749,0.10037,0.0821,0.76005,0.45529,1.73341
3,2,0.01261,0.14525,0.0821,0.76005,0.41041,1.73341
4,3,0.00138,0.15647,0.0821,0.76005,0.39918,1.73341
5,4,9e-05,0.15776,0.0821,0.76005,0.39789,1.73341
6,5,0.0,0.15785,0.0821,0.76005,0.39781,1.73341
2,2,0.04121,0.0,0.2293,0.72949,0.35293,1.21331
2,0,0.04009,0.02074,0.17911,0.76005,0.34088,2.56922
3,1,0.01758,0.04325,0.17911,0.76005,0.31837,2.56922
4,2,0.00289,0.05795,0.17911,0.76005,0.30368,2.56922
5,3,0.00025,0.06058,0.17911,0.76005,0.30104,2.56922
6,4,1e-05,0.06082,0.17911,0.76005,0.3008,2.56922
3,3,0.00602,0.0,0.26448,0.72949,0.28256,1.21331
4,4,0.0005,0.0,0.27001,0.72949,0.2715,1.21331
5,5,3e-05,0.0,0.27048,0.72949,0.27056,1.21331
6,6,0.0,0.0,0.27051,0.72949,0.27051,1.21331
3,0,0.01226,0.00461,0.22308,0.76005,0.26908,3.5267
4,1,0.00403,0.01284,0.22308,0.76005,0.26085,3.5267
5,2,0.00053,0.01634,0.22308,0.76005,0.25735,3.5267
6,3,4e-05,0.01683,0.22308,0.76005,0.25686,3.5267
4,0,0.00281,0.00083,0.23631,0.76005,0.2464,4.51792
5,1,0.00074,0.0029,0.23631,0.76005,0.24433,4.51792
6,2,8e-05,0.00356,0.23631,0.76005,0.24367,4.51792
5,0,0.00052,0.00012,0.23931,0.76005,0.24111,5.51642
6,1,0.00011,0.00053,0.23931,0.76005,0.2407,5.51642
6,0,8e-05,2e-05,0.23985,0.76005,0.24012,6.5162
