pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.12517,0.12317,0.29272,0.45894,0.91458,1.24429
2,1,0.09569,0.15266,0.29272,0.45894,0.8851,1.24429
3,2,0.02418,0.22416,0.29272,0.45894,0.81359,1.24429
2,0,0.10352,0.06331,0.37424,0.45894,0.81141,1.65885
4,3,0.00306,0.24529,0.29272,0.45894,0.79246,1.24429
5,4,0.00023,0.24811,0.29272,0.45894,0.78964,1.24429
6,5,1e-05,0.24833,0.29272,0.45894,0.78942,1.24429
3,1,0.05232,0.1145,0.37424,0.45894,0.76022,1.65885
4,2,0.00992,0.15691,0.37424,0.45894,0.71781,1.65885
5,3,0.001,0.16582,0.37424,0.45894,0.70889,1.65885
6,4,6e-05,0.16676,0.37424,0.45894,0.70795,1.65885
3,0,0.0566,0.025,0.45946,0.45894,0.67928,2.40706
4,1,0.02146,0.06015,0.45946,0.45894,0.64413,2.40706
5,2,0.00325,0.07835,0.45946,0.45894,0.62593,2.40706
6,3,0.00027,0.08133,0.45946,0.45894,0.62295,2.40706
4,0,0.02321,0.008,0.50985,0.45894,0.59549,3.31849
5,1,0.00704,0.02417,0.50985,0.45894,0.57932,3.31849
6,2,0.00089,0.03032,0.50985,0.45894,0.57317,3.31849
5,0,0.00762,0.00215,0.5313,0.45894,0.55844,4.29235
6,1,0.00192,0.00784,0.5313,0.45894,0.55275,4.29235
6,0,0.00208,0.0005,0.53849,0.45894,0.54573,5.28573
1,1,0.11769,0.0,0.13039,0.75192,0.48346,1.32642
0,1,0.07008,0.06941,0.07137,0.78914,0.42043,1.90471
1,2,0.05392,0.08557,0.07137,0.78914,0.40426,1.90471
0,0,0.07796,0.0,0.17012,0.75192,0.404,1.32642
2,3,0.01363,0.12586,0.07137,0.78914,0.36397,1.90471
3,4,0.00172,0.13777,0.07137,0.78914,0.35207,1.90471
4,5,0.00013,0.13936,0.07137,0.78914,0.35047,1.90471
5,6,1e-05,0.13948,0.07137,0.78914,0.35035,1.90471
2,2,0.04423,0.0,0.20385,0.75192,0.33653,1.32642
0,2,0.03287,0.0201,0.15789,0.78914,0.29669,2.76197
1,3,0.01661,0.03636,0.15789,0.78914,0.28044,2.76197
2,4,0.00315,0.04982,0.15789,0.78914,0.26698,2.76197
3,5,0.00032,0.05265,0.15789,0.78914,0.26414,2.76197
4,6,2e-05,0.05295,0.15789,0.78914,0.26385,2.76197
3,3,0.00745,0.0,0.24063,0.75192,0.26298,1.32642
4,4,0.00071,0.0,0.24737,0.75192,0.24949,1.32642
5,5,4e-05,0.0,0.24804,0.75192,0.24817,1.32642
6,6,0.0,0.0,0.24808,0.75192,0.24808,1.32642
0,3,0.01013,0.00447,0.19625,0.78914,0.23558,3.72518
1,4,0.00384,0.01076,0.19625,0.78914,0.2293,3.72518
2,5,0.00058,0.01402,0.19625,0.78914,0.22604,3.72518
3,6,5e-05,0.01455,0.19625,0.78914,0.22551,3.72518
0,4,0.00234,0.00081,0.20771,0.78914,0.21634,4.71759
1,5,0.00071,0.00244,0.20771,0.78914,0.21471,4.71759
2,6,9e-05,0.00306,0.20771,0.78914,0.21409,4.71759
0,5,0.00043,0.00012,0.2103,0.78914,0.21184,5.71629
1,6,0.00011,0.00045,0.2103,0.78914,0.21152,5.71629
0,6,7e-05,2e-05,0.21077,0.78914,0.211,6.7161
