pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
3,0,0.12842,0.06896,0.68921,0.11342,1.21237,1.54361
2,0,0.11671,0.08737,0.6825,0.11342,1.20738,1.59703
3,1,0.06973,0.13435,0.6825,0.11342,1.1604,1.59703
4,0,0.10597,0.04418,0.73643,0.11342,1.14271,1.88494
4,1,0.05755,0.13983,0.68921,0.11342,1.1415,1.54361
1,0,0.07038,0.08541,0.7308,0.11342,1.11274,2.05863
4,2,0.01563,0.18846,0.6825,0.11342,1.10629,1.59703
2,1,0.06338,0.09241,0.7308,0.11342,1.10574,2.05863
5,2,0.01032,0.18706,0.68921,0.11342,1.09427,1.54361
5,3,0.00187,0.20222,0.6825,0.11342,1.09253,1.59703
6,4,0.00014,0.20395,0.6825,0.11342,1.09081,1.59703
6,3,0.00103,0.19635,0.68921,0.11342,1.08498,1.54361
5,1,0.03799,0.11216,0.73643,0.11342,1.07473,1.88494
3,2,0.01893,0.13685,0.7308,0.11342,1.0613,2.05863
5,0,0.06996,0.02379,0.79283,0.11342,1.05029,2.52658
4,3,0.00283,0.15296,0.7308,0.11342,1.04519,2.05863
5,4,0.00025,0.15553,0.7308,0.11342,1.04262,2.05863
6,2,0.00568,0.14448,0.73643,0.11342,1.04241,1.88494
6,5,2e-05,0.15577,0.7308,0.11342,1.04238,2.05863
6,1,0.0209,0.07285,0.79283,0.11342,1.00123,2.52658
6,0,0.03849,0.01104,0.83705,0.11342,0.9746,3.35571
1,1,0.03874,0.0,0.04281,0.91845,0.15903,2.83179
0,0,0.02176,0.0,0.05979,0.91845,0.12507,2.83179
2,2,0.01721,0.0,0.06434,0.91845,0.11597,2.83179
3,3,0.00343,0.0,0.07812,0.91845,0.0884,2.83179
4,4,0.00038,0.0,0.08117,0.91845,0.08232,2.83179
5,5,3e-05,0.0,0.08152,0.91845,0.0816,2.83179
6,6,0.0,0.0,0.08155,0.91845,0.08155,2.83179
0,1,0.01129,0.01405,0.00652,0.96813,0.06851,3.76805
1,2,0.01043,0.01492,0.00652,0.96813,0.06764,3.76805
2,3,0.00311,0.02223,0.00652,0.96813,0.06033,3.76805
3,4,0.00047,0.02488,0.00652,0.96813,0.05768,3.76805
4,5,4e-05,0.0253,0.00652,0.96813,0.05726,3.76805
5,6,0.0,0.02534,0.00652,0.96813,0.05722,3.76805
0,2,0.00316,0.00236,0.02635,0.96813,0.04055,4.755
1,3,0.00189,0.00364,0.02635,0.96813,0.03928,4.755
2,4,0.00042,0.0051,0.02635,0.96813,0.03782,4.755
3,5,5e-05,0.00547,0.02635,0.96813,0.03744,4.755
4,6,0.0,0.00552,0.02635,0.96813,0.0374,4.755
0,3,0.00057,0.00031,0.03099,0.96813,0.03332,5.753
1,4,0.00026,0.00062,0.03099,0.96813,0.033,5.753
2,5,5e-05,0.00083,0.03099,0.96813,0.03279,5.753
3,6,0.0,0.00087,0.03099,0.96813,0.03275,5.753
0,4,8e-05,3e-05,0.03176,0.96813,0.03206,6.75276
1,5,3e-05,8e-05,0.03176,0.96813,0.03201,6.75276
2,6,0.0,0.00011,0.03176,0.96813,0.03198,6.75276
0,5,1e-05,0.0,0.03186,0.96813,0.03189,7.75273
1,6,0.0,1e-05,0.03186,0.96813,0.03188,7.75273
0,6,0.0,0.0,0.03187,0.96813,0.03187,8.75273
