pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.11395,0.1316,0.37037,0.38408,0.97542,1.27965
2,1,0.09882,0.14673,0.37037,0.38408,0.96029,1.27965
2,0,0.1108,0.07891,0.42621,0.38408,0.91644,1.53892
3,2,0.02834,0.21721,0.37037,0.38408,0.88981,1.27965
3,1,0.06356,0.12616,0.42621,0.38408,0.86919,1.53892
4,3,0.00406,0.24149,0.37037,0.38408,0.86554,1.27965
5,4,0.00035,0.2452,0.37037,0.38408,0.86182,1.27965
6,5,2e-05,0.24553,0.37037,0.38408,0.86149,1.27965
4,2,0.01367,0.17604,0.42621,0.38408,0.8193,1.53892
5,3,0.00157,0.18815,0.42621,0.38408,0.8072,1.53892
6,4,0.00011,0.1896,0.42621,0.38408,0.80575,1.53892
3,0,0.07126,0.03647,0.50819,0.38408,0.79491,2.17761
4,1,0.03066,0.07707,0.50819,0.38408,0.7543,2.17761
5,2,0.00528,0.10245,0.50819,0.38408,0.72892,2.17761
6,3,0.0005,0.10722,0.50819,0.38408,0.72415,2.17761
4,0,0.03437,0.01367,0.56788,0.38408,0.69833,3.03176
5,1,0.01183,0.03621,0.56788,0.38408,0.67579,3.03176
6,2,0.0017,0.04635,0.56788,0.38408,0.66566,3.03176
5,0,0.01326,0.00431,0.59835,0.38408,0.64675,3.98199
6,1,0.0038,0.01377,0.59835,0.38408,0.63729,3.98199
6,0,0.00426,0.00117,0.61049,0.38408,0.62562,4.96737
1,1,0.10335,0.0,0.1139,0.78275,0.42394,1.51149
0,0,0.06044,0.0,0.15681,0.78275,0.33812,1.51149
0,1,0.05219,0.06083,0.05381,0.83317,0.33205,2.17783
1,2,0.04568,0.06734,0.05381,0.83317,0.32554,2.17783
2,2,0.04407,0.0,0.17318,0.78275,0.30539,1.51149
2,3,0.0131,0.09992,0.05381,0.83317,0.29296,2.17783
3,4,0.00188,0.11115,0.05381,0.83317,0.28173,2.17783
4,5,0.00016,0.11286,0.05381,0.83317,0.28002,2.17783
5,6,1e-05,0.11302,0.05381,0.83317,0.27987,2.17783
3,3,0.00843,0.0,0.20882,0.78275,0.2341,1.51149
0,2,0.02368,0.01686,0.12629,0.83317,0.23105,3.07021
1,3,0.01358,0.02696,0.12629,0.83317,0.22095,3.07021
4,4,0.00091,0.0,0.21634,0.78275,0.21906,1.51149
5,5,6e-05,0.0,0.21719,0.78275,0.21737,1.51149
6,6,0.0,0.0,0.21725,0.78275,0.21725,1.51149
2,4,0.00292,0.03762,0.12629,0.83317,0.21029,3.07021
3,5,0.00034,0.04021,0.12629,0.83317,0.20771,3.07021
4,6,2e-05,0.04052,0.12629,0.83317,0.2074,3.07021
0,3,0.00704,0.0036,0.15619,0.83317,0.18451,4.04368
1,4,0.00303,0.00761,0.15619,0.83317,0.1805,4.04368
2,5,0.00052,0.01012,0.15619,0.83317,0.17799,4.04368
3,6,5e-05,0.01059,0.15619,0.83317,0.17752,4.04368
0,4,0.00157,0.00062,0.16464,0.83317,0.1706,5.03843
1,5,0.00054,0.00165,0.16464,0.83317,0.16957,5.03843
2,6,8e-05,0.00212,0.16464,0.83317,0.1691,5.03843
0,5,0.00028,9e-05,0.16646,0.83317,0.16748,6.03757
1,6,8e-05,0.00029,0.16646,0.83317,0.16728,6.03757
0,6,4e-05,1e-05,0.16678,0.83317,0.16693,7.03745
