pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.12268,0.127,0.33577,0.41455,0.95781,1.24818
2,1,0.09764,0.15204,0.33577,0.41455,0.93276,1.24818
2,0,0.11035,0.07085,0.40425,0.41455,0.877,1.57664
3,2,0.0257,0.22398,0.33577,0.41455,0.86083,1.24818
4,3,0.00338,0.2463,0.33577,0.41455,0.83851,1.24818
5,4,0.00027,0.24941,0.33577,0.41455,0.8354,1.24818
6,5,1e-05,0.24966,0.33577,0.41455,0.83514,1.24818
3,1,0.05809,0.12311,0.40425,0.41455,0.82474,1.57664
4,2,0.01147,0.16973,0.40425,0.41455,0.77812,1.57664
5,3,0.00121,0.17999,0.40425,0.41455,0.76786,1.57664
6,4,8e-05,0.18112,0.40425,0.41455,0.76673,1.57664
3,0,0.06566,0.0304,0.4894,0.41455,0.74716,2.26749
4,1,0.02592,0.07013,0.4894,0.41455,0.70743,2.26749
5,2,0.00409,0.09196,0.4894,0.41455,0.6856,2.26749
6,3,0.00036,0.09569,0.4894,0.41455,0.68186,2.26749
4,0,0.0293,0.01057,0.54558,0.41455,0.65462,3.15045
5,1,0.00925,0.03061,0.54558,0.41455,0.63457,3.15045
6,2,0.00122,0.03865,0.54558,0.41455,0.62654,3.15045
5,0,0.01046,0.00308,0.57191,0.41455,0.60945,4.11315
6,1,0.00275,0.01079,0.57191,0.41455,0.60175,4.11315
6,0,0.00311,0.00078,0.58156,0.41455,0.59245,5.10293
1,1,0.11037,0.0,0.12181,0.76783,0.45291,1.41909
0,0,0.07024,0.0,0.16194,0.76783,0.37265,1.41909
0,1,0.06032,0.06295,0.0591,0.81762,0.36597,2.05434
1,2,0.0484,0.07488,0.0591,0.81762,0.35405,2.05434
2,2,0.04319,0.0,0.18898,0.76783,0.31856,1.41909
2,3,0.01274,0.11054,0.0591,0.81762,0.31839,2.05434
3,4,0.00168,0.1216,0.0591,0.81762,0.30733,2.05434
4,5,0.00013,0.12314,0.0591,0.81762,0.30578,2.05434
5,6,1e-05,0.12327,0.0591,0.81762,0.30566,2.05434
0,2,0.02711,0.01741,0.13785,0.81762,0.25401,2.93614
3,3,0.00758,0.0,0.22459,0.76783,0.24733,1.41909
1,3,0.01427,0.03025,0.13785,0.81762,0.24117,2.93614
4,4,0.00075,0.0,0.23143,0.76783,0.23367,1.41909
5,5,5e-05,0.0,0.23213,0.76783,0.23227,1.41909
6,6,0.0,0.0,0.23217,0.76783,0.23218,1.41909
2,4,0.00282,0.0417,0.13785,0.81762,0.22972,2.93614
3,5,0.0003,0.04423,0.13785,0.81762,0.22719,2.93614
4,6,2e-05,0.0445,0.13785,0.81762,0.22692,2.93614
0,3,0.008,0.0037,0.17068,0.81762,0.20207,3.90698
1,4,0.00316,0.00854,0.17068,0.81762,0.19723,3.90698
2,5,0.0005,0.0112,0.17068,0.81762,0.19457,3.90698
3,6,4e-05,0.01166,0.17068,0.81762,0.19412,3.90698
0,4,0.00177,0.00064,0.17997,0.81762,0.18655,4.90123
1,5,0.00056,0.00185,0.17997,0.81762,0.18534,4.90123
2,6,7e-05,0.00233,0.17997,0.81762,0.18486,4.90123
0,5,0.00031,9e-05,0.18197,0.81762,0.18309,5.90029
1,6,8e-05,0.00032,0.18197,0.81762,0.18286,5.90029
0,6,5e-05,1e-05,0.18232,0.81762,0.18248,6.90015
