pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.12668,0.10669,0.20009,0.56653,0.79353,1.29787
2,1,0.08541,0.14797,0.20009,0.56653,0.75225,1.29787
3,2,0.01902,0.21435,0.20009,0.56653,0.68587,1.29787
4,3,0.00212,0.23126,0.20009,0.56653,0.66896,1.29787
5,4,0.00014,0.23323,0.20009,0.56653,0.66699,1.29787
6,5,1e-05,0.23337,0.20009,0.56653,0.66685,1.29787
2,0,0.08408,0.0443,0.30509,0.56653,0.64593,1.89769
3,1,0.03745,0.09093,0.30509,0.56653,0.5993,1.89769
4,2,0.00626,0.12212,0.30509,0.56653,0.5681,1.89769
0,1,0.09756,0.08238,0.1069,0.71316,0.56433,1.59113
5,3,0.00056,0.12782,0.30509,0.56653,0.5624,1.89769
6,4,3e-05,0.12835,0.30509,0.56653,0.56188,1.89769
1,1,0.13099,0.0,0.1487,0.72031,0.54168,1.16481
1,2,0.06595,0.11399,0.1069,0.71316,0.53272,1.59113
3,0,0.03687,0.01409,0.38251,0.56653,0.5213,2.75426
4,1,0.01232,0.03864,0.38251,0.56653,0.49675,2.75426
5,2,0.00165,0.04932,0.38251,0.56653,0.48608,2.75426
6,3,0.00012,0.05084,0.38251,0.56653,0.48455,2.75426
2,3,0.01469,0.16525,0.1069,0.71316,0.48146,1.59113
0,0,0.09832,0.0,0.18138,0.72031,0.47633,1.16481
3,4,0.00164,0.1783,0.1069,0.71316,0.46841,1.59113
4,5,0.00011,0.17983,0.1069,0.71316,0.46689,1.59113
5,6,0.0,0.17993,0.1069,0.71316,0.46678,1.59113
4,0,0.01213,0.00363,0.41772,0.56653,0.46135,3.71275
5,1,0.00324,0.01251,0.41772,0.56653,0.45246,3.71275
6,2,0.00036,0.01539,0.41772,0.56653,0.44958,3.71275
5,0,0.00319,0.00078,0.4295,0.56653,0.44063,4.70275
6,1,0.00071,0.00326,0.4295,0.56653,0.43815,4.70275
6,0,0.0007,0.00015,0.43262,0.56653,0.43501,5.70069
0,2,0.05013,0.02641,0.2103,0.71316,0.41351,2.37734
1,3,0.02233,0.05421,0.2103,0.71316,0.38571,2.37734
2,4,0.00373,0.07281,0.2103,0.71316,0.36711,2.37734
2,2,0.04338,0.0,0.23632,0.72031,0.36645,1.16481
3,5,0.00033,0.07621,0.2103,0.71316,0.36371,2.37734
4,6,2e-05,0.07652,0.2103,0.71316,0.3634,2.37734
0,3,0.01697,0.00649,0.26338,0.71316,0.32727,3.31662
1,4,0.00567,0.01779,0.26338,0.71316,0.31597,3.31662
2,5,0.00076,0.0227,0.26338,0.71316,0.31106,3.31662
3,6,6e-05,0.0234,0.26338,0.71316,0.31035,3.31662
0,4,0.00431,0.00129,0.28124,0.71316,0.29675,4.30282
1,5,0.00115,0.00445,0.28124,0.71316,0.29359,4.30282
3,3,0.00644,0.0,0.27325,0.72031,0.29258,1.16481
2,6,0.00013,0.00547,0.28124,0.71316,0.29256,4.30282
0,5,0.00088,0.00021,0.28575,0.71316,0.2888,5.30023
1,6,0.0002,0.0009,0.28575,0.71316,0.28812,5.30023
0,6,0.00015,3e-05,0.28666,0.71316,0.28716,6.29981
4,4,0.00054,0.0,0.27916,0.72031,0.28077,1.16481
5,5,3e-05,0.0,0.27967,0.72031,0.27975,1.16481
6,6,0.0,0.0,0.27969,0.72031,0.2797,1.16481
