pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.1325,0.11917,0.4286,0.31973,1.06445,1.26579
2,1,0.09419,0.15748,0.4286,0.31973,1.02613,1.26579
2,0,0.13407,0.07541,0.4708,0.31973,1.02382,1.40858
3,2,0.02218,0.22949,0.4286,0.31973,0.95412,1.26579
3,1,0.06314,0.14634,0.4708,0.31973,0.95289,1.40858
4,3,0.00261,0.24906,0.4286,0.31973,0.93456,1.26579
5,4,0.00018,0.25149,0.4286,0.31973,0.93213,1.26579
6,5,1e-05,0.25166,0.4286,0.31973,0.93195,1.26579
4,2,0.01115,0.19832,0.4708,0.31973,0.9009,1.40858
3,0,0.08988,0.0366,0.5538,0.31973,0.89663,1.97033
5,3,0.00105,0.20843,0.4708,0.31973,0.8908,1.40858
6,4,6e-05,0.20941,0.4708,0.31973,0.88981,1.40858
4,1,0.03175,0.09473,0.5538,0.31973,0.8385,1.97033
5,2,0.00449,0.12199,0.5538,0.31973,0.81124,1.97033
6,3,0.00035,0.12613,0.5538,0.31973,0.8071,1.97033
4,0,0.04519,0.01438,0.62071,0.31973,0.78503,2.78503
5,1,0.01277,0.0468,0.62071,0.31973,0.75261,2.78503
6,2,0.0015,0.05806,0.62071,0.31973,0.74134,2.78503
5,0,0.01818,0.00474,0.65736,0.31973,0.72136,3.71886
6,1,0.00428,0.01863,0.65736,0.31973,0.70747,3.71886
6,0,0.00609,0.00134,0.67284,0.31973,0.6938,4.69853
1,1,0.09449,0.0,0.10589,0.79962,0.38937,1.62633
0,0,0.06712,0.0,0.13326,0.79962,0.33462,1.62633
2,2,0.03308,0.0,0.16729,0.79962,0.26655,1.62633
0,1,0.04575,0.04163,0.03197,0.88065,0.25247,2.38764
1,2,0.0329,0.05447,0.03197,0.88065,0.23962,2.38764
2,3,0.00775,0.07963,0.03197,0.88065,0.21447,2.38764
3,3,0.00519,0.0,0.19519,0.79962,0.21077,1.62633
3,4,0.00091,0.08646,0.03197,0.88065,0.20763,2.38764
4,5,6e-05,0.08731,0.03197,0.88065,0.20679,2.38764
5,6,0.0,0.08737,0.03197,0.88065,0.20672,2.38764
4,4,0.00046,0.0,0.19992,0.79962,0.2013,1.62633
5,5,3e-05,0.0,0.20035,0.79962,0.20043,1.62633
6,6,0.0,0.0,0.20038,0.79962,0.20038,1.62633
0,2,0.01636,0.0092,0.09379,0.88065,0.16127,3.3237
1,3,0.0077,0.01786,0.09379,0.88065,0.15261,3.3237
2,4,0.00136,0.0242,0.09379,0.88065,0.14627,3.3237
3,5,0.00013,0.02543,0.09379,0.88065,0.14504,3.3237
4,6,1e-05,0.02555,0.09379,0.88065,0.14492,3.3237
0,3,0.00383,0.00156,0.11396,0.88065,0.12857,4.31087
1,4,0.00135,0.00404,0.11396,0.88065,0.12609,4.31087
2,5,0.00019,0.0052,0.11396,0.88065,0.12493,4.31087
3,6,2e-05,0.00538,0.11396,0.88065,0.12475,4.31087
0,4,0.00067,0.00021,0.11846,0.88065,0.12091,5.30883
1,5,0.00019,0.0007,0.11846,0.88065,0.12042,5.30883
2,6,2e-05,0.00086,0.11846,0.88065,0.12026,5.30883
0,5,9e-05,2e-05,0.11923,0.88065,0.11956,6.30856
1,6,2e-05,0.0001,0.11923,0.88065,0.11949,6.30856
0,6,1e-05,0.0,0.11933,0.88065,0.11937,7.30853
