pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
2,0,0.15254,0.07748,0.5626,0.20738,1.17518,1.33123
1,0,0.12507,0.10094,0.56661,0.20738,1.1437,1.46445
2,1,0.08136,0.14465,0.56661,0.20738,1.09999,1.46445
3,1,0.06585,0.16417,0.5626,0.20738,1.08848,1.33123
3,0,0.12345,0.04553,0.62364,0.20738,1.08505,1.65805
3,2,0.01756,0.20845,0.56661,0.20738,1.03619,1.46445
4,2,0.01066,0.21936,0.5626,0.20738,1.03329,1.33123
5,3,0.00092,0.2291,0.5626,0.20738,1.02356,1.33123
6,4,5e-05,0.22997,0.5626,0.20738,1.02269,1.33123
4,3,0.00189,0.22412,0.56661,0.20738,1.02052,1.46445
5,4,0.00012,0.22589,0.56661,0.20738,1.01875,1.46445
6,5,1e-05,0.22601,0.56661,0.20738,1.01863,1.46445
4,1,0.03997,0.12902,0.62364,0.20738,1.00157,1.65805
5,2,0.00518,0.16381,0.62364,0.20738,0.96678,1.65805
4,0,0.07493,0.02164,0.69605,0.20738,0.96412,2.32284
6,3,0.00037,0.16861,0.62364,0.20738,0.96197,1.65805
5,1,0.01941,0.07716,0.69605,0.20738,0.90859,2.32284
6,2,0.00209,0.09447,0.69605,0.20738,0.89128,2.32284
5,0,0.03639,0.00862,0.74761,0.20738,0.87401,3.18076
6,1,0.00785,0.03715,0.74761,0.20738,0.84548,3.18076
6,0,0.01472,0.00296,0.77494,0.20738,0.82502,4.12869
1,1,0.06761,0.0,0.07743,0.85495,0.28028,2.04968
0,0,0.05235,0.0,0.0927,0.85495,0.24975,2.04968
2,2,0.0217,0.0,0.12335,0.85495,0.18845,2.04968
3,3,0.00312,0.0,0.14193,0.85495,0.15129,2.04968
4,4,0.00025,0.0,0.1448,0.85495,0.14555,2.04968
5,5,1e-05,0.0,0.14504,0.85495,0.14508,2.04968
6,6,0.0,0.0,0.14505,0.85495,0.14505,2.04968
0,1,0.02701,0.02218,0.01314,0.93767,0.13853,2.92502
1,2,0.01787,0.03132,0.01314,0.93767,0.1294,2.92502
2,3,0.00386,0.04533,0.01314,0.93767,0.11538,2.92502
3,4,0.00042,0.04877,0.01314,0.93767,0.11194,2.92502
4,5,3e-05,0.04916,0.01314,0.93767,0.11155,2.92502
5,6,0.0,0.04919,0.01314,0.93767,0.11152,2.92502
0,2,0.00736,0.00374,0.05123,0.93767,0.0808,3.89873
1,3,0.00318,0.00792,0.05123,0.93767,0.07661,3.89873
2,4,0.00051,0.01059,0.05123,0.93767,0.07395,3.89873
3,5,4e-05,0.01106,0.05123,0.93767,0.07348,3.89873
4,6,0.0,0.0111,0.05123,0.93767,0.07344,3.89873
0,3,0.00131,0.00048,0.06054,0.93767,0.06543,4.89465
1,4,0.00042,0.00137,0.06054,0.93767,0.06455,4.89465
2,5,5e-05,0.00174,0.06054,0.93767,0.06418,4.89465
3,6,0.0,0.00179,0.06054,0.93767,0.06413,4.89465
0,4,0.00017,5e-05,0.06211,0.93767,0.06273,5.89415
1,5,5e-05,0.00018,0.06211,0.93767,0.0626,5.89415
2,6,0.0,0.00022,0.06211,0.93767,0.06256,5.89415
0,5,2e-05,0.0,0.06231,0.93767,0.06237,6.8941
1,6,0.0,2e-05,0.06231,0.93767,0.06236,6.8941
0,6,0.0,0.0,0.06233,0.93767,0.06234,7.89409
