pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
2,0,0.14705,0.07568,0.64509,0.13218,1.2376,1.43664
3,0,0.14273,0.05332,0.67177,0.13218,1.2066,1.51219
3,1,0.0642,0.15853,0.64509,0.13218,1.15475,1.43664
1,0,0.1006,0.08227,0.68495,0.13218,1.15129,1.80655
2,1,0.06614,0.11672,0.68495,0.13218,1.11683,1.80655
4,1,0.04673,0.14932,0.67177,0.13218,1.1106,1.51219
4,0,0.1039,0.03038,0.73354,0.13218,1.106,1.97984
4,2,0.01051,0.21222,0.64509,0.13218,1.10106,1.43664
5,3,0.00092,0.22181,0.64509,0.13218,1.09147,1.43664
6,4,5e-05,0.22268,0.64509,0.13218,1.0906,1.43664
5,2,0.00612,0.18993,0.67177,0.13218,1.06999,1.51219
3,2,0.01444,0.16843,0.68495,0.13218,1.06513,1.80655
6,3,0.00045,0.1956,0.67177,0.13218,1.06432,1.51219
4,3,0.00158,0.18129,0.68495,0.13218,1.05226,1.80655
5,4,0.0001,0.18276,0.68495,0.13218,1.05079,1.80655
6,5,0.0,0.18286,0.68495,0.13218,1.05069,1.80655
5,1,0.02722,0.10706,0.73354,0.13218,1.02932,1.97984
6,2,0.00297,0.13131,0.73354,0.13218,1.00507,1.97984
5,0,0.06051,0.01451,0.7928,0.13218,1.00335,2.71604
6,1,0.01321,0.06181,0.7928,0.13218,0.95605,2.71604
6,0,0.02936,0.00597,0.83249,0.13218,0.93252,3.60229
1,1,0.04583,0.0,0.05232,0.90185,0.18981,2.54219
0,0,0.03509,0.0,0.06306,0.90185,0.16833,2.54219
2,2,0.01488,0.0,0.08327,0.90185,0.1279,2.54219
3,3,0.00216,0.0,0.09598,0.90185,0.10248,2.54219
4,4,0.00018,0.0,0.09797,0.90185,0.0985,2.54219
5,5,1e-05,0.0,0.09814,0.90185,0.09817,2.54219
6,6,0.0,0.0,0.09815,0.90185,0.09815,2.54219
0,1,0.0152,0.01271,0.00612,0.96597,0.07714,3.47413
1,2,0.01022,0.01769,0.00612,0.96597,0.07216,3.47413
2,3,0.00223,0.02568,0.00612,0.96597,0.06417,3.47413
3,4,0.00024,0.02767,0.00612,0.96597,0.06218,3.47413
4,5,2e-05,0.02789,0.00612,0.96597,0.06195,3.47413
5,6,0.0,0.02791,0.00612,0.96597,0.06194,3.47413
0,2,0.00351,0.00181,0.02872,0.96597,0.04285,4.46189
1,3,0.00153,0.00378,0.02872,0.96597,0.04088,4.46189
2,4,0.00025,0.00506,0.02872,0.96597,0.0396,4.46189
3,5,2e-05,0.00529,0.02872,0.96597,0.03937,4.46189
4,6,0.0,0.00531,0.02872,0.96597,0.03935,4.46189
0,3,0.00053,0.0002,0.03331,0.96597,0.03528,5.46028
1,4,0.00017,0.00055,0.03331,0.96597,0.03492,5.46028
2,5,2e-05,0.0007,0.03331,0.96597,0.03478,5.46028
3,6,0.0,0.00072,0.03331,0.96597,0.03475,5.46028
0,4,6e-05,2e-05,0.03395,0.96597,0.03417,6.46011
1,5,2e-05,6e-05,0.03395,0.96597,0.03412,6.46011
2,6,0.0,7e-05,0.03395,0.96597,0.03411,6.46011
0,5,1e-05,0.0,0.03402,0.96597,0.03404,7.4601
1,6,0.0,1e-05,0.03402,0.96597,0.03404,7.4601
0,6,0.0,0.0,0.03403,0.96597,0.03403,8.4601
