pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.14413,0.11489,0.30253,0.43845,0.96469,1.18986
1,2,0.09285,0.16617,0.30253,0.43845,0.91341,1.18986
0,2,0.11588,0.05803,0.38765,0.43845,0.85133,1.5848
2,3,0.0198,0.23922,0.30253,0.43845,0.84036,1.18986
3,4,0.00211,0.25691,0.30253,0.43845,0.82268,1.18986
4,5,0.00013,0.25888,0.30253,0.43845,0.8207,1.18986
5,6,1e-05,0.25901,0.30253,0.43845,0.82057,1.18986
1,3,0.04941,0.12449,0.38765,0.43845,0.78486,1.5848
2,4,0.0079,0.166,0.38765,0.43845,0.74335,1.5848
3,5,0.00067,0.17323,0.38765,0.43845,0.73612,1.5848
4,6,4e-05,0.17387,0.38765,0.43845,0.73549,1.5848
0,3,0.06167,0.02243,0.47744,0.43845,0.70732,2.32755
1,4,0.01972,0.06438,0.47744,0.43845,0.66538,2.32755
2,5,0.00252,0.08158,0.47744,0.43845,0.64818,2.32755
3,6,0.00018,0.08393,0.47744,0.43845,0.64583,2.32755
0,4,0.02462,0.00701,0.52992,0.43845,0.61779,3.2385
1,5,0.0063,0.02533,0.52992,0.43845,0.59947,3.2385
2,6,0.00067,0.03096,0.52992,0.43845,0.59385,3.2385
0,5,0.00786,0.00184,0.55185,0.43845,0.57911,4.21271
1,6,0.00168,0.00802,0.55185,0.43845,0.57292,4.21271
0,6,0.00209,0.00041,0.55904,0.43845,0.56615,5.20632
1,1,0.11733,0.0,0.13487,0.7478,0.48686,1.31296
0,0,0.09194,0.0,0.16026,0.7478,0.43608,1.31296
1,0,0.07181,0.05766,0.05678,0.81374,0.38754,1.94045
2,1,0.04659,0.08288,0.05678,0.81374,0.36232,1.94045
2,2,0.0372,0.0,0.215,0.7478,0.32659,1.31296
3,2,0.00993,0.11954,0.05678,0.81374,0.32566,1.94045
4,3,0.00106,0.12841,0.05678,0.81374,0.31679,1.94045
5,4,7e-05,0.1294,0.05678,0.81374,0.31579,1.94045
6,5,0.0,0.12947,0.05678,0.81374,0.31573,1.94045
3,3,0.00529,0.0,0.24691,0.7478,0.26277,1.31296
2,0,0.02918,0.01461,0.14246,0.81374,0.25923,2.82688
4,4,0.00042,0.0,0.25177,0.7478,0.25304,1.31296
5,5,2e-05,0.0,0.25218,0.7478,0.25224,1.31296
6,6,0.0,0.0,0.2522,0.7478,0.2522,1.31296
3,1,0.01244,0.03135,0.14246,0.81374,0.24249,2.82688
4,2,0.00199,0.04181,0.14246,0.81374,0.23204,2.82688
5,3,0.00017,0.04363,0.14246,0.81374,0.23022,2.82688
6,4,1e-05,0.04379,0.14246,0.81374,0.23006,2.82688
3,0,0.00779,0.00284,0.17563,0.81374,0.20468,3.8009
4,1,0.00249,0.00814,0.17563,0.81374,0.19938,3.8009
5,2,0.00032,0.01031,0.17563,0.81374,0.1972,3.8009
6,3,2e-05,0.01061,0.17563,0.81374,0.19691,3.8009
4,0,0.00156,0.00044,0.18425,0.81374,0.18982,4.79618
5,1,0.0004,0.00161,0.18425,0.81374,0.18866,4.79618
6,2,4e-05,0.00196,0.18425,0.81374,0.1883,4.79618
5,0,0.00025,6e-05,0.18595,0.81374,0.18681,5.79548
6,1,5e-05,0.00026,0.18595,0.81374,0.18662,5.79548
6,0,3e-05,1e-05,0.18622,0.81374,0.18633,6.79539
