pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.13234,0.12062,0.41134,0.3357,1.04959,1.25319
2,1,0.09509,0.15786,0.41134,0.3357,1.01235,1.25319
2,0,0.13075,0.07446,0.45909,0.3357,1.00025,1.4305
3,2,0.02263,0.23033,0.41134,0.3357,0.93989,1.25319
3,1,0.06223,0.14298,0.45909,0.3357,0.93174,1.4305
4,3,0.00269,0.25026,0.41134,0.3357,0.91995,1.25319
5,4,0.00019,0.25276,0.41134,0.3357,0.91745,1.25319
6,5,1e-05,0.25295,0.41134,0.3357,0.91726,1.25319
4,2,0.01111,0.1941,0.45909,0.3357,0.88061,1.4305
3,0,0.08556,0.03527,0.54347,0.3357,0.8707,2.01823
5,3,0.00106,0.20415,0.45909,0.3357,0.87056,1.4305
6,4,6e-05,0.20514,0.45909,0.3357,0.86957,1.4305
4,1,0.03054,0.09029,0.54347,0.3357,0.81568,2.01823
5,2,0.00436,0.11647,0.54347,0.3357,0.78949,2.01823
6,3,0.00035,0.12049,0.54347,0.3357,0.78548,2.01823
4,0,0.042,0.01352,0.60878,0.3357,0.76181,2.84762
5,1,0.01199,0.04352,0.60878,0.3357,0.73181,2.84762
6,2,0.00143,0.05409,0.60878,0.3357,0.72124,2.84762
5,0,0.01649,0.00435,0.64346,0.3357,0.70163,3.78804
6,1,0.00392,0.01691,0.64346,0.3357,0.68906,3.78804
6,0,0.0054,0.0012,0.6577,0.3357,0.6763,4.77015
1,1,0.09773,0.0,0.10928,0.79299,0.40247,1.58179
0,0,0.0687,0.0,0.13831,0.79299,0.34441,1.58179
2,2,0.03458,0.0,0.17243,0.79299,0.27617,1.58179
0,1,0.04849,0.04468,0.03552,0.87131,0.27034,2.32442
1,2,0.03523,0.05794,0.03552,0.87131,0.25709,2.32442
2,3,0.00838,0.08479,0.03552,0.87131,0.23024,2.32442
3,4,0.001,0.09217,0.03552,0.87131,0.22286,2.32442
4,5,7e-05,0.0931,0.03552,0.87131,0.22193,2.32442
5,6,0.0,0.09317,0.03552,0.87131,0.22186,2.32442
3,3,0.00549,0.0,0.20153,0.79299,0.21799,1.58179
4,4,0.00049,0.0,0.20652,0.79299,0.20799,1.58179
5,5,3e-05,0.0,0.20699,0.79299,0.20707,1.58179
6,6,0.0,0.0,0.20701,0.79299,0.20702,1.58179
0,2,0.01794,0.01022,0.10052,0.87131,0.17479,3.25338
1,3,0.00854,0.01962,0.10052,0.87131,0.16539,3.25338
2,4,0.00152,0.02664,0.10052,0.87131,0.15837,3.25338
3,5,0.00015,0.02802,0.10052,0.87131,0.15699,3.25338
4,6,1e-05,0.02815,0.10052,0.87131,0.15686,3.25338
0,3,0.00435,0.00179,0.12254,0.87131,0.13918,4.23868
1,4,0.00155,0.00459,0.12254,0.87131,0.13638,4.23868
2,5,0.00022,0.00592,0.12254,0.87131,0.13505,4.23868
3,6,2e-05,0.00613,0.12254,0.87131,0.13485,4.23868
0,4,0.00079,0.00025,0.12764,0.87131,0.13052,5.23626
1,5,0.00023,0.00082,0.12764,0.87131,0.12996,5.23626
2,6,3e-05,0.00102,0.12764,0.87131,0.12976,5.23626
0,5,0.00012,3e-05,0.12854,0.87131,0.12895,6.23593
1,6,3e-05,0.00012,0.12854,0.87131,0.12886,6.23593
0,6,1e-05,0.0,0.12867,0.87131,0.12872,7.23589
