pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.12762,0.12469,0.33922,0.40847,0.97146,1.23504
2,1,0.09699,0.15532,0.33922,0.40847,0.94083,1.23504
2,0,0.11404,0.06932,0.40816,0.40847,0.88894,1.5566
3,2,0.02439,0.22792,0.33922,0.40847,0.86822,1.23504
4,3,0.00307,0.24924,0.33922,0.40847,0.8469,1.23504
5,4,0.00023,0.25208,0.33922,0.40847,0.84407,1.23504
6,5,1e-05,0.2523,0.33922,0.40847,0.84385,1.23504
3,1,0.05735,0.12602,0.40816,0.40847,0.83225,1.5566
4,2,0.01081,0.17255,0.40816,0.40847,0.78571,1.5566
5,3,0.00109,0.18228,0.40816,0.40847,0.77598,1.5566
6,4,7e-05,0.1833,0.40816,0.40847,0.77496,1.5566
3,0,0.06743,0.02961,0.49449,0.40847,0.756,2.24489
4,1,0.02543,0.07161,0.49449,0.40847,0.714,2.24489
5,2,0.00384,0.0932,0.49449,0.40847,0.69241,2.24489
6,3,0.00032,0.09672,0.49449,0.40847,0.68889,2.24489
4,0,0.0299,0.01024,0.55139,0.40847,0.66158,3.12725
5,1,0.00902,0.03112,0.55139,0.40847,0.6407,3.12725
6,2,0.00113,0.03901,0.55139,0.40847,0.63281,3.12725
5,0,0.01061,0.00297,0.57795,0.40847,0.61572,4.0899
6,1,0.00267,0.01091,0.57795,0.40847,0.60778,4.0899
6,0,0.00314,0.00074,0.58765,0.40847,0.59855,5.07972
1,1,0.11033,0.0,0.12231,0.76737,0.45328,1.41811
0,0,0.07346,0.0,0.15918,0.76737,0.37955,1.41811
0,1,0.06069,0.05978,0.05537,0.82416,0.35699,2.06643
1,2,0.0465,0.07396,0.05537,0.82416,0.34281,2.06643
2,2,0.04124,0.0,0.19139,0.76737,0.31512,1.41811
2,3,0.01169,0.10878,0.05537,0.82416,0.308,2.06643
3,4,0.00147,0.119,0.05537,0.82416,0.29777,2.06643
4,5,0.00011,0.12036,0.05537,0.82416,0.29642,2.06643
5,6,1e-05,0.12046,0.05537,0.82416,0.29631,2.06643
3,3,0.00691,0.0,0.22572,0.76737,0.24646,1.41811
0,2,0.02622,0.01594,0.13368,0.82416,0.24421,2.9557
4,4,0.00065,0.0,0.23198,0.76737,0.23394,1.41811
5,5,4e-05,0.0,0.23259,0.76737,0.23271,1.41811
6,6,0.0,0.0,0.23263,0.76737,0.23264,1.41811
1,3,0.01318,0.02897,0.13368,0.82416,0.23117,2.9557
2,4,0.00249,0.03967,0.13368,0.82416,0.22047,2.9557
3,5,0.00025,0.0419,0.13368,0.82416,0.21824,2.9557
4,6,2e-05,0.04214,0.13368,0.82416,0.218,2.9557
0,3,0.00743,0.00326,0.16514,0.82416,0.19396,3.92927
1,4,0.0028,0.00789,0.16514,0.82416,0.18933,3.92927
2,5,0.00042,0.01027,0.16514,0.82416,0.18695,3.92927
3,6,4e-05,0.01066,0.16514,0.82416,0.18657,3.92927
0,4,0.00158,0.00054,0.17371,0.82416,0.17954,4.92423
1,5,0.00048,0.00164,0.17371,0.82416,0.17843,4.92423
2,6,6e-05,0.00206,0.17371,0.82416,0.17802,4.92423
0,5,0.00027,8e-05,0.17549,0.82416,0.17645,5.92344
1,6,7e-05,0.00028,0.17549,0.82416,0.17625,5.92344
0,6,4e-05,1e-05,0.17579,0.82416,0.17592,6.92333
