pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
2,0,0.14443,0.07916,0.63318,0.14323,1.22479,1.42266
3,0,0.13784,0.05474,0.66419,0.14323,1.18718,1.53277
3,1,0.06654,0.15705,0.63318,0.14323,1.14689,1.42266
1,0,0.10046,0.08777,0.66853,0.14323,1.14546,1.75973
2,1,0.06972,0.11851,0.66853,0.14323,1.11472,1.75973
4,1,0.04763,0.14495,0.66419,0.14323,1.09697,1.53277
4,2,0.0115,0.21209,0.63318,0.14323,1.09185,1.42266
4,0,0.09866,0.03063,0.72748,0.14323,1.0847,2.02802
5,3,0.00106,0.22253,0.63318,0.14323,1.08141,1.42266
6,4,6e-05,0.22353,0.63318,0.14323,1.08042,1.42266
3,2,0.01606,0.17217,0.66853,0.14323,1.06106,1.75973
5,2,0.00658,0.18599,0.66419,0.14323,1.05592,1.53277
6,3,0.00051,0.19207,0.66419,0.14323,1.04985,1.53277
4,3,0.00185,0.18638,0.66853,0.14323,1.04685,1.75973
5,4,0.00013,0.1881,0.66853,0.14323,1.04513,1.75973
6,5,1e-05,0.18823,0.66853,0.14323,1.045,1.75973
5,1,0.02727,0.10201,0.72748,0.14323,1.01332,2.02802
6,2,0.00314,0.12614,0.72748,0.14323,0.98919,2.02802
5,0,0.05649,0.01437,0.7859,0.14323,0.98412,2.78184
6,1,0.01301,0.05785,0.7859,0.14323,0.94064,2.78184
6,0,0.02696,0.00581,0.824,0.14323,0.91648,3.6774
1,1,0.04914,0.0,0.05532,0.89554,0.20273,2.47326
0,0,0.03567,0.0,0.06879,0.89554,0.1758,2.47326
2,2,0.01683,0.0,0.08763,0.89554,0.13812,2.47326
3,3,0.00258,0.0,0.10187,0.89554,0.10963,2.47326
4,4,0.00022,0.0,0.10423,0.89554,0.1049,2.47326
5,5,1e-05,0.0,0.10445,0.89554,0.10448,2.47326
6,6,0.0,0.0,0.10446,0.89554,0.10446,2.47326
0,1,0.01658,0.0148,0.00739,0.96122,0.08674,3.39571
1,2,0.01176,0.01962,0.00739,0.96122,0.08191,3.39571
2,3,0.00271,0.02867,0.00739,0.96122,0.07286,3.39571
3,4,0.00031,0.03107,0.00739,0.96122,0.07047,3.39571
4,5,2e-05,0.03136,0.00739,0.96122,0.07018,3.39571
5,6,0.0,0.03138,0.00739,0.96122,0.07016,3.39571
0,2,0.00411,0.00225,0.03242,0.96122,0.04924,4.38092
1,3,0.00189,0.00447,0.03242,0.96122,0.04702,4.38092
2,4,0.00033,0.00603,0.03242,0.96122,0.04546,4.38092
3,5,3e-05,0.00633,0.03242,0.96122,0.04516,4.38092
4,6,0.0,0.00636,0.03242,0.96122,0.04513,4.38092
0,3,0.00066,0.00026,0.03785,0.96122,0.04036,5.37884
1,4,0.00023,0.00069,0.03785,0.96122,0.03993,5.37884
2,5,3e-05,0.00089,0.03785,0.96122,0.03973,5.37884
3,6,0.0,0.00092,0.03785,0.96122,0.0397,5.37884
0,4,8e-05,2e-05,0.03867,0.96122,0.03896,6.37861
1,5,2e-05,8e-05,0.03867,0.96122,0.0389,6.37861
2,6,0.0,0.0001,0.03867,0.96122,0.03888,6.37861
0,5,1e-05,0.0,0.03877,0.96122,0.03879,7.37859
1,6,0.0,1e-05,0.03877,0.96122,0.03879,7.37859
0,6,0.0,0.0,0.03878,0.96122,0.03878,8.37859
