pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.14233,0.11427,0.28461,0.45879,0.94013,1.19718
1,2,0.09223,0.16437,0.28461,0.45879,0.89004,1.19718
0,2,0.11093,0.05591,0.37437,0.45879,0.81898,1.62795
2,3,0.01978,0.23682,0.28461,0.45879,0.81758,1.19718
3,4,0.00212,0.25448,0.28461,0.45879,0.79993,1.19718
4,5,0.00014,0.25646,0.28461,0.45879,0.79794,1.19718
5,6,1e-05,0.25659,0.28461,0.45879,0.79781,1.19718
1,3,0.04757,0.11927,0.37437,0.45879,0.75562,1.62795
2,4,0.00765,0.15919,0.37437,0.45879,0.7157,1.62795
3,5,0.00066,0.16618,0.37437,0.45879,0.70871,1.62795
4,6,4e-05,0.1668,0.37437,0.45879,0.70809,1.62795
0,3,0.05721,0.02095,0.46305,0.45879,0.67658,2.3924
1,4,0.0184,0.05976,0.46305,0.45879,0.63777,2.3924
2,5,0.00237,0.07579,0.46305,0.45879,0.62174,2.3924
3,6,0.00017,0.07799,0.46305,0.45879,0.61954,2.3924
0,4,0.02213,0.00634,0.51273,0.45879,0.59182,3.31317
1,5,0.00569,0.02278,0.51273,0.45879,0.57538,3.31317
2,6,0.00061,0.02786,0.51273,0.45879,0.5703,3.31317
0,5,0.00685,0.00161,0.53275,0.45879,0.55652,4.29089
1,6,0.00147,0.00699,0.53275,0.45879,0.55114,4.29089
0,6,0.00177,0.00035,0.53909,0.45879,0.54509,5.28553
1,1,0.12027,0.0,0.13801,0.74172,0.49881,1.2796
0,0,0.09372,0.0,0.16456,0.74172,0.44571,1.2796
1,0,0.07599,0.06141,0.06312,0.79949,0.41391,1.87857
2,1,0.04956,0.08784,0.06312,0.79949,0.38748,1.87857
3,2,0.01063,0.12677,0.06312,0.79949,0.34854,1.87857
4,3,0.00114,0.13626,0.06312,0.79949,0.33905,1.87857
5,4,7e-05,0.13733,0.06312,0.79949,0.33799,1.87857
6,5,0.0,0.1374,0.06312,0.79949,0.33792,1.87857
2,2,0.03834,0.0,0.21993,0.74172,0.33496,1.2796
2,0,0.03203,0.01615,0.15234,0.79949,0.28072,2.75234
3,3,0.00548,0.0,0.25279,0.74172,0.26924,1.2796
3,1,0.01374,0.03444,0.15234,0.79949,0.26243,2.75234
4,4,0.00044,0.0,0.25783,0.74172,0.25916,1.2796
5,5,2e-05,0.0,0.25825,0.74172,0.25832,1.2796
6,6,0.0,0.0,0.25827,0.74172,0.25828,1.2796
4,2,0.00221,0.04597,0.15234,0.79949,0.2509,2.75234
5,3,0.00019,0.04799,0.15234,0.79949,0.24888,2.75234
6,4,1e-05,0.04817,0.15234,0.79949,0.2487,2.75234
3,0,0.00888,0.00325,0.18839,0.79949,0.22152,3.72246
4,1,0.00286,0.00927,0.18839,0.79949,0.2155,3.72246
5,2,0.00037,0.01176,0.18839,0.79949,0.21301,3.72246
6,3,3e-05,0.0121,0.18839,0.79949,0.21267,3.72246
4,0,0.00185,0.00053,0.19814,0.79949,0.20473,4.71684
5,1,0.00047,0.0019,0.19814,0.79949,0.20336,4.71684
6,2,5e-05,0.00232,0.19814,0.79949,0.20294,4.71684
5,0,0.00031,7e-05,0.20014,0.79949,0.2012,5.71596
6,1,7e-05,0.00031,0.20014,0.79949,0.20096,5.71596
6,0,4e-05,1e-05,0.20046,0.79949,0.20061,6.71585
