pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.12025,0.1182,0.49162,0.26993,1.08878,1.35989
2,0,0.13575,0.08312,0.5112,0.26993,1.08469,1.37665
2,1,0.09181,0.14665,0.49162,0.26993,1.06034,1.35989
3,1,0.06868,0.15019,0.5112,0.26993,1.01762,1.37665
3,2,0.02322,0.21523,0.49162,0.26993,0.99175,1.35989
3,0,0.10156,0.04491,0.58361,0.26993,0.97809,1.83115
4,3,0.00294,0.23552,0.49162,0.26993,0.97147,1.35989
5,4,0.00022,0.23823,0.49162,0.26993,0.96875,1.35989
6,5,1e-05,0.23844,0.49162,0.26993,0.96854,1.35989
4,2,0.01303,0.20584,0.5112,0.26993,0.96197,1.37665
5,3,0.00132,0.21755,0.5112,0.26993,0.95026,1.37665
6,4,8e-05,0.21879,0.5112,0.26993,0.94903,1.37665
4,1,0.03854,0.10793,0.58361,0.26993,0.91507,1.83115
5,2,0.00585,0.14061,0.58361,0.26993,0.88238,1.83115
6,3,0.00049,0.14597,0.58361,0.26993,0.87703,1.83115
4,0,0.05698,0.01965,0.65344,0.26993,0.86369,2.57858
5,1,0.0173,0.05933,0.65344,0.26993,0.824,2.57858
6,2,0.00219,0.07444,0.65344,0.26993,0.80889,2.57858
5,0,0.02558,0.00722,0.69728,0.26993,0.78844,3.47926
6,1,0.00647,0.02632,0.69728,0.26993,0.76934,3.47926
6,0,0.00957,0.00228,0.71822,0.26993,0.75149,4.44554
1,1,0.08254,0.0,0.09143,0.82603,0.33904,1.82003
0,0,0.05463,0.0,0.11935,0.82603,0.28322,1.82003
2,2,0.03104,0.0,0.14293,0.82603,0.23606,1.82003
0,1,0.03573,0.03562,0.02461,0.90404,0.20304,2.62812
1,2,0.02767,0.04369,0.02461,0.90404,0.19497,2.62812
3,3,0.00524,0.0,0.16873,0.82603,0.18444,1.82003
4,4,0.0005,0.0,0.17347,0.82603,0.17496,1.82003
2,3,0.007,0.06435,0.02461,0.90404,0.17431,2.62812
5,5,3e-05,0.0,0.17394,0.82603,0.17403,1.82003
6,6,0.0,0.0,0.17397,0.82603,0.17397,1.82003
3,4,0.00089,0.07047,0.02461,0.90404,0.16819,2.62812
4,5,7e-05,0.07128,0.02461,0.90404,0.16737,2.62812
5,6,0.0,0.07135,0.02461,0.90404,0.16731,2.62812
0,2,0.01233,0.00755,0.07608,0.90404,0.12816,3.57891
1,3,0.00624,0.01364,0.07608,0.90404,0.12207,3.57891
2,4,0.00118,0.01869,0.07608,0.90404,0.11701,3.57891
3,5,0.00012,0.01975,0.07608,0.90404,0.11595,3.57891
4,6,1e-05,0.01987,0.07608,0.90404,0.11584,3.57891
0,3,0.00278,0.00123,0.09195,0.90404,0.10274,4.56945
1,4,0.00105,0.00295,0.09195,0.90404,0.10102,4.56945
2,5,0.00016,0.00385,0.09195,0.90404,0.10012,4.56945
3,6,1e-05,0.00399,0.09195,0.90404,0.09998,4.56945
0,4,0.00047,0.00016,0.09532,0.90404,0.09706,5.568
1,5,0.00014,0.00049,0.09532,0.90404,0.09673,5.568
2,6,2e-05,0.00061,0.09532,0.90404,0.09661,5.568
0,5,6e-05,2e-05,0.09587,0.90404,0.0961,6.56782
1,6,2e-05,7e-05,0.09587,0.90404,0.09605,6.56782
0,6,1e-05,0.0,0.09595,0.90404,0.09597,7.5678
