pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.13127,0.12283,0.3762,0.3697,1.01568,1.2361
1,2,0.09636,0.15775,0.3762,0.3697,0.98076,1.2361
0,2,0.12341,0.07203,0.43486,0.3697,0.94916,1.48371
2,3,0.02341,0.23069,0.3762,0.3697,0.90782,1.2361
3,4,0.00284,0.25126,0.3762,0.3697,0.88725,1.2361
1,3,0.05997,0.13547,0.43486,0.3697,0.88572,1.48371
4,5,0.00021,0.2539,0.3762,0.3697,0.88461,1.2361
5,6,1e-05,0.25409,0.3762,0.3697,0.88442,1.2361
2,4,0.01093,0.18452,0.43486,0.3697,0.83668,1.48371
3,5,0.00106,0.19438,0.43486,0.3697,0.82681,1.48371
4,6,6e-05,0.19538,0.43486,0.3697,0.82581,1.48371
0,3,0.07682,0.03243,0.52106,0.3697,0.81636,2.1222
1,4,0.028,0.08125,0.52106,0.3697,0.76754,2.1222
2,5,0.00408,0.10516,0.52106,0.3697,0.74363,2.1222
3,6,0.00033,0.10891,0.52106,0.3697,0.73988,2.1222
0,4,0.03586,0.01182,0.58263,0.3697,0.71384,2.97919
1,5,0.01046,0.03722,0.58263,0.3697,0.68843,2.97919
2,6,0.00127,0.04641,0.58263,0.3697,0.67925,2.97919
0,5,0.01339,0.00361,0.6133,0.3697,0.6607,3.93152
1,6,0.00325,0.01375,0.6133,0.3697,0.65056,3.93152
0,6,0.00417,0.00095,0.62518,0.3697,0.63959,4.91787
1,1,0.10412,0.0,0.116,0.77988,0.42835,1.49671
0,0,0.0717,0.0,0.14841,0.77988,0.36352,1.49671
1,0,0.05436,0.05136,0.04386,0.85042,0.30966,2.19755
2,1,0.04029,0.06543,0.04386,0.85042,0.29559,2.19755
2,2,0.03762,0.0,0.1825,0.77988,0.29535,1.49671
3,2,0.00979,0.09593,0.04386,0.85042,0.26509,2.19755
4,3,0.00119,0.10453,0.04386,0.85042,0.25649,2.19755
5,4,9e-05,0.10563,0.04386,0.85042,0.25538,2.19755
6,5,0.0,0.10571,0.04386,0.85042,0.2553,2.19755
3,3,0.00609,0.0,0.21402,0.77988,0.2323,1.49671
4,4,0.00056,0.0,0.21956,0.77988,0.22123,1.49671
5,5,3e-05,0.0,0.22009,0.77988,0.22018,1.49671
6,6,0.0,0.0,0.22012,0.77988,0.22012,1.49671
2,0,0.02158,0.01259,0.11541,0.85042,0.20533,3.10982
3,1,0.01049,0.02368,0.11541,0.85042,0.19424,3.10982
4,2,0.00191,0.03226,0.11541,0.85042,0.18566,3.10982
5,3,0.00019,0.03398,0.11541,0.85042,0.18394,3.10982
6,4,1e-05,0.03416,0.11541,0.85042,0.18376,3.10982
3,0,0.00562,0.00237,0.14159,0.85042,0.16318,4.09044
4,1,0.00205,0.00594,0.14159,0.85042,0.15961,4.09044
5,2,0.0003,0.00769,0.14159,0.85042,0.15786,4.09044
6,3,2e-05,0.00796,0.14159,0.85042,0.15759,4.09044
4,0,0.0011,0.00036,0.14812,0.85042,0.15213,5.08703
5,1,0.00032,0.00114,0.14812,0.85042,0.15136,5.08703
6,2,4e-05,0.00142,0.14812,0.85042,0.15108,5.08703
5,0,0.00017,5e-05,0.14936,0.85042,0.14997,6.08653
6,1,4e-05,0.00018,0.14936,0.85042,0.14984,6.08653
6,0,2e-05,1e-05,0.14955,0.85042,0.14963,7.08647
