pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.10819,0.12012,0.22349,0.54821,0.78828,1.34309
2,1,0.09102,0.13728,0.22349,0.54821,0.77112,1.34309
3,2,0.02527,0.20303,0.22349,0.54821,0.70537,1.34309
4,3,0.00351,0.22479,0.22349,0.54821,0.6836,1.34309
5,4,0.00029,0.22801,0.22349,0.54821,0.68039,1.34309
6,5,2e-05,0.22829,0.22349,0.54821,0.68011,1.34309
2,0,0.08083,0.05535,0.31562,0.54821,0.66879,1.89611
3,1,0.04489,0.09129,0.31562,0.54821,0.63285,1.89611
4,2,0.00935,0.12683,0.31562,0.54821,0.59731,1.89611
5,3,0.00104,0.13514,0.31562,0.54821,0.589,1.89611
6,4,7e-05,0.1361,0.31562,0.54821,0.58804,1.89611
3,0,0.03986,0.01964,0.39229,0.54821,0.55114,2.72149
0,1,0.0821,0.09144,0.11378,0.71269,0.54294,1.67204
1,2,0.06929,0.10424,0.11378,0.71269,0.53014,1.67204
4,1,0.0166,0.0429,0.39229,0.54821,0.52789,2.72149
5,2,0.00277,0.05673,0.39229,0.54821,0.51405,2.72149
6,3,0.00026,0.05924,0.39229,0.54821,0.51154,2.72149
1,1,0.12415,0.0,0.13675,0.7391,0.50919,1.24667
4,0,0.01474,0.00565,0.4314,0.54821,0.48692,3.66585
2,3,0.01924,0.15429,0.11378,0.71269,0.48009,1.67204
5,1,0.00491,0.01548,0.4314,0.54821,0.47709,3.66585
6,2,0.00068,0.01971,0.4314,0.54821,0.47286,3.66585
3,4,0.00267,0.17086,0.11378,0.71269,0.46352,1.67204
5,0,0.00436,0.00137,0.44606,0.54821,0.46188,4.651
4,5,0.00022,0.17331,0.11378,0.71269,0.46107,1.67204
5,6,1e-05,0.17352,0.11378,0.71269,0.46086,1.67204
6,1,0.00121,0.00452,0.44606,0.54821,0.45873,4.651
6,0,0.00108,0.00028,0.45043,0.54821,0.45423,5.64761
0,2,0.04684,0.03207,0.2084,0.71269,0.41306,2.44448
0,0,0.07495,0.0,0.18594,0.7391,0.4108,1.24667
1,3,0.02601,0.0529,0.2084,0.71269,0.39223,2.44448
2,4,0.00542,0.07349,0.2084,0.71269,0.37164,2.44448
3,5,0.0006,0.07831,0.2084,0.71269,0.36682,2.44448
4,6,4e-05,0.07887,0.2084,0.71269,0.36627,2.44448
2,2,0.05125,0.0,0.20964,0.7391,0.3634,1.24667
0,3,0.01758,0.00866,0.26107,0.71269,0.33114,3.37475
1,4,0.00732,0.01892,0.26107,0.71269,0.32088,3.37475
2,5,0.00122,0.02502,0.26107,0.71269,0.31478,3.37475
3,6,0.00011,0.02613,0.26107,0.71269,0.31367,3.37475
0,4,0.00495,0.0019,0.28047,0.71269,0.29911,4.3575
1,5,0.00165,0.0052,0.28047,0.71269,0.29581,4.3575
2,6,0.00023,0.00662,0.28047,0.71269,0.29439,4.3575
0,5,0.00111,0.00035,0.28585,0.71269,0.28989,5.35395
1,6,0.00031,0.00115,0.28585,0.71269,0.28909,5.35395
0,6,0.00021,6e-05,0.28705,0.71269,0.28779,6.35332
3,3,0.00949,0.0,0.25141,0.7391,0.27987,1.24667
4,4,0.00099,0.0,0.25991,0.7391,0.26287,1.24667
5,5,7e-05,0.0,0.26083,0.7391,0.26103,1.24667
6,6,0.0,0.0,0.26089,0.7391,0.2609,1.24667
