pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.14148,0.1179,0.3585,0.38212,1.01875,1.20415
1,2,0.09452,0.16486,0.3585,0.38212,0.97179,1.20415
0,2,0.12633,0.06603,0.42552,0.38212,0.93659,1.48715
2,3,0.02091,0.23847,0.3585,0.38212,0.89818,1.20415
3,4,0.00231,0.25707,0.3585,0.38212,0.87958,1.20415
4,5,0.00015,0.25923,0.3585,0.38212,0.87742,1.20415
5,6,1e-05,0.25938,0.3585,0.38212,0.87727,1.20415
1,3,0.05589,0.13647,0.42552,0.38212,0.86615,1.48715
2,4,0.00927,0.18309,0.42552,0.38212,0.81953,1.48715
3,5,0.00082,0.19155,0.42552,0.38212,0.81107,1.48715
4,6,5e-05,0.19232,0.42552,0.38212,0.8103,1.48715
0,3,0.07471,0.02833,0.51484,0.38212,0.79563,2.15488
1,4,0.02479,0.07825,0.51484,0.38212,0.74572,2.15488
2,5,0.00329,0.09975,0.51484,0.38212,0.72422,2.15488
3,6,0.00024,0.1028,0.51484,0.38212,0.72117,2.15488
0,4,0.03313,0.00983,0.57492,0.38212,0.69398,3.0287
1,5,0.0088,0.03417,0.57492,0.38212,0.66965,3.0287
2,6,0.00097,0.04199,0.57492,0.38212,0.66182,3.0287
0,5,0.01176,0.00286,0.60327,0.38212,0.64426,3.98845
1,6,0.0026,0.01202,0.60327,0.38212,0.6351,3.98845
0,6,0.00348,0.00072,0.61369,0.38212,0.62555,4.97744
1,1,0.1075,0.0,0.12225,0.77025,0.44475,1.43992
0,0,0.08122,0.0,0.14853,0.77025,0.3922,1.43992
1,0,0.05912,0.04972,0.04352,0.84763,0.32033,2.13519
2,1,0.03986,0.06898,0.04352,0.84763,0.30107,2.13519
2,2,0.03536,0.0,0.19439,0.77025,0.30046,1.43992
3,2,0.00882,0.10003,0.04352,0.84763,0.27003,2.13519
4,3,0.00098,0.10787,0.04352,0.84763,0.26219,2.13519
5,4,6e-05,0.10878,0.04352,0.84763,0.26128,2.13519
6,5,0.0,0.10884,0.04352,0.84763,0.26121,2.13519
3,3,0.00521,0.0,0.22454,0.77025,0.24018,1.43992
4,4,0.00043,0.0,0.22932,0.77025,0.23061,1.43992
5,5,2e-05,0.0,0.22973,0.77025,0.2298,1.43992
6,6,0.0,0.0,0.22975,0.77025,0.22975,1.43992
2,0,0.02247,0.01174,0.11815,0.84763,0.20905,3.04814
3,1,0.00994,0.02427,0.11815,0.84763,0.19652,3.04814
4,2,0.00165,0.03256,0.11815,0.84763,0.18823,3.04814
5,3,0.00015,0.03407,0.11815,0.84763,0.18673,3.04814
6,4,1e-05,0.03421,0.11815,0.84763,0.18659,3.04814
3,0,0.0056,0.00213,0.14464,0.84763,0.1657,4.02952
4,1,0.00186,0.00587,0.14464,0.84763,0.16195,4.02952
5,2,0.00025,0.00748,0.14464,0.84763,0.16034,4.02952
6,3,2e-05,0.00771,0.14464,0.84763,0.16011,4.02952
4,0,0.00105,0.00031,0.15101,0.84763,0.15477,5.02636
5,1,0.00028,0.00108,0.15101,0.84763,0.154,5.02636
6,2,3e-05,0.00133,0.15101,0.84763,0.15376,5.02636
5,0,0.00016,4e-05,0.15217,0.84763,0.15272,6.02592
6,1,3e-05,0.00016,0.15217,0.84763,0.1526,6.02592
6,0,2e-05,0.0,0.15234,0.84763,0.15241,7.02587
