pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
2,0,0.13022,0.09118,0.5514,0.2272,1.12442,1.38829
1,0,0.10311,0.11674,0.55295,0.2272,1.09577,1.4942
2,1,0.08801,0.13184,0.55295,0.2272,1.08067,1.4942
3,1,0.07366,0.14774,0.5514,0.2272,1.06786,1.38829
3,0,0.10898,0.05486,0.60896,0.2272,1.04563,1.72519
3,2,0.02489,0.19496,0.55295,0.2272,1.01755,1.4942
4,2,0.01562,0.20578,0.5514,0.2272,1.00983,1.38829
4,3,0.00352,0.21633,0.55295,0.2272,0.99618,1.4942
5,3,0.00177,0.21963,0.5514,0.2272,0.99597,1.38829
6,4,0.00012,0.22127,0.5514,0.2272,0.99433,1.38829
5,4,0.0003,0.21955,0.55295,0.2272,0.99296,1.4942
6,5,2e-05,0.21984,0.55295,0.2272,0.99267,1.4942
4,1,0.04623,0.11761,0.60896,0.2272,0.98288,1.72519
5,2,0.00785,0.156,0.60896,0.2272,0.94449,1.72519
6,3,0.00074,0.1631,0.60896,0.2272,0.93739,1.72519
4,0,0.0684,0.02678,0.67762,0.2272,0.93639,2.38978
5,1,0.02321,0.07197,0.67762,0.2272,0.8912,2.38978
6,2,0.00328,0.0919,0.67762,0.2272,0.87127,2.38978
5,0,0.03435,0.01098,0.72748,0.2272,0.85248,3.24473
6,1,0.00971,0.03561,0.72748,0.2272,0.82785,3.24473
6,0,0.01437,0.00388,0.75455,0.2272,0.80543,4.19033
1,1,0.07073,0.0,0.07792,0.85135,0.29011,2.0398
0,0,0.04194,0.0,0.10672,0.85135,0.23252,2.0398
2,2,0.02974,0.0,0.11891,0.85135,0.20814,2.0398
0,1,0.02731,0.03143,0.01981,0.92146,0.16458,2.88272
1,2,0.02369,0.03504,0.01981,0.92146,0.16097,2.88272
3,3,0.00561,0.0,0.14304,0.85135,0.15987,2.0398
4,4,0.00059,0.0,0.14806,0.85135,0.14984,2.0398
5,5,4e-05,0.0,0.14861,0.85135,0.14873,2.0398
6,6,0.0,0.0,0.14865,0.85135,0.14866,2.0398
2,3,0.0067,0.05203,0.01981,0.92146,0.14398,2.88272
3,4,0.00095,0.05778,0.01981,0.92146,0.13822,2.88272
4,5,8e-05,0.05865,0.01981,0.92146,0.13735,2.88272
5,6,0.0,0.05873,0.01981,0.92146,0.13728,2.88272
0,2,0.00944,0.00661,0.0625,0.92146,0.10402,3.84309
1,3,0.00534,0.01071,0.0625,0.92146,0.09993,3.84309
2,4,0.00113,0.01491,0.0625,0.92146,0.09572,3.84309
3,5,0.00013,0.01592,0.0625,0.92146,0.09472,3.84309
4,6,1e-05,0.01604,0.0625,0.92146,0.0946,3.84309
0,3,0.00213,0.00107,0.07535,0.92146,0.08387,4.83556
1,4,0.0009,0.00229,0.07535,0.92146,0.08264,4.83556
2,5,0.00015,0.00304,0.07535,0.92146,0.08189,4.83556
3,6,1e-05,0.00318,0.07535,0.92146,0.08175,4.83556
0,4,0.00036,0.00014,0.07804,0.92146,0.0794,5.83441
1,5,0.00012,0.00038,0.07804,0.92146,0.07917,5.83441
2,6,2e-05,0.00048,0.07804,0.92146,0.07906,5.83441
0,5,5e-05,2e-05,0.07848,0.92146,0.07866,6.83427
1,6,1e-05,5e-05,0.07848,0.92146,0.07862,6.83427
0,6,1e-05,0.0,0.07854,0.92146,0.07856,7.83426
