pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.13662,0.12004,0.33154,0.41181,0.98147,1.21025
2,1,0.09531,0.16135,0.33154,0.41181,0.94015,1.21025
2,0,0.1179,0.06479,0.40551,0.41181,0.88877,1.54718
3,2,0.022,0.23465,0.33154,0.41181,0.86685,1.21025
4,3,0.00254,0.25411,0.33154,0.41181,0.84739,1.21025
5,4,0.00018,0.25648,0.33154,0.41181,0.84502,1.21025
6,5,1e-05,0.25665,0.33154,0.41181,0.84486,1.21025
3,1,0.05444,0.12825,0.40551,0.41181,0.82532,1.54718
4,2,0.00943,0.17326,0.40551,0.41181,0.7803,1.54718
5,3,0.00087,0.18181,0.40551,0.41181,0.77175,1.54718
6,4,5e-05,0.18263,0.40551,0.41181,0.77093,1.54718
3,0,0.06734,0.02681,0.49404,0.41181,0.74969,2.24946
4,1,0.02332,0.07083,0.49404,0.41181,0.70567,2.24946
5,2,0.00323,0.09092,0.49404,0.41181,0.68558,2.24946
6,3,0.00025,0.09391,0.49404,0.41181,0.6826,2.24946
4,0,0.02885,0.00898,0.55037,0.41181,0.65487,3.14006
5,1,0.00799,0.02984,0.55037,0.41181,0.63401,3.14006
6,2,0.00092,0.03691,0.55037,0.41181,0.62694,3.14006
5,0,0.00989,0.00252,0.57578,0.41181,0.61049,4.10632
6,1,0.00228,0.01013,0.57578,0.41181,0.60289,4.10632
6,0,0.00282,0.00061,0.58476,0.41181,0.59445,5.09739
1,1,0.11222,0.0,0.12628,0.7615,0.46294,1.38664
0,0,0.08128,0.0,0.15721,0.7615,0.40106,1.38664
0,1,0.06393,0.05663,0.05275,0.82669,0.3578,2.04002
1,2,0.04496,0.0756,0.05275,0.82669,0.33883,2.04002
2,2,0.03852,0.0,0.19998,0.7615,0.31554,1.38664
2,3,0.01038,0.11018,0.05275,0.82669,0.30425,2.04002
3,4,0.0012,0.11936,0.05275,0.82669,0.29507,2.04002
4,5,8e-05,0.12048,0.05275,0.82669,0.29395,2.04002
5,6,0.0,0.12056,0.05275,0.82669,0.29387,2.04002
3,3,0.00593,0.0,0.23257,0.7615,0.25036,1.38664
0,2,0.02624,0.01442,0.13265,0.82669,0.2402,2.93453
4,4,0.00051,0.0,0.23798,0.7615,0.23952,1.38664
5,5,3e-05,0.0,0.23847,0.7615,0.23855,1.38664
6,6,0.0,0.0,0.2385,0.7615,0.2385,1.38664
1,3,0.01212,0.02854,0.13265,0.82669,0.22608,2.93453
2,4,0.0021,0.03856,0.13265,0.82669,0.21606,2.93453
3,5,0.00019,0.04046,0.13265,0.82669,0.21416,2.93453
4,6,1e-05,0.04065,0.13265,0.82669,0.21398,2.93453
0,3,0.00707,0.00282,0.16342,0.82669,0.19026,3.91034
1,4,0.00245,0.00744,0.16342,0.82669,0.18564,3.91034
2,5,0.00034,0.00955,0.16342,0.82669,0.18353,3.91034
3,6,3e-05,0.00986,0.16342,0.82669,0.18322,3.91034
0,4,0.00143,0.00044,0.17143,0.82669,0.17661,4.90593
1,5,0.0004,0.00148,0.17143,0.82669,0.17558,4.90593
2,6,5e-05,0.00183,0.17143,0.82669,0.17523,4.90593
0,5,0.00023,6e-05,0.17302,0.82669,0.17383,5.90526
1,6,5e-05,0.00024,0.17302,0.82669,0.17365,5.90526
0,6,3e-05,1e-05,0.17327,0.82669,0.17338,6.90518
