pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.15829,0.10781,0.39476,0.33914,1.08526,1.18354
2,1,0.08941,0.17669,0.39476,0.33914,1.01638,1.18354
2,0,0.14437,0.06226,0.45424,0.33914,1.01185,1.39402
3,2,0.01674,0.24936,0.39476,0.33914,0.94371,1.18354
4,3,0.00157,0.26454,0.39476,0.33914,0.92854,1.18354
5,4,9e-05,0.26602,0.39476,0.33914,0.92706,1.18354
6,5,0.0,0.2661,0.39476,0.33914,0.92697,1.18354
3,1,0.05407,0.15256,0.45424,0.33914,0.92155,1.39402
4,2,0.00759,0.19903,0.45424,0.33914,0.87508,1.39402
5,3,0.00057,0.20605,0.45424,0.33914,0.86805,1.39402
6,4,3e-05,0.2066,0.45424,0.33914,0.86751,1.39402
3,0,0.0873,0.02745,0.54611,0.33914,0.86291,2.01774
4,1,0.02452,0.09023,0.54611,0.33914,0.80013,2.01774
5,2,0.00275,0.112,0.54611,0.33914,0.77837,2.01774
6,3,0.00017,0.11458,0.54611,0.33914,0.77579,2.01774
4,0,0.03959,0.00978,0.6115,0.33914,0.74982,2.87097
5,1,0.0089,0.04047,0.6115,0.33914,0.71913,2.87097
6,2,0.00083,0.04853,0.6115,0.33914,0.71106,2.87097
5,0,0.01436,0.00292,0.64358,0.33914,0.69251,3.82293
6,1,0.00269,0.01459,0.64358,0.33914,0.68083,3.82293
6,0,0.00434,0.00075,0.65577,0.33914,0.6703,4.80945
1,1,0.09945,0.0,0.12001,0.78055,0.41834,1.50527
0,0,0.08861,0.0,0.13084,0.78055,0.39667,1.50527
2,2,0.02769,0.0,0.19176,0.78055,0.27483,1.50527
0,1,0.05347,0.03681,0.02941,0.88032,0.26343,2.2659
1,2,0.03053,0.05975,0.02941,0.88032,0.24049,2.2659
3,3,0.00346,0.0,0.216,0.78055,0.22636,1.50527
4,4,0.00024,0.0,0.21921,0.78055,0.21994,1.50527
5,5,1e-05,0.0,0.21944,0.78055,0.21947,1.50527
6,6,0.0,0.0,0.21945,0.78055,0.21945,1.50527
2,3,0.00572,0.08456,0.02941,0.88032,0.21568,2.2659
3,4,0.00054,0.08974,0.02941,0.88032,0.2105,2.2659
4,5,3e-05,0.09025,0.02941,0.88032,0.20999,2.2659
5,6,0.0,0.09027,0.02941,0.88032,0.20996,2.2659
0,2,0.01683,0.00726,0.0956,0.88032,0.16059,3.20708
1,3,0.0063,0.01778,0.0956,0.88032,0.15007,3.20708
2,4,0.00089,0.0232,0.0956,0.88032,0.14465,3.20708
3,5,7e-05,0.02402,0.0956,0.88032,0.14383,3.20708
4,6,0.0,0.02408,0.0956,0.88032,0.14377,3.20708
0,3,0.00347,0.00109,0.11512,0.88032,0.12772,4.19643
1,4,0.00098,0.00359,0.11512,0.88032,0.12523,4.19643
2,5,0.00011,0.00446,0.11512,0.88032,0.12436,4.19643
3,6,1e-05,0.00456,0.11512,0.88032,0.12426,4.19643
0,4,0.00054,0.00013,0.11901,0.88032,0.12089,5.19491
1,5,0.00012,0.00055,0.11901,0.88032,0.12048,5.19491
2,6,1e-05,0.00066,0.11901,0.88032,0.12037,5.19491
0,5,7e-05,1e-05,0.1196,0.88032,0.11983,6.19473
1,6,1e-05,7e-05,0.1196,0.88032,0.11978,6.19473
0,6,1e-05,0.0,0.11968,0.88032,0.1197,7.19471
