pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.1246,0.11722,0.48201,0.27617,1.09025,1.33779
2,0,0.13763,0.08083,0.50537,0.27617,1.07993,1.37377
2,1,0.09184,0.14998,0.48201,0.27617,1.05749,1.33779
3,1,0.06723,0.15123,0.50537,0.27617,1.00953,1.37377
3,2,0.02243,0.21939,0.48201,0.27617,0.98808,1.33779
4,3,0.00274,0.23908,0.48201,0.27617,0.96839,1.33779
3,0,0.10076,0.04279,0.58028,0.27617,0.96814,1.84668
5,4,0.0002,0.24162,0.48201,0.27617,0.96585,1.33779
6,5,1e-05,0.24181,0.48201,0.27617,0.96566,1.33779
4,2,0.01232,0.20615,0.50537,0.27617,0.95461,1.37377
5,3,0.0012,0.21726,0.50537,0.27617,0.9435,1.37377
6,4,7e-05,0.21839,0.50537,0.27617,0.94237,1.37377
4,1,0.03692,0.10663,0.58028,0.27617,0.90429,1.84668
5,2,0.00541,0.13814,0.58028,0.27617,0.87279,1.84668
6,3,0.00044,0.14311,0.58028,0.27617,0.86782,1.84668
4,0,0.05532,0.01834,0.65017,0.27617,0.85281,2.60669
5,1,0.01622,0.05745,0.65017,0.27617,0.81371,2.60669
6,2,0.00198,0.07168,0.65017,0.27617,0.79947,2.60669
5,0,0.0243,0.0066,0.69293,0.27617,0.77903,3.51402
6,1,0.00594,0.02496,0.69293,0.27617,0.76066,3.51402
6,0,0.00889,0.00204,0.71289,0.27617,0.74366,4.48315
1,1,0.08437,0.0,0.09392,0.8217,0.34705,1.78545
0,0,0.05781,0.0,0.12049,0.8217,0.29391,1.78545
2,2,0.03064,0.0,0.14766,0.8217,0.23958,1.78545
0,1,0.03734,0.03562,0.02491,0.90213,0.20817,2.5897
1,2,0.0279,0.04505,0.02491,0.90213,0.19874,2.5897
3,3,0.00499,0.0,0.17331,0.8217,0.18828,1.78545
4,4,0.00046,0.0,0.17784,0.8217,0.17921,1.78545
5,5,3e-05,0.0,0.17827,0.8217,0.17835,1.78545
6,6,0.0,0.0,0.1783,0.8217,0.1783,1.78545
2,3,0.00682,0.06614,0.02491,0.90213,0.17765,2.5897
3,4,0.00083,0.07213,0.02491,0.90213,0.17166,2.5897
4,5,6e-05,0.0729,0.02491,0.90213,0.17089,2.5897
5,6,0.0,0.07296,0.02491,0.90213,0.17083,2.5897
0,2,0.01271,0.00746,0.0777,0.90213,0.13074,3.53988
1,3,0.00621,0.01396,0.0777,0.90213,0.12425,3.53988
2,4,0.00114,0.01903,0.0777,0.90213,0.11918,3.53988
3,5,0.00011,0.02006,0.0777,0.90213,0.11815,3.53988
4,6,1e-05,0.02016,0.0777,0.90213,0.11805,3.53988
0,3,0.00283,0.0012,0.09384,0.90213,0.10472,4.53039
1,4,0.00104,0.00299,0.09384,0.90213,0.10293,4.53039
2,5,0.00015,0.00387,0.09384,0.90213,0.10205,4.53039
3,6,1e-05,0.00401,0.09384,0.90213,0.10191,4.53039
0,4,0.00047,0.00016,0.09724,0.90213,0.09897,5.52896
1,5,0.00014,0.00049,0.09724,0.90213,0.09864,5.52896
2,6,2e-05,0.00061,0.09724,0.90213,0.09852,5.52896
0,5,6e-05,2e-05,0.09779,0.90213,0.09801,6.52878
1,6,2e-05,6e-05,0.09779,0.90213,0.09797,6.52878
0,6,1e-05,0.0,0.09786,0.90213,0.09789,7.52876
