pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.12268,0.12666,0.39266,0.358,1.01402,1.26578
1,2,0.09742,0.15192,0.39266,0.358,0.98876,1.26578
0,2,0.12066,0.07733,0.44401,0.358,0.96066,1.48045
2,3,0.0256,0.22374,0.39266,0.358,0.91694,1.26578
1,3,0.06342,0.13457,0.44401,0.358,0.90342,1.48045
3,4,0.00336,0.24598,0.39266,0.358,0.8947,1.26578
4,5,0.00027,0.24907,0.39266,0.358,0.89161,1.26578
5,6,1e-05,0.24933,0.39266,0.358,0.89135,1.26578
2,4,0.0125,0.18549,0.44401,0.358,0.85249,1.48045
3,5,0.00131,0.19668,0.44401,0.358,0.84131,1.48045
4,6,9e-05,0.19791,0.44401,0.358,0.84008,1.48045
0,3,0.07856,0.03631,0.52714,0.358,0.83542,2.09112
1,4,0.03097,0.08389,0.52714,0.358,0.78783,2.09112
2,5,0.00488,0.10998,0.52714,0.358,0.76175,2.09112
3,6,0.00043,0.11444,0.52714,0.358,0.75729,2.09112
0,4,0.03836,0.01381,0.58983,0.358,0.73253,2.93151
1,5,0.0121,0.04007,0.58983,0.358,0.70627,2.93151
2,6,0.00159,0.05058,0.58983,0.358,0.69576,2.93151
0,5,0.01498,0.00441,0.6226,0.358,0.67638,3.87624
1,6,0.00394,0.01546,0.6226,0.358,0.66533,3.87624
0,6,0.00488,0.00121,0.63591,0.358,0.65297,4.85976
1,1,0.10064,0.0,0.11108,0.78828,0.41299,1.54978
0,0,0.06414,0.0,0.14757,0.78828,0.34,1.54978
1,0,0.05019,0.05236,0.04373,0.85372,0.29903,2.25721
2,2,0.03932,0.0,0.17239,0.78828,0.29037,1.54978
2,1,0.04027,0.06228,0.04373,0.85372,0.2891,2.25721
3,2,0.01058,0.09197,0.04373,0.85372,0.25942,2.25721
4,3,0.00139,0.10116,0.04373,0.85372,0.25022,2.25721
5,4,0.00011,0.10244,0.04373,0.85372,0.24894,2.25721
6,5,1e-05,0.10254,0.04373,0.85372,0.24884,2.25721
3,3,0.00689,0.0,0.20483,0.78828,0.2255,1.54978
4,4,0.00068,0.0,0.21104,0.78828,0.21307,1.54978
5,5,4e-05,0.0,0.21167,0.78828,0.2118,1.54978
6,6,0.0,0.0,0.21171,0.78828,0.21172,1.54978
2,0,0.02062,0.01321,0.11245,0.85372,0.20073,3.16974
3,1,0.01084,0.02299,0.11245,0.85372,0.19095,3.16974
4,2,0.00214,0.03169,0.11245,0.85372,0.18225,3.16974
5,3,0.00022,0.03361,0.11245,0.85372,0.18034,3.16974
6,4,1e-05,0.03382,0.11245,0.85372,0.18013,3.16974
3,0,0.00555,0.00256,0.13817,0.85372,0.15994,4.14993
4,1,0.00219,0.00593,0.13817,0.85372,0.15658,4.14993
5,2,0.00034,0.00777,0.13817,0.85372,0.15474,4.14993
6,3,3e-05,0.00808,0.13817,0.85372,0.15443,4.14993
4,0,0.00112,0.0004,0.14476,0.85372,0.14893,5.14635
5,1,0.00035,0.00117,0.14476,0.85372,0.14816,5.14635
6,2,5e-05,0.00148,0.14476,0.85372,0.14785,5.14635
5,0,0.00018,5e-05,0.14605,0.85372,0.1467,6.14582
6,1,5e-05,0.00019,0.14605,0.85372,0.14657,6.14582
6,0,2e-05,1e-05,0.14625,0.85372,0.14634,7.14575
