pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.11763,0.11514,0.2191,0.54812,0.80228,1.31207
2,1,0.08957,0.14321,0.2191,0.54812,0.77422,1.31207
3,2,0.02252,0.21026,0.2191,0.54812,0.70717,1.31207
4,3,0.00283,0.22994,0.2191,0.54812,0.68748,1.31207
5,4,0.00021,0.23256,0.2191,0.54812,0.68486,1.31207
6,5,1e-05,0.23276,0.2191,0.54812,0.68466,1.31207
2,0,0.08443,0.05132,0.31612,0.54812,0.67206,1.87387
3,1,0.04246,0.0933,0.31612,0.54812,0.63008,1.87387
4,2,0.00801,0.12775,0.31612,0.54812,0.59563,1.87387
5,3,0.00081,0.13495,0.31612,0.54812,0.58843,1.87387
6,4,5e-05,0.1357,0.31612,0.54812,0.58768,1.87387
3,0,0.04002,0.01757,0.39428,0.54812,0.54949,2.70717
0,1,0.08747,0.08589,0.1068,0.71984,0.54099,1.6555
4,1,0.01509,0.0425,0.39428,0.54812,0.52456,2.70717
1,1,0.12708,0.0,0.14088,0.73204,0.52213,1.21582
1,2,0.06681,0.10655,0.1068,0.71984,0.52033,1.6555
5,2,0.00228,0.05532,0.39428,0.54812,0.51175,2.70717
6,3,0.00019,0.0574,0.39428,0.54812,0.50966,2.70717
4,0,0.01423,0.00487,0.43277,0.54812,0.48521,3.65567
5,1,0.00429,0.01481,0.43277,0.54812,0.47527,3.65567
6,2,0.00054,0.01856,0.43277,0.54812,0.47152,3.65567
2,3,0.0168,0.15656,0.1068,0.71984,0.47032,1.6555
5,0,0.00405,0.00113,0.44669,0.54812,0.4611,4.64237
6,1,0.00102,0.00416,0.44669,0.54812,0.45807,4.64237
3,4,0.00211,0.17125,0.1068,0.71984,0.45563,1.6555
6,0,0.00096,0.00023,0.45069,0.54812,0.45402,5.63943
4,5,0.00016,0.1732,0.1068,0.71984,0.45368,1.6555
5,6,1e-05,0.17335,0.1068,0.71984,0.45353,1.6555
0,0,0.08462,0.0,0.18335,0.73204,0.4372,1.21582
0,2,0.04698,0.02856,0.20462,0.71984,0.40269,2.4419
1,3,0.02363,0.05192,0.20462,0.71984,0.37933,2.4419
2,2,0.04751,0.0,0.22046,0.73204,0.36298,1.21582
2,4,0.00445,0.07109,0.20462,0.71984,0.36016,2.4419
3,5,0.00045,0.07509,0.20462,0.71984,0.35615,2.4419
4,6,3e-05,0.07551,0.20462,0.71984,0.35573,2.4419
0,3,0.01661,0.00729,0.25625,0.71984,0.32068,3.37938
1,4,0.00627,0.01764,0.25625,0.71984,0.31033,3.37938
2,5,0.00095,0.02296,0.25625,0.71984,0.30501,3.37938
3,6,8e-05,0.02383,0.25625,0.71984,0.30415,3.37938
0,4,0.00441,0.00151,0.27425,0.71984,0.29048,4.36468
1,5,0.00133,0.00459,0.27425,0.71984,0.2874,4.36468
2,6,0.00017,0.00575,0.27425,0.71984,0.28624,4.36468
3,3,0.00796,0.0,0.26,0.73204,0.28389,1.21582
0,5,0.00093,0.00026,0.27896,0.71984,0.28229,5.3618
1,6,0.00024,0.00096,0.27896,0.71984,0.28159,5.3618
0,6,0.00017,4e-05,0.27996,0.71984,0.28053,6.36133
4,4,0.00075,0.0,0.26721,0.73204,0.26947,1.21582
5,5,5e-05,0.0,0.26792,0.73204,0.26805,1.21582
6,6,0.0,0.0,0.26796,0.73204,0.26797,1.21582
