pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,2,0.14709,0.08072,0.55691,0.21528,1.15962,1.34345
0,1,0.12046,0.10546,0.55879,0.21528,1.1311,1.46104
1,2,0.08376,0.14217,0.55879,0.21528,1.09439,1.46104
1,3,0.06784,0.15997,0.55691,0.21528,1.08036,1.34345
0,3,0.11914,0.04737,0.61821,0.21528,1.07036,1.68148
2,3,0.01931,0.20661,0.55879,0.21528,1.02995,1.46104
2,4,0.01173,0.21608,0.55691,0.21528,1.02426,1.34345
3,5,0.00108,0.22673,0.55691,0.21528,1.01361,1.34345
3,4,0.00223,0.22369,0.55879,0.21528,1.01286,1.46104
4,6,6e-05,0.22775,0.55691,0.21528,1.01259,1.34345
4,5,0.00015,0.22577,0.55879,0.21528,1.01079,1.46104
5,6,1e-05,0.22591,0.55879,0.21528,1.01064,1.46104
1,4,0.04121,0.1253,0.61821,0.21528,0.99243,1.68148
2,5,0.0057,0.1608,0.61821,0.21528,0.95692,1.68148
0,4,0.07237,0.02249,0.68985,0.21528,0.95195,2.35252
3,6,0.00044,0.16607,0.61821,0.21528,0.95166,1.68148
1,5,0.02003,0.07484,0.68985,0.21528,0.8996,2.35252
2,6,0.00231,0.09255,0.68985,0.21528,0.88189,2.35252
0,5,0.03517,0.00896,0.74059,0.21528,0.86401,3.21328
1,6,0.00811,0.03602,0.74059,0.21528,0.83695,3.21328
0,6,0.01424,0.00307,0.7674,0.21528,0.81627,4.1623
1,1,0.06955,0.0,0.07828,0.85217,0.28693,2.03047
0,0,0.05044,0.0,0.0974,0.85217,0.24871,2.03047
2,2,0.02385,0.0,0.12399,0.85217,0.19552,2.03047
3,3,0.00367,0.0,0.14417,0.85217,0.15516,2.03047
4,4,0.00032,0.0,0.14752,0.85217,0.14847,2.03047
5,5,2e-05,0.0,0.14782,0.85217,0.14787,2.03047
6,6,0.0,0.0,0.14783,0.85217,0.14783,2.03047
1,0,0.02776,0.02471,0.01497,0.93255,0.14769,2.89557
2,1,0.01963,0.03285,0.01497,0.93255,0.13956,2.89557
3,2,0.00453,0.04795,0.01497,0.93255,0.12445,2.89557
4,3,0.00052,0.05196,0.01497,0.93255,0.12045,2.89557
5,4,4e-05,0.05244,0.01497,0.93255,0.11996,2.89557
6,5,0.0,0.05248,0.01497,0.93255,0.11993,2.89557
2,0,0.00808,0.00443,0.05494,0.93255,0.08804,3.86562
3,1,0.00373,0.00879,0.05494,0.93255,0.08369,3.86562
4,2,0.00064,0.01187,0.05494,0.93255,0.08061,3.86562
5,3,6e-05,0.01245,0.05494,0.93255,0.08002,3.86562
6,4,0.0,0.01251,0.05494,0.93255,0.07996,3.86562
3,0,0.00153,0.00061,0.06531,0.93255,0.07113,4.8607
4,1,0.00053,0.00161,0.06531,0.93255,0.07012,4.8607
5,2,7e-05,0.00207,0.06531,0.93255,0.06967,4.8607
6,3,1e-05,0.00214,0.06531,0.93255,0.0696,4.8607
4,0,0.00022,7e-05,0.06716,0.93255,0.06795,5.86006
5,1,6e-05,0.00023,0.06716,0.93255,0.0678,5.86006
6,2,1e-05,0.00028,0.06716,0.93255,0.06774,5.86006
5,0,2e-05,1e-05,0.06742,0.93255,0.06751,6.85999
6,1,1e-05,3e-05,0.06742,0.93255,0.06749,6.85999
6,0,0.0,0.0,0.06745,0.93255,0.06746,7.85998
