pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.13317,0.11751,0.27447,0.47485,0.90901,1.22605
1,2,0.09324,0.15744,0.27447,0.47485,0.86908,1.22605
2,3,0.02159,0.2291,0.27447,0.47485,0.79743,1.22605
0,2,0.10399,0.05734,0.36381,0.47485,0.79048,1.67712
3,4,0.0025,0.24819,0.27447,0.47485,0.77834,1.22605
4,5,0.00017,0.25051,0.27447,0.47485,0.77601,1.22605
5,6,1e-05,0.25068,0.27447,0.47485,0.77584,1.22605
1,3,0.04816,0.11318,0.36381,0.47485,0.73465,1.67712
2,4,0.00836,0.15297,0.36381,0.47485,0.69485,1.67712
3,5,0.00077,0.16056,0.36381,0.47485,0.68726,1.67712
4,6,4e-05,0.16129,0.36381,0.47485,0.68653,1.67712
0,3,0.05371,0.02146,0.44998,0.47485,0.65403,2.45086
1,4,0.01865,0.05651,0.44998,0.47485,0.61897,2.45086
2,5,0.00259,0.07258,0.44998,0.47485,0.60291,2.45086
3,6,0.0002,0.07497,0.44998,0.47485,0.60052,2.45086
0,4,0.02081,0.0065,0.49785,0.47485,0.57326,3.37494
1,5,0.00578,0.02152,0.49785,0.47485,0.55823,3.37494
2,6,0.00067,0.02663,0.49785,0.47485,0.55312,3.37494
0,5,0.00645,0.00165,0.51705,0.47485,0.5397,4.35362
1,6,0.00149,0.0066,0.51705,0.47485,0.53474,4.35362
0,6,0.00166,0.00036,0.52313,0.47485,0.52884,5.3485
1,1,0.12142,0.0,0.13654,0.74203,0.50081,1.27635
1,0,0.07661,0.068,0.07227,0.78312,0.43812,1.84259
0,0,0.0877,0.0,0.17027,0.74203,0.43336,1.27635
2,1,0.05396,0.09066,0.07227,0.78312,0.41546,1.84259
3,2,0.01249,0.13212,0.07227,0.78312,0.37399,1.84259
4,3,0.00145,0.14317,0.07227,0.78312,0.36295,1.84259
5,4,0.0001,0.14452,0.07227,0.78312,0.3616,1.84259
6,5,0.0,0.14461,0.07227,0.78312,0.36151,1.84259
2,2,0.0418,0.0,0.21616,0.74203,0.34157,1.27635
2,0,0.03482,0.0192,0.16286,0.78312,0.30573,2.69806
3,1,0.01613,0.0379,0.16286,0.78312,0.28704,2.69806
4,2,0.0028,0.05123,0.16286,0.78312,0.27371,2.69806
5,3,0.00026,0.05377,0.16286,0.78312,0.27117,2.69806
6,4,2e-05,0.05401,0.16286,0.78312,0.27092,2.69806
3,3,0.00645,0.0,0.25151,0.74203,0.27087,1.27635
4,4,0.00056,0.0,0.25741,0.74203,0.25909,1.27635
5,5,3e-05,0.0,0.25793,0.74203,0.25803,1.27635
6,6,0.0,0.0,0.25796,0.74203,0.25797,1.27635
3,0,0.01041,0.00416,0.20232,0.78312,0.24186,3.66158
4,1,0.00361,0.01095,0.20232,0.78312,0.23506,3.66158
5,2,0.0005,0.01406,0.20232,0.78312,0.23195,3.66158
6,3,4e-05,0.01453,0.20232,0.78312,0.23149,3.66158
4,0,0.00233,0.00073,0.21382,0.78312,0.22228,4.65423
5,1,0.00065,0.00241,0.21382,0.78312,0.22059,4.65423
6,2,8e-05,0.00299,0.21382,0.78312,0.22002,4.65423
5,0,0.00042,0.00011,0.21636,0.78312,0.21783,5.65301
6,1,0.0001,0.00043,0.21636,0.78312,0.21751,5.65301
6,0,6e-05,1e-05,0.21681,0.78312,0.21702,6.65283
