pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.1185,0.12767,0.30974,0.44409,0.92058,1.26085
1,2,0.09734,0.14883,0.30974,0.44409,0.89943,1.26085
0,2,0.10297,0.06863,0.38431,0.44409,0.83047,1.64137
2,3,0.02643,0.21974,0.30974,0.44409,0.82851,1.26085
3,4,0.00359,0.24259,0.30974,0.44409,0.80567,1.26085
4,5,0.00029,0.24588,0.30974,0.44409,0.80238,1.26085
5,6,2e-05,0.24616,0.30974,0.44409,0.8021,1.26085
1,3,0.05592,0.11568,0.38431,0.44409,0.78342,1.64137
2,4,0.01139,0.16021,0.38431,0.44409,0.73889,1.64137
3,5,0.00124,0.17036,0.38431,0.44409,0.72874,1.64137
4,6,8e-05,0.17151,0.38431,0.44409,0.72759,1.64137
0,3,0.05915,0.02839,0.46837,0.44409,0.7026,2.3651
1,4,0.02409,0.06345,0.46837,0.44409,0.66754,2.3651
2,5,0.00392,0.08362,0.46837,0.44409,0.64737,2.3651
3,6,0.00036,0.08719,0.46837,0.44409,0.64381,2.3651
0,4,0.02548,0.00952,0.5209,0.44409,0.6164,3.2639
1,5,0.0083,0.0267,0.5209,0.44409,0.59922,3.2639
2,6,0.00113,0.03388,0.5209,0.44409,0.59204,3.2639
0,5,0.00878,0.00268,0.54444,0.44409,0.57616,4.23272
1,6,0.00238,0.00908,0.54444,0.44409,0.56976,4.23272
0,6,0.00252,0.00065,0.55274,0.44409,0.5616,5.22447
1,1,0.11397,0.0,0.12559,0.76044,0.4675,1.37266
1,0,0.06456,0.07004,0.06993,0.79547,0.40368,1.9636
2,1,0.0534,0.0812,0.06993,0.79547,0.39253,1.9636
0,0,0.07034,0.0,0.16922,0.76044,0.38024,1.37266
3,2,0.0145,0.1201,0.06993,0.79547,0.35363,1.9636
4,3,0.00197,0.13263,0.06993,0.79547,0.3411,1.9636
5,4,0.00016,0.13444,0.06993,0.79547,0.33929,1.9636
6,5,1e-05,0.13459,0.06993,0.79547,0.33914,1.9636
2,2,0.04601,0.0,0.19355,0.76044,0.33159,1.37266
2,0,0.03099,0.02065,0.15289,0.79547,0.28716,2.82374
3,1,0.01683,0.03481,0.15289,0.79547,0.273,2.82374
4,2,0.00343,0.04821,0.15289,0.79547,0.2596,2.82374
5,3,0.00037,0.05127,0.15289,0.79547,0.25654,2.82374
3,3,0.00833,0.0,0.23123,0.76044,0.25622,1.37266
6,4,3e-05,0.05162,0.15289,0.79547,0.2562,2.82374
4,4,0.00085,0.0,0.23871,0.76044,0.24126,1.37266
5,5,6e-05,0.0,0.23951,0.76044,0.23967,1.37266
6,6,0.0,0.0,0.23956,0.76044,0.23957,1.37266
3,0,0.00977,0.00469,0.19008,0.79547,0.22875,3.78715
4,1,0.00398,0.01048,0.19008,0.79547,0.22296,3.78715
5,2,0.00065,0.0138,0.19008,0.79547,0.21963,3.78715
6,3,6e-05,0.01439,0.19008,0.79547,0.21904,3.78715
4,0,0.00231,0.00086,0.20136,0.79547,0.21001,4.77947
5,1,0.00075,0.00242,0.20136,0.79547,0.20845,4.77947
6,2,0.0001,0.00307,0.20136,0.79547,0.2078,4.77947
5,0,0.00044,0.00013,0.20396,0.79547,0.20554,5.77814
6,1,0.00012,0.00045,0.20396,0.79547,0.20522,5.77814
6,0,7e-05,2e-05,0.20444,0.79547,0.20469,6.77794
