pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.11591,0.11752,0.22666,0.53992,0.80941,1.31139
2,1,0.09076,0.14266,0.22666,0.53992,0.78427,1.31139
3,2,0.02347,0.20995,0.22666,0.53992,0.71697,1.31139
4,3,0.00303,0.23039,0.22666,0.53992,0.69654,1.31139
5,4,0.00024,0.23319,0.22666,0.53992,0.69374,1.31139
6,5,1e-05,0.23341,0.22666,0.53992,0.69352,1.31139
2,0,0.08523,0.05357,0.32129,0.53992,0.6841,1.85807
3,1,0.04407,0.09472,0.32129,0.53992,0.64295,1.85807
4,2,0.00855,0.13025,0.32129,0.53992,0.60742,1.85807
5,3,0.00088,0.13791,0.32129,0.53992,0.59976,1.85807
6,4,6e-05,0.13874,0.32129,0.53992,0.59893,1.85807
3,0,0.04139,0.01877,0.39993,0.53992,0.56162,2.68233
4,1,0.01605,0.0441,0.39993,0.53992,0.53629,2.68233
0,1,0.08444,0.08591,0.10492,0.72473,0.53005,1.68103
5,2,0.00249,0.05766,0.39993,0.53992,0.52273,2.68233
6,3,0.00021,0.05994,0.39993,0.53992,0.52045,2.68233
1,1,0.12571,0.0,0.13894,0.73535,0.51607,1.23156
1,2,0.06635,0.10399,0.10492,0.72473,0.51196,1.68103
4,0,0.01507,0.00533,0.43968,0.53992,0.49556,3.6269
5,1,0.00468,0.01572,0.43968,0.53992,0.48516,3.6269
6,2,0.0006,0.0198,0.43968,0.53992,0.48109,3.6269
5,0,0.00439,0.00127,0.45442,0.53992,0.47014,4.61227
6,1,0.00114,0.00453,0.45442,0.53992,0.46688,4.61227
2,3,0.01716,0.15319,0.10492,0.72473,0.46277,1.68103
6,0,0.00107,0.00026,0.45876,0.53992,0.46248,5.60897
3,4,0.00222,0.16813,0.10492,0.72473,0.44783,1.68103
4,5,0.00017,0.17017,0.10492,0.72473,0.44578,1.68103
5,6,1e-05,0.17034,0.10492,0.72473,0.44562,1.68103
0,0,0.08142,0.0,0.18323,0.73535,0.42749,1.23156
0,2,0.04555,0.02863,0.20109,0.72473,0.39499,2.47119
1,3,0.02355,0.05062,0.20109,0.72473,0.37299,2.47119
2,2,0.04833,0.0,0.21632,0.73535,0.36131,1.23156
2,4,0.00457,0.06961,0.20109,0.72473,0.35401,2.47119
3,5,0.00047,0.0737,0.20109,0.72473,0.34991,2.47119
4,6,3e-05,0.07414,0.20109,0.72473,0.34947,2.47119
0,3,0.01617,0.00733,0.25176,0.72473,0.31494,3.40969
1,4,0.00627,0.01723,0.25176,0.72473,0.30504,3.40969
2,5,0.00097,0.02253,0.25176,0.72473,0.29974,3.40969
3,6,8e-05,0.02342,0.25176,0.72473,0.29885,3.40969
0,4,0.0043,0.00152,0.26944,0.72473,0.2854,4.3952
1,5,0.00134,0.00449,0.26944,0.72473,0.28243,4.3952
3,3,0.00833,0.0,0.25632,0.73535,0.28131,1.23156
2,6,0.00017,0.00565,0.26944,0.72473,0.28126,4.3952
0,5,0.00092,0.00027,0.27408,0.72473,0.27736,5.39237
1,6,0.00024,0.00094,0.27408,0.72473,0.27668,5.39237
0,6,0.00016,4e-05,0.27506,0.72473,0.27563,6.39189
4,4,0.00081,0.0,0.26384,0.73535,0.26627,1.23156
5,5,5e-05,0.0,0.2646,0.73535,0.26475,1.23156
6,6,0.0,0.0,0.26465,0.73535,0.26466,1.23156
