pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.13432,0.12145,0.34307,0.40116,0.98893,1.21802
1,2,0.09591,0.15986,0.34307,0.40116,0.95052,1.21802
0,2,0.11887,0.06714,0.41284,0.40116,0.90372,1.53187
2,3,0.02267,0.23311,0.34307,0.40116,0.87728,1.21802
3,4,0.00268,0.25309,0.34307,0.40116,0.85729,1.21802
4,5,0.00019,0.25558,0.34307,0.40116,0.8548,1.21802
5,6,1e-05,0.25576,0.34307,0.40116,0.85462,1.21802
1,3,0.05618,0.12983,0.41284,0.40116,0.84103,1.53187
2,4,0.00996,0.17605,0.41284,0.40116,0.79481,1.53187
3,5,0.00094,0.18507,0.41284,0.40116,0.78579,1.53187
4,6,6e-05,0.18595,0.41284,0.40116,0.78491,1.53187
0,3,0.06963,0.02847,0.50074,0.40116,0.76658,2.21773
1,4,0.02468,0.07342,0.50074,0.40116,0.72163,2.21773
2,5,0.0035,0.0946,0.50074,0.40116,0.70045,2.21773
3,6,0.00028,0.09783,0.50074,0.40116,0.69722,2.21773
0,4,0.03059,0.00977,0.55848,0.40116,0.6698,3.0998
1,5,0.00867,0.03169,0.55848,0.40116,0.64788,3.0998
2,6,0.00103,0.03934,0.55848,0.40116,0.64023,3.0998
0,5,0.01075,0.00281,0.58528,0.40116,0.62316,4.0626
1,6,0.00254,0.01102,0.58528,0.40116,0.61495,4.0626
0,6,0.00315,0.0007,0.595,0.40116,0.60584,5.05253
1,1,0.11012,0.0,0.12331,0.76657,0.45366,1.4157
0,0,0.07795,0.0,0.15548,0.76657,0.38932,1.4157
1,0,0.06115,0.05576,0.05082,0.83227,0.34579,2.08024
2,1,0.04404,0.07288,0.05082,0.83227,0.32868,2.08024
2,2,0.03869,0.0,0.19473,0.76657,0.31081,1.4157
3,2,0.01041,0.10651,0.05082,0.83227,0.29505,2.08024
4,3,0.00123,0.11568,0.05082,0.83227,0.28587,2.08024
5,4,9e-05,0.11683,0.05082,0.83227,0.28473,2.08024
6,5,0.0,0.11691,0.05082,0.83227,0.28465,2.08024
3,3,0.0061,0.0,0.22733,0.76657,0.24562,1.4157
4,4,0.00054,0.0,0.23289,0.76657,0.23451,1.4157
5,5,3e-05,0.0,0.23339,0.76657,0.23349,1.4157
6,6,0.0,0.0,0.23342,0.76657,0.23343,1.4157
2,0,0.02506,0.01415,0.12852,0.83227,0.232,2.97861
3,1,0.01184,0.02737,0.12852,0.83227,0.21879,2.97861
4,2,0.0021,0.03711,0.12852,0.83227,0.20904,2.97861
5,3,0.0002,0.03901,0.12852,0.83227,0.20714,2.97861
6,4,1e-05,0.0392,0.12852,0.83227,0.20695,2.97861
3,0,0.00674,0.00276,0.15823,0.83227,0.18396,3.9554
4,1,0.00239,0.00711,0.15823,0.83227,0.17961,3.9554
5,2,0.00034,0.00916,0.15823,0.83227,0.17756,3.9554
6,3,3e-05,0.00947,0.15823,0.83227,0.17725,3.9554
4,0,0.00136,0.00043,0.16594,0.83227,0.17088,4.95117
5,1,0.00039,0.00141,0.16594,0.83227,0.16991,4.95117
6,2,5e-05,0.00175,0.16594,0.83227,0.16957,4.95117
5,0,0.00022,6e-05,0.16745,0.83227,0.16823,5.95054
6,1,5e-05,0.00022,0.16745,0.83227,0.16806,5.95054
6,0,3e-05,1e-05,0.16769,0.83227,0.1678,6.95046
