pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.1262,0.12514,0.3856,0.36306,1.01448,1.25319
1,2,0.09704,0.1543,0.3856,0.36306,0.98532,1.25319
0,2,0.1218,0.07512,0.44001,0.36306,0.95566,1.482
2,3,0.0247,0.22664,0.3856,0.36306,0.91297,1.25319
1,3,0.062,0.13492,0.44001,0.36306,0.89586,1.482
3,4,0.00314,0.2482,0.3856,0.36306,0.89142,1.25319
4,5,0.00024,0.2511,0.3856,0.36306,0.88852,1.25319
5,6,1e-05,0.25133,0.3856,0.36306,0.88829,1.25319
2,4,0.01183,0.18509,0.44001,0.36306,0.84569,1.482
3,5,0.0012,0.19572,0.44001,0.36306,0.83506,1.482
4,6,8e-05,0.19685,0.44001,0.36306,0.83393,1.482
0,3,0.07782,0.03465,0.52447,0.36306,0.82723,2.10465
1,4,0.02971,0.08276,0.52447,0.36306,0.77912,2.10465
2,5,0.00454,0.10793,0.52447,0.36306,0.75394,2.10465
3,6,0.00038,0.11209,0.52447,0.36306,0.74979,2.10465
0,4,0.03729,0.01295,0.5867,0.36306,0.72446,2.95224
1,5,0.01139,0.03885,0.5867,0.36306,0.69856,2.95224
2,6,0.00145,0.04879,0.5867,0.36306,0.68862,2.95224
0,5,0.01429,0.00406,0.61858,0.36306,0.66959,3.9003
1,6,0.00364,0.01472,0.61858,0.36306,0.65893,3.9003
0,6,0.00457,0.0011,0.63127,0.36306,0.64717,4.88507
1,1,0.10216,0.0,0.11309,0.78476,0.41956,1.52707
0,0,0.0672,0.0,0.14804,0.78476,0.34965,1.52707
1,0,0.05194,0.05202,0.04387,0.85218,0.30371,2.23143
2,2,0.03866,0.0,0.17659,0.78476,0.29256,1.52707
2,1,0.04034,0.06362,0.04387,0.85218,0.29211,2.23143
3,2,0.01027,0.09369,0.04387,0.85218,0.26204,2.23143
4,3,0.00131,0.10265,0.04387,0.85218,0.25308,2.23143
5,4,0.0001,0.10385,0.04387,0.85218,0.25187,2.23143
6,5,1e-05,0.10395,0.04387,0.85218,0.25178,2.23143
3,3,0.00656,0.0,0.20869,0.78476,0.22836,1.52707
4,4,0.00063,0.0,0.21462,0.78476,0.2165,1.52707
5,5,4e-05,0.0,0.21521,0.78476,0.21532,1.52707
6,6,0.0,0.0,0.21524,0.78476,0.21525,1.52707
2,0,0.02105,0.01298,0.11379,0.85218,0.20289,3.1437
3,1,0.01071,0.02331,0.11379,0.85218,0.19256,3.1437
4,2,0.00204,0.03198,0.11379,0.85218,0.18389,3.1437
5,3,0.00021,0.03382,0.11379,0.85218,0.18205,3.1437
6,4,1e-05,0.03401,0.11379,0.85218,0.18186,3.1437
3,0,0.00559,0.00249,0.13974,0.85218,0.16149,4.12402
4,1,0.00213,0.00594,0.13974,0.85218,0.15803,4.12402
5,2,0.00033,0.00775,0.13974,0.85218,0.15622,4.12402
6,3,3e-05,0.00805,0.13974,0.85218,0.15593,4.12402
4,0,0.00111,0.00039,0.14632,0.85218,0.15043,5.1205
5,1,0.00034,0.00116,0.14632,0.85218,0.14966,5.1205
6,2,4e-05,0.00146,0.14632,0.85218,0.14936,5.1205
5,0,0.00018,5e-05,0.14759,0.85218,0.14822,6.11998
6,1,5e-05,0.00018,0.14759,0.85218,0.14809,6.11998
6,0,2e-05,1e-05,0.14779,0.85218,0.14787,7.11991
