pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.11842,0.12453,0.27626,0.4808,0.88056,1.27049
1,2,0.09544,0.1475,0.27626,0.4808,0.85759,1.27049
2,3,0.02542,0.21753,0.27626,0.4808,0.78757,1.27049
0,2,0.09654,0.06286,0.35981,0.4808,0.77514,1.71797
3,4,0.00338,0.23956,0.27626,0.4808,0.76553,1.27049
4,5,0.00027,0.24267,0.27626,0.4808,0.76242,1.27049
5,6,1e-05,0.24293,0.27626,0.4808,0.76216,1.27049
1,3,0.05142,0.10798,0.35981,0.4808,0.73002,1.71797
2,4,0.01027,0.14913,0.35981,0.4808,0.68887,1.71797
3,5,0.00109,0.1583,0.35981,0.4808,0.67969,1.71797
4,6,7e-05,0.15932,0.35981,0.4808,0.67867,1.71797
0,3,0.05201,0.02441,0.44279,0.4808,0.64763,2.48424
1,4,0.02078,0.05564,0.44279,0.4808,0.6164,2.48424
2,5,0.00332,0.0731,0.44279,0.4808,0.59894,2.48424
3,6,0.00029,0.07612,0.44279,0.4808,0.59592,2.48424
0,4,0.02101,0.00768,0.49051,0.4808,0.56892,3.40334
1,5,0.00672,0.02198,0.49051,0.4808,0.55462,3.40334
2,6,0.00089,0.0278,0.49051,0.4808,0.54879,3.40334
0,5,0.00679,0.00203,0.51038,0.4808,0.53482,4.37984
1,6,0.00181,0.00701,0.51038,0.4808,0.52984,4.37984
0,6,0.00183,0.00046,0.51691,0.4808,0.52333,5.37398
1,1,0.11915,0.0,0.1314,0.74945,0.48884,1.3089
1,0,0.07203,0.07617,0.08204,0.76975,0.45048,1.8484
2,1,0.05838,0.08982,0.08204,0.76975,0.43683,1.8484
0,0,0.07496,0.0,0.17559,0.74945,0.40046,1.3089
3,2,0.01555,0.13266,0.08204,0.76975,0.394,1.8484
4,3,0.00207,0.14613,0.08204,0.76975,0.38052,1.8484
5,4,0.00017,0.14804,0.08204,0.76975,0.37861,1.8484
6,5,1e-05,0.14819,0.08204,0.76975,0.37846,1.8484
2,2,0.04718,0.0,0.20337,0.74945,0.34491,1.3089
2,0,0.03612,0.02352,0.1706,0.76975,0.32601,2.68432
3,1,0.01924,0.0404,0.1706,0.76975,0.30913,2.68432
4,2,0.00384,0.0558,0.1706,0.76975,0.29373,2.68432
5,3,0.00041,0.05923,0.1706,0.76975,0.2903,2.68432
6,4,3e-05,0.05961,0.1706,0.76975,0.28992,2.68432
3,3,0.00838,0.0,0.24217,0.74945,0.2673,1.3089
3,0,0.0119,0.00559,0.21276,0.76975,0.25964,3.63951
4,1,0.00476,0.01274,0.21276,0.76975,0.25249,3.63951
4,4,0.00084,0.0,0.24971,0.74945,0.25222,1.3089
5,5,5e-05,0.0,0.2505,0.74945,0.25066,1.3089
6,6,0.0,0.0,0.25055,0.74945,0.25055,1.3089
5,2,0.00076,0.01673,0.21276,0.76975,0.2485,3.63951
6,3,7e-05,0.01742,0.21276,0.76975,0.2478,3.63951
4,0,0.00294,0.00108,0.22623,0.76975,0.23721,4.62969
5,1,0.00094,0.00308,0.22623,0.76975,0.2352,4.62969
6,2,0.00013,0.00389,0.22623,0.76975,0.23439,4.62969
5,0,0.00058,0.00017,0.22949,0.76975,0.23158,5.6279
6,1,0.00015,0.0006,0.22949,0.76975,0.23116,5.6279
6,0,0.0001,2e-05,0.23013,0.76975,0.23046,6.62762
