pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.12979,0.10831,0.21221,0.54969,0.81821,1.27511
2,1,0.08684,0.15126,0.21221,0.54969,0.77526,1.27511
3,2,0.0192,0.2189,0.21221,0.54969,0.70762,1.27511
4,3,0.00212,0.23598,0.21221,0.54969,0.69054,1.27511
5,4,0.00014,0.23796,0.21221,0.54969,0.68856,1.27511
6,5,1e-05,0.2381,0.21221,0.54969,0.68842,1.27511
2,0,0.0883,0.04612,0.31589,0.54969,0.67303,1.8507
3,1,0.03904,0.09538,0.31589,0.54969,0.62378,1.8507
4,2,0.00647,0.12795,0.31589,0.54969,0.59121,1.8507
5,3,0.00057,0.13385,0.31589,0.54969,0.5853,1.8507
6,4,3e-05,0.13439,0.31589,0.54969,0.58476,1.8507
3,0,0.0397,0.01505,0.39557,0.54969,0.54475,2.69512
0,1,0.09434,0.07898,0.0987,0.72798,0.53967,1.63171
1,1,0.12991,0.0,0.14776,0.72233,0.53749,1.17574
4,1,0.01317,0.04158,0.39557,0.54969,0.51822,2.69512
1,2,0.06332,0.10999,0.0987,0.72798,0.50866,1.63171
5,2,0.00175,0.053,0.39557,0.54969,0.5068,2.69512
6,3,0.00013,0.05462,0.39557,0.54969,0.50518,2.69512
4,0,0.01339,0.00397,0.43296,0.54969,0.48105,3.64904
0,0,0.09821,0.0,0.17946,0.72233,0.4741,1.17574
5,1,0.00355,0.0138,0.43296,0.54969,0.47122,3.64904
6,2,0.00039,0.01696,0.43296,0.54969,0.46806,3.64904
2,3,0.014,0.15931,0.0987,0.72798,0.45933,1.63171
5,0,0.00361,0.00088,0.44582,0.54969,0.45841,4.63766
6,1,0.0008,0.00369,0.44582,0.54969,0.4556,4.63766
6,0,0.00081,0.00017,0.44933,0.54969,0.4521,5.63526
3,4,0.00155,0.17177,0.0987,0.72798,0.44688,1.63171
4,5,0.0001,0.17321,0.0987,0.72798,0.44543,1.63171
5,6,0.0,0.17331,0.0987,0.72798,0.44534,1.63171
0,2,0.04695,0.02452,0.20054,0.72798,0.39044,2.4343
1,3,0.02076,0.05071,0.20054,0.72798,0.36425,2.4343
2,2,0.0427,0.0,0.23497,0.72233,0.36308,1.17574
2,4,0.00344,0.06803,0.20054,0.72798,0.34693,2.4343
3,5,0.0003,0.07117,0.20054,0.72798,0.34379,2.4343
4,6,2e-05,0.07146,0.20054,0.72798,0.34351,2.4343
0,3,0.01539,0.00583,0.25079,0.72798,0.30863,3.37985
1,4,0.0051,0.01612,0.25079,0.72798,0.29835,3.37985
2,5,0.00068,0.02055,0.25079,0.72798,0.29392,3.37985
3,6,5e-05,0.02118,0.25079,0.72798,0.29329,3.37985
3,3,0.00629,0.0,0.27138,0.72233,0.29026,1.17574
0,4,0.00378,0.00112,0.26711,0.72798,0.28071,4.36784
4,4,0.00052,0.0,0.27715,0.72233,0.27871,1.17574
1,5,0.001,0.0039,0.26711,0.72798,0.27793,4.36784
5,5,3e-05,0.0,0.27764,0.72233,0.27773,1.17574
6,6,0.0,0.0,0.27767,0.72233,0.27767,1.17574
2,6,0.00011,0.0048,0.26711,0.72798,0.27703,4.36784
0,5,0.00074,0.00018,0.27109,0.72798,0.27369,5.36565
1,6,0.00016,0.00076,0.27109,0.72798,0.27311,5.36565
0,6,0.00012,3e-05,0.27187,0.72798,0.27229,6.36531
