pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.13465,0.11815,0.42708,0.32012,1.06732,1.25954
2,1,0.09382,0.15898,0.42708,0.32012,1.02649,1.25954
2,0,0.13531,0.07434,0.47023,0.32012,1.02483,1.40539
3,2,0.02166,0.23114,0.42708,0.32012,0.95433,1.25954
3,1,0.06247,0.14718,0.47023,0.32012,0.95199,1.40539
4,3,0.0025,0.2503,0.42708,0.32012,0.93518,1.25954
5,4,0.00017,0.25263,0.42708,0.32012,0.93285,1.25954
6,5,1e-05,0.25279,0.42708,0.32012,0.93269,1.25954
4,2,0.01081,0.19883,0.47023,0.32012,0.90034,1.40539
3,0,0.09009,0.03586,0.55392,0.32012,0.89593,1.97052
5,3,0.001,0.20865,0.47023,0.32012,0.89052,1.40539
6,4,6e-05,0.20959,0.47023,0.32012,0.88958,1.40539
4,1,0.03119,0.09476,0.55392,0.32012,0.83703,1.97052
5,2,0.00432,0.12164,0.55392,0.32012,0.81016,1.97052
6,3,0.00033,0.12562,0.55392,0.32012,0.80617,1.97052
4,0,0.04499,0.014,0.62089,0.32012,0.78386,2.78758
5,1,0.01246,0.04653,0.62089,0.32012,0.75133,2.78758
6,2,0.00144,0.05755,0.62089,0.32012,0.74031,2.78758
5,0,0.01797,0.00458,0.65732,0.32012,0.72041,3.72261
6,1,0.00415,0.01841,0.65732,0.32012,0.70658,3.72261
6,0,0.00598,0.00129,0.6726,0.32012,0.69314,4.70276
1,1,0.09476,0.0,0.10664,0.7986,0.39093,1.6193
0,0,0.06865,0.0,0.13275,0.7986,0.33871,1.6193
2,2,0.03252,0.0,0.16888,0.7986,0.26645,1.6193
0,1,0.0462,0.04101,0.03151,0.88128,0.25212,2.38186
1,2,0.03256,0.05464,0.03151,0.88128,0.23849,2.38186
2,3,0.00752,0.07969,0.03151,0.88128,0.21344,2.38186
3,3,0.00501,0.0,0.1964,0.7986,0.21141,1.6193
3,4,0.00087,0.08634,0.03151,0.88128,0.20679,2.38186
4,5,6e-05,0.08715,0.03151,0.88128,0.20599,2.38186
5,6,0.0,0.0872,0.03151,0.88128,0.20593,2.38186
4,4,0.00043,0.0,0.20097,0.7986,0.20227,1.6193
5,5,2e-05,0.0,0.20138,0.7986,0.20145,1.6193
6,6,0.0,0.0,0.2014,0.7986,0.20141,1.6193
0,2,0.0163,0.00896,0.09346,0.88128,0.16028,3.31884
1,3,0.00753,0.01773,0.09346,0.88128,0.1515,3.31884
2,4,0.0013,0.02396,0.09346,0.88128,0.14528,3.31884
3,5,0.00012,0.02514,0.09346,0.88128,0.1441,3.31884
4,6,1e-05,0.02525,0.09346,0.88128,0.14399,3.31884
0,3,0.00377,0.0015,0.11345,0.88128,0.12775,4.30633
1,4,0.0013,0.00396,0.11345,0.88128,0.12529,4.30633
2,5,0.00018,0.00509,0.11345,0.88128,0.12417,4.30633
3,6,1e-05,0.00525,0.11345,0.88128,0.124,4.30633
0,4,0.00065,0.0002,0.11786,0.88128,0.12023,5.30436
1,5,0.00018,0.00068,0.11786,0.88128,0.11976,5.30436
2,6,2e-05,0.00084,0.11786,0.88128,0.1196,5.30436
0,5,9e-05,2e-05,0.11861,0.88128,0.11892,6.30411
1,6,2e-05,9e-05,0.11861,0.88128,0.11885,6.30411
0,6,1e-05,0.0,0.11871,0.88128,0.11874,7.30408
