pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.09176,0.11341,0.1748,0.62002,0.67691,1.48006
1,2,0.08394,0.12123,0.1748,0.62002,0.66909,1.48006
1,0,0.0887,0.10967,0.1608,0.64082,0.64626,1.52165
2,1,0.08117,0.1172,0.1608,0.64082,0.63873,1.52165
2,3,0.0253,0.17988,0.1748,0.62002,0.61044,1.48006
3,4,0.00381,0.20136,0.1748,0.62002,0.58896,1.48006
4,5,0.00034,0.20483,0.1748,0.62002,0.58549,1.48006
5,6,2e-05,0.20515,0.1748,0.62002,0.58517,1.48006
3,2,0.02446,0.17392,0.1608,0.64082,0.58202,1.52165
4,3,0.00369,0.19469,0.1608,0.64082,0.56124,1.52165
5,4,0.00033,0.19804,0.1608,0.64082,0.55789,1.52165
6,5,2e-05,0.19836,0.1608,0.64082,0.55758,1.52165
0,2,0.06348,0.04803,0.26847,0.62002,0.55496,2.13045
1,3,0.03826,0.07325,0.26847,0.62002,0.52974,2.13045
2,0,0.05936,0.04492,0.2549,0.64082,0.52282,2.20005
1,1,0.12386,0.0,0.13699,0.73915,0.50856,1.24001
2,4,0.00865,0.10286,0.26847,0.62002,0.50013,2.13045
3,1,0.03578,0.0685,0.2549,0.64082,0.49924,2.20005
3,5,0.00104,0.11047,0.26847,0.62002,0.49253,2.13045
4,6,8e-05,0.11143,0.26847,0.62002,0.49156,2.13045
4,2,0.00809,0.0962,0.2549,0.64082,0.47155,2.20005
5,3,0.00097,0.10331,0.2549,0.64082,0.46443,2.20005
6,4,7e-05,0.10421,0.2549,0.64082,0.46353,2.20005
0,3,0.02893,0.0157,0.33535,0.62002,0.45354,3.00387
1,4,0.01308,0.03155,0.33535,0.62002,0.43768,3.00387
2,5,0.00236,0.04226,0.33535,0.62002,0.42697,3.00387
3,0,0.02617,0.0142,0.31882,0.64082,0.42571,3.08701
3,6,0.00024,0.04439,0.33535,0.62002,0.42484,3.00387
4,1,0.01183,0.02853,0.31882,0.64082,0.41137,3.08701
0,4,0.00989,0.00416,0.36592,0.62002,0.40392,3.96654
5,2,0.00214,0.03822,0.31882,0.64082,0.40168,3.08701
6,3,0.00021,0.04015,0.31882,0.64082,0.39975,3.08701
0,0,0.06899,0.0,0.19186,0.73915,0.39882,1.24001
1,5,0.00358,0.01048,0.36592,0.62002,0.39761,3.96654
2,6,0.00054,0.01352,0.36592,0.62002,0.39457,3.96654
0,5,0.0027,0.00093,0.37634,0.62002,0.38631,4.95732
1,6,0.00082,0.00282,0.37634,0.62002,0.38442,4.95732
0,6,0.00062,0.00018,0.37918,0.62002,0.38139,5.95537
4,0,0.00865,0.00364,0.34689,0.64082,0.38012,4.0547
5,1,0.00313,0.00916,0.34689,0.64082,0.3746,4.0547
6,2,0.00047,0.01182,0.34689,0.64082,0.37194,4.0547
2,2,0.0555,0.0,0.20535,0.73915,0.37184,1.24001
5,0,0.00229,0.00079,0.3561,0.64082,0.36454,5.04697
6,1,0.00069,0.00238,0.3561,0.64082,0.36294,5.04697
6,0,0.0005,0.00015,0.35853,0.64082,0.36033,6.04539
3,3,0.01115,0.0,0.2497,0.73915,0.28315,1.24001
4,4,0.00126,0.0,0.25959,0.73915,0.26337,1.24001
5,5,9e-05,0.0,0.26076,0.73915,0.26103,1.24001
6,6,0.0,0.0,0.26084,0.73915,0.26086,1.24001
